Row,Name,Description,Activation,Prerequisite,Cost,Max,Duration,Drain,Source
11,"Blind Fighting","Drawing on a special kind of sixth sense, an adept with this power is able to continue fighting even when he is blinded or deprived of vision. It reduces the penalty for Blind Fighting by 1. This power can be combined with the Strike the Darkness martial arts technique for a cumulative reduction of 2 (p. 141, Run & Gun).",Intrinsic,,0.50,1,Constant,0,SR5:SG
12,Cloak,"Using the Cloak power, the adept has an increased chance of avoiding magical detection. For every level of this power, the adept gains a +1 die for opposing a Detection spell being used against her (see p. 285, SR5). Cloak does not prevent a magician or mystic adept from reading the adept’s aura through astral perception or viewing her from astral space; it just makes it more difficult to zero in on the targeted adept.",Intrinsic,,0.25,99,Constant,0,SR5:SG
13,"Combat Sense","Combat Sense provides an instinctive sense of any potential threats nearby. In defending against ranged and melee attacks, you get a +1 dice pool bonus to defense tests per level of this power. Adepts with this power are always allowed a Perception Test before a possible surprise situation, gaining the benefit of being alerted if the test is successful.",Intrinsic,,0.50,99,Constant,0,Core
14,"Commanding Voice (SR5:SG)","Adepts with this power have a knack for convincing people to believe them or do things for them in certain situations. For every level of this power, an adept gains a +1 die to any Opposed Intimidation or Leadership tests that they initiate (normal limits apply). If the adept succeeds, then the target(s) will agree to or follow the adept’s next suggestion or command, within reason and depending on the situation. A subject won’t normally harm himself for example, but he may be persuaded that the pretty-boy elf over there was making moves on his girl/guy and that punching said elf is a good idea. Or an adept may convince a corporate secretary to give up some dirt on her boss.  To keep this power in check, gamemasters can also grant targets a situational bonus based on how inclined the subject would be to believe the adept. An adept can attempt to use this ability on up to (Charisma) people at a time, with a –1 dice pool for any additional subjects.",Intrinsic,,0.25,3,Constant,0,SR5:SG
15,"Commanding Voice (SR5:SSo)","This power channels the adept’s magic into his voice to enhance the modulation and pitch, subliminally influencing the actions of any listeners. The adept takes a Complex Action to give a simple but forceful command (five words or less) to the target, making an Opposed Test with Leadership + Charisma against the target(s) Willpower + Intuition. If the adept succeeds in the test, the target uses his next action to either carry out the command or stands confused (gamemaster’s choice, but the more net hits achieved the more likely it is for the target to obey the adept’s command). Such commands carry no weight beyond the immediate impetus, and the affected characters will quickly reassert their wits, returning to their original course of action. If multiple individuals are targeted, use the largest dice pool among the defenders and add 1 die per additional target (to a maximum of six individuals). Commanding Voice may only be used on metahumans who can directly hear and understand the adept’s words. It has no effect when the voice is amplified or broadcast via technological means (e.g., wireless transmission or loudspeaker). It is also less effective on subsequent uses against the same target. Apply a cumulative –2 dice pool penalty for each use within the preceding 24 hours.",Intrinsic,,1.00,1,Constant,0,SR5:SSo
16,"Cool Resolve","Adepts with this power are extremely confident and self-assured in social interactions. This includes situations such as negotiations with a Mr. Johnson, running a con on the street, staying in-character while undercover, or resisting the tender inquiries of a professional interrogator. Each level gives the adept +1 die in all Opposed Tests involving Social skills, regardless of whether they initiated the action or are resisting someone else’s social skills.",Intrinsic,,1.00,99,Constant,0,SR5:SG
17,Counterstrike,"Counterstrike is an extremely potent ability that allows an adept in unarmed combat to redirect an attacker’s energy through a combination of skill, intuition, and magical ability. To employ this power, an adept must first use a successful Block action against an incoming attack and spend her next available action to make a melee combat attack. For the adept’s next melee combat attack test, add a number of dice equal to her levels in Counterstrike and the net hits from the Block. Engaging in any other action before attacking, even Dodge or Full Defense, negates the bonuses gained from this power. This power cannot be combined with the Counterstrike and Opposing Force martial arts techniques (p. 124 and 139, Run & Gun).","Interrupt (-5 Initiative)",,1.00,99,Constant,0,SR5:SG
18,"Critical Strike (Skill)","This power improves a specific melee skill: either Unarmed Combat, Clubs, Blades, Astral Combat, or a particular Exotic Melee weapon skill. The specific skill is chosen when you buy the power. Increase the DV of your attacks with the selected skill by 1. Critical Strike is compatible with weapons and other adept powers. The power may be selected multiple times, each time for a different melee skill.",Intrinsic,,0.50,1,Constant,0,Core
19,"Danger Sense","You are instinctively sensitive of your surroundings and of impending threats that may not be immediately visible. It’s the bad feeling that the character gets before walking into a trap, the gut instinct that makes them jump an instant before trouble hits. For each level of this power, you get +1 die on Surprise Tests.",Intrinsic,,0.25,99,Constant,0,Core
20,Demara,"This power grants the adept the ability to use an untrained skill at minimal effectiveness after watching a person or recording of a person using the desired skill. Once the adept has watched their reference material for at least one hour, they can use the skill as if they have a skill rating one. This knowledge remains effective for a number of hours equal to the adept’s Magic Attribute. The ability does not provide any Karma assistance in learning a skill through character creation or advancement.",Intrinsic,,0.50,1,"Magic Hours",0,SR5:SSp
21,"Eidetic Sense Memory","An adept with Eidetic Sense Memory is capable of memorizing all sensory input, including tastes, smells and textures in addition to the more traditional visual ability. The adept is capable of perfectly recalling any sensory stimulus, or combination thereof. The memories can be recalled at will. The adept also has the ability to photo-read, making it a great trick for those Awakened who like book clubs.",Intrinsic,,0.50,1,Constant,0,SR5:SSp
22,"Elemental Body","An evolved version of Elemental Strike and similar to the critter power Elemental Attack, Elemental Body creates an elemental field that envelops the adept. This field forms approximately three to five centimeters from the adept’s body and can be used offensively and defensively.  To activate this power, the adept must spend a Complex Action channeling the desired element. For offensive purposes, treat Elemental Body like the Elemental Strike power, with a DV of (Magic x 2)P and AP –(Magic x 0.5). For defense, anyone or thing coming into contact (melee or unarmed strike) with the adept while Elemental Body is active must resist the same DV and elemental effect as the offensive strike; fast-moving projectiles such as bullets or thrown weapons are unaffected. Items already on the adept’s body or held by the adept are not damaged, but they do not gain any elemental effect.  Elemental Body lasts for (Magic) Initiative Passes or until the adept is rendered unconscious. This power can be deactivated at will using a Free Action before the time limit expires. Once deactivated, the adept must resist a Drain Value of (Magic x 0.5) + the number of Initiative Passes the power was active. Only one effect can be used at a time, and each elemental effect must be purchased as a separate power.","Complex Action","Elemental Strike",1.00,1,Constant,0,SR5:SG
23,"Elemental Strike","Elemental Strike enhances the damage caused by an unarmed Killing Hands strike by channeling an elemental effect into the attack. Activating this power requires a Simple Action and the effect remains active for (Magic) Combat Turns or until the adept deactivates it with. Free Action or is rendered unconscious. While active, the chosen elemental effect wreathes the hand, foot, or other body part the adept uses to strike. Only one effect can be used at a time and can’t be combined with any other adept striking power except Killing Hands. Each elemental effect must be purchased as a separate power.","Simple Action","Killing Hands",0.50,1,Constant,0,SR5:SG
24,"Elemental Weapon","Similar to Elemental or Toxic Strike, Elemental Weapon allows an adept to channel an elemental effect (normal or toxic) through her weapon focus instead of her hands. A Simple Action is required to first channel the desired elemental effect. Elemental Weapon remains active for (Magic) Combat Turns or until the adept deactivates it with a Free Action or is rendered unconscious. Only one elemental effect can be used at a time, and each elemental effect must be purchased as a separate power. This power can also be used with other powers that enhance an adept ’s Accuracy or skills related to foci.","Simple Action","Weapon Foci",0.50,1,Constant,0,SR5:SG
25,"Empathic Healing","Used only in the direst of circumstances, the Empathic Healing power allows an adept to literally take on the wounds of another in order to heal them. To accomplish this, the adept rolls a Magic + Willpower Test. For every hit, one box of Physical damage transfers from the wounded target to the adept’s damage track. Only Physical damage can be healed in this way.  Subjects with lower than normal Essence, due to augmentations or Essence loss, are more difficult to heal. Apply a negative modifier equal to the subject’s lost Essence (6 – current Essence Rating, round down) to the dice pool for the adept’s healing test. The test itself requires two full Combat Turns per box of damage to complete, and the healing adept must maintain physical contact during the entire process. Damage modifiers are applied once the adept completes the process.","2 turns per box",,0.50,1,Constant,0,SR5:SG
26,"Enhanced Accuracy (Skill)","A weapon in your hands becomes an extension of your body. When you buy this power, choose a Combat Skill (Pistols, Clubs, Heavy Weapons, etc.). When you use the skill, add 1 to the Accuracy of the weapon you’re using. This power cannot be used with Unarmed Combat, but it can be purchased multiple times with a different skill each time.",Intrinsic,,0.25,1,Constant,0,Core
27,"Enhanced Perception","This power sharpens all your senses. Add +1 die per level to all Perception Tests and Assensing Tests.",Intrinsic,,0.50,99,Constant,0,Core
28,"Enthralling Performance","This adept power is used in conjunction with an artistic skill, such as Artisan or Gymnastics, which the adept must also possess. This power can be selected multiple times, with each selection pertaining to a different artistic skill. If the gamemaster allows, this power may also be linked to Unarmed Combat (Martial Arts) or Con (Impersonation).  The power permeates the adept’s performance with a subtle magic aura, mesmerizing observers with the adept’s grace or skill as the performance unfolds. The adept makes a test of the appropriate skill + Magic. The adept’s hits serve as a threshold modifier for any Perception tests the audience might make during the performance. Audience members exposed to sudden outside stress or stimuli, such as hearing gunshot or suffering an assault, are immediately released from the entrancement.",Intrinsic,,0.50,1,Constant,0,SR5:SSp
29,"Facial Sculpt","This power allows an adept to change his appearance by shifting the muscles, bone structure, and cartilage in his face. Each level purchased gives the adept a +1 dice pool modifier for Disguise Tests. The effect can be sustained for (Magic) hours.  Common changes include altering ear shape, changing nose shape, raising/lowering cheekbones, growing tusks, reshaping the forehead, lengthening/shortening facial hair, and so on. Adepts can even change their face to another metatype of they wish, but they can’t change their body shape. The time required to change one feature is approximately one minute. Multiple features can be changed simultaneously with a Body + Magic Test, with each hit resulting in one additional change. The adept needs another full minute to undo the changes and return their features to normal.","Complex Action",,0.25,99,Constant,0,SR5:SG
30,"Feign Death","Like the Feign Illness power, Feign Death allows the adept to mimic death with enough accuracy to fool observers, biomonitors, and even medkits. The adept can maintain the power for a number of hours equal to her Magic attribute. The adept sets a time limit when she will come out of the comatose state; the only way to wake her up early is to send a message via a Mindlink spell containing a pre-arranged trigger phrase. Physical contact, injury, loud noise, and so on have no effect on the death-mimicking adept. Any attempts to diagnose signs of life must exceed a threshold equal to the adept’s Magic attribute. The adept is unaware of her surroundings while in this state; she doesn’t hear any conversations taking place or see who is coming and going in their surroundings.",Intrinsic,,1.00,1,Constant,0,SR5:BB
31,"Feign Illness","This power allows an adept to mimic the signs and symptoms of an illness with enough accuracy to convince all but the most skilled observer. The power even creates real physiological changes such as fever and increased heart rate, which can fool a biomonitor or medkit. The adept can maintain the power for a number of hours equal to his Magic attribute. Any attempts to diagnose the illness as false must exceed a threshold equal to the adept’s Magic attribute.",Intrinsic,,0.50,1,Constant,0,SR5:BB
32,Flexibility,"Adepts with the Flexibility power can bend or twist their bodies past the metahuman norm, which allows them to squeeze through openings smaller than the adept (gamemaster’s discretion) and escape restraints easier. It also makes and adept harder to subdue during unarmed combat. For every level of Flexibility the adept possesses, the threshold for moving through cramped corners or getting out of restraints is lowered by one. During unarmed combat, if someone is attempting to subdue the adept, the adept gains +1 die per level of Flexibility to prevent being subdued; normal limits still apply.",Intrinsic,,0.25,3,Constant,0,SR5:SG
33,"Focused Archery","This ability allows an adept to focus their qi and draw a bow that they normally would not be strong enough to use. Solely for the purposes of determining the maximum Rating of bow they are able to fire without penalty, an adept can treat their Strength as 1 higher for each level they have in this power. If an adept using this power fires a bow more than once in a Combat Turn, they must resist Drain equal to twice the number of levels they have in this power at the beginning of the next Combat Turn.",Intrinsic,,0.25,3,Constant,0,SR5:HT
34,Freefall,"This power helps adepts absorb the damage from a fall or jump down for a specific distance. This ability does not help the adept increase the distance he is jumping, such as with the Light Body power. Every level of Freefall allows the adept to fall or jump down 3 additional meters without any adverse effects (beyond the three meters normally allowed). When calculating fall damage past his personal distance threshold, subtract the overall level bonus from the Damage Value of the fall and then apply damage normally (see p. 172, SR5). This means that an adept with Freefall receives no damage from a fall of six meters or less, rather than the typical three meters. Beyond that, if an adept with two levels of Freefall falls 15 meters, the power negates 6 points of damage from the fall, changing the Damage Value of the fall from 15P to 9P (the fall’s AP remains unchanged). As long as the adept experiences no damage from the fall (either because the fall was short enough to cause no damage or because they successfully resisted all applicable damage using Body + Armor, the fall counts as a normal move action, and can be combined with an attack. Any other means of dealing with the damage does not allow this opportunity. Longer falls count as a Complex Action.",Intrinsic,,0.25,99,Constant,0,SR5:SG
35,"Hang Time","Adepts with this power receive two benefits. First, for each level of this power, the adept gains a +1 dice pool bonus for all Climbing Tests. Second, the adept can temporarily adhere to surfaces, such as walls. For each level of this power, the adept can attach himself to a surface and hang out for approximately five minutes, provided he remains motionless and keeps physical contact with the surface in question with hands, feet, knees, or elbows. The adept must spend a Simple Action to bond his magical energy with the surface; normal clothing such as gloves or boots does not interfere with this power, but the use of heavy armor (armor with a Rating of 13 or higher) will. Moving the attached body parts on the surface they’re adhering to, such as a moving vehicle, breaks the bond, making the adept fall off.","Simple Action",,0.25,99,Constant,0,SR5:SG
36,"Heightened Concern","The adept can ignore a single distraction while performing another task. This power negates a single situational modifier of a value of up to half (rounded up) of their Magic Attribute. It takes a Complex Action to activate and may be combined with the Adept Centering metamagic.",Intrinsic,,0.50,1,Constant,0,SR5:SSp
37,"Improved Ability (Skill)","This power increases the Rating of a specific Combat, Physical, Social, Technical, or Vehicle skill per level of the power. You need to know the skill in order to buy this power for it, and you can’t buy it for skill groups. The maximum improvement possible is your current skill level x 1.5 (rounded up).",Intrinsic,,0.50,99,Constant,0,Core
38,"Improved Physical Attribute","This power allows you to increase a physical attribute (Body, Agility, Reaction, and Strength). This augments your attribute, so your Physical limit may also increase with the new Attribute rating. This power allows you to exceed your natural Attribute maximum, up to your augmented maximum.",Intrinsic,,1.00,99,Constant,0,Core
39,"Improved Potential (Limit)","This power allows an adept to raise one of your inherent limits (Physical, Mental, or Social), specified when you buy the power, by 1. You may buy this power multiple times, once per inherent limit.",Intrinsic,,0.50,99,Constant,0,Core
40,"Improved Reflexes","This power increases the speed at which you react, just like wired reflexes. For each level, you receive +1 to Reaction (this also affects Initiative) and +1D6 Initiative Die (to a maximum of 5D6). The maximum rating of Improved Reflexes is 3, and the increase cannot be combined with other technological or magical increases to Initiative.",Intrinsic,,0.50,3,Constant,0,Core
41,"Improved Sense","This power gives you sensory improvements not normally possessed by your character ’s metatype. These improvements may include low-light or thermographic vision, high or low frequency hearing, and so on. Any sense enhancement provided by cyberware or bioware can be provided by this power, unless that enhancement either gives you bonus dice to Perception Tests or needs wireless to work (or both).",Intrinsic,,0.25,99,Constant,0,Core
42,"Indomitable Will","The adept has an increased resistance to fear and torture. The adept gains a +1 dice pool modifier to Opposed Tests to resist Intimidation and fear-inducing effects or powers for each level of this power.",Intrinsic,,0.25,99,Constant,0,SR5:SSp
43,"Inertia Strike","This power allows an adept to generate and channel extra energy into an unarmed or melee strike specifically intended to knock a target down. To use this power, the adept must first declare her intention by spending a Free Action before the actual strike to channel the necessary energy. If the adept is successful with the attack, she adds (Magic x 0.5) to her Damage Value solely to determine if a knockdown occurs (p.194, SR5) Inetia Strike does not change the actual Damage Value of the attack. Using this power is considered a Called Shot (see p. 195, SR5). Note: This power cannot be combined with the Imposing Stone Martial Arts Technique (p. 138, Run & Gun).","Free Action",,0.50,1,Constant,0,SR5:SG
44,"Iron Gut","This power greatly increases the strength of the adept’s digestive tract, allowing them to ingest and metabolize a wider array of substances than the metahuman norm. The power grants the adept a +1 dice pool modifier on any ingested Toxin Resistance Test (p. 409, SR5) per level of the ability.",Intrinsic,,0.25,99,Constant,0,SR5:SSp
45,"Iron Lungs","This power increases the adept’s lung capacity. When attempting to hold one’s breath, each level of Iron Lungs increases the base time of holding one’s breath by 20 seconds. When wanting to extend past the base time, each level adds an additional 6 seconds for each net hit on a Swimming + Willpower Test (added on top of the normal 15 additional seconds per net hit). So at four levels, the adept’s base time is 140 seconds (60 seconds normally, plus 80 (that is, 4 x 20) seconds from the power). Each net hit on a Swimming + Willpower Test extends the clock by 39 seconds (15 seconds as a base plus 4 x 6, or 24). The power also adds a +1 dice pool modifier to Body to resist Fatigue damage from Running (p. 172, SR5) per level.",Intrinsic,,0.25,99,Constant,0,SR5:SSp
46,"Iron Will","This power makes the adept more resistant to external influences. The character may add the power’s level as a dice pool modifier in tests to resist mental manipulation or mind control, whether originating from spells, adept powers, or spirit powers.",Intrinsic,,0.50,99,Constant,0,SR5:SSp
47,"Keratin Control","The adept has the ability to accelerate their hair, nail, and horn growth within the limits of the adept’s metatype. The adept can go from short, professional appearance to street chic in a matter of hours. The power also allows any hair grown to be straight or curly at the adept’s discretion. Full beards and long hair normally take six hours to grow, but the growth can be accelerated at the cost of one unresisted box of Stun Damage per hour reduction in growth time.","Free Action",,0.50,1,Constant,0,SR5:SG
48,Kiai,"The adept summons up their qi to let out a terrifying battle cry that can send their foes fleeing. This power affects everyone who hears it, whether friend or foe, within a radius of (Magic) meters. The adept makes an Opposed Test using its Magic + Kiai Rating against the target’s Logic + Willpower. Any bonuses against fear, such as the Guts quality, are added to the target’s Opposed Test. If the target wins, they suffer no ill effects. If the adept wins, the victim takes a –2 penalty to all actions for a number of Combat Turns equal to the net hits. If the adept’s net hits exceed the target’s Willpower, the victim flees in terror until they are safely away and out of sight of the adept. Even once the fear fades, the target must succeed in a Willpower + Logic (adept’s net hits) Test to gather the nerve to face the adept again. At the end of the Combat Turn, the adept takes Drain equal to the level of this power. They may attempt to soak the drain with Body + Willpower.",Intrinsic,,0.25,6,Constant,0,SR5:HT
49,"Killing Hands","This power lets you inflict lethal damage with your unarmed attacks. When inflicting damage on the target of an unarmed attack, you may choose whether to cause Stun or Physical damage. Killing Hands may be combined with other adept powers that increase unarmed damage. Your Killing Hands attacks are magical, so they can bypass a creature’s magical defenses against attack, such as the Immunity to Normal Weapons power, and may be used by adepts with Astral Perception during astral combat.","Free Action",,0.50,1,Constant,0,Core
50,Kinesics,"Kinesics grants you complete control over your body’s nonverbal and subconscious communication and social cues, even when you’re in stressful social situations. It includes facial expressions, body movements, eye movements, fluctuations in heart rate and blood pressure, and even control over sweat glands, making it difficult to gauge your emotional state and truthfulness. Add +1 to resist Social Tests and tests to read your emotions like Judge Intentions, assensing, or truthfulness tests.",Intrinsic,,0.25,99,Constant,0,Core
51,"Kinesics Mastery","An advanced version of Kinesics (p. 310, SR5), this power allows two adepts with this ability to communicate with each other while using solely non-verbal cues, such as body language and minute facial expressions, and natural subconscious cues. While general messages and mental states are easily relayed, those with Kinesics Mastery can relay specific, detailed information such as locations, names, places, or numbers. Communication in this way requires adepts to have direct line of sight and be close enough to read each other’s facial features and body language, whether through natural, augmented, or magical means.",Intrinsic,Kinesics,0.50,1,Constant,0,SR5:SG
52,"Light Body","Light Body is used to make incredible jumps over long distances. Add the power’s level to your Agility before calculating maximum distance you can jump. Also, add 1 die per level to your Gymnastics Test when you make your jump. If you should happen to fall, reduce the effective distance of a fall by the level in meters when calculating your falling damage.",Intrinsic,,0.25,99,Constant,0,Core
53,"Light Touch","Light Touch allows the adept greater control in palming or pickpocketing an object and preventing anyone from perceiving the act. It imposes a –1 Perception dice pool modifier per level of Light Touch to anyone observing or being targeted by the adept.",Intrinsic,,0.25,99,Constant,0,SR5:SSo
54,Linguistics,"Through enhanced memory and mimicry, adepts with this power are able to learn new languages after a minimal amount of exposure to it, without spending Karma. To learn a new language, an adept must be exposed to the new language for (12 – Magic Rating) hours, (minimum 1 hour). The adept then makes a Logic + Intuition Test using the Linguistics Table. If successful, the adept gains the language at Rating 1. Further development of the new language requires normal Karma expenditure.",Intrinsic,,0.25,1,Constant,0,SR5:SG
55,"Living Focus","This power allows the adept to sustain a spell in a manner that simulates a Sustaining Focus. The casting magician does not need to maintain the spell but can transfer the spell to the adept with a Simple Action, with the adept providing the mana to power the spell. The spell cannot be further transferred, even if the recipient has the Living Focus power. The spell’s Force cannot exceed the adept’s Magic Attribute, and while sustaining the spell the adept suffers a –2 dice pool modifier to all actions while they sustain the spell. Counterspelling the sustained spell is handled with Dispelling (p. 296, SR5)","Free Action",,1.00,1,Constant,0,SR5:SSp
56,"Maintain Warmth","Maintain Warmth allows the adept to delay the onset of hypothermia and other cold-related ailments. This eliminates any modifiers to the Survival Test due to weather (see Survival Test Table, p. 137, SR5).",Intrinsic,,0.25,1,Constant,0,SR5:SSp
57,"Magic Sense","Magic Sense allows an adept to detect the use of magic in her vicinity. Treat this power as the Detect Magic spell (p. 287, SR5) but with a range equal to (Magic x 10) meters. Adepts with the Astral Perception power can also use Magic Sense to detect astral forms while perceiving the astral plane.",Intrinsic,,0.50,1,Constant,0,SR5:SG
58,"Master Archer","An adept with this ability has no equal when wielding a bow. Any Action Phase in which the adept uses the Fire Bow Simple Action or the Load and Fire Bow complex action, they can ignore 2 points of negative dice pool modifiers due to their own movement. In addition, any ranged attacks the adept makes with a bow gains +1 die.",Intrinsic,,1.00,1,Constant,0,SR5:HT
59,"Melanin Control","This power allows the adept to change the color of his skin and/or hair to that of another ethnicity/metatype, limited to the colors normally found in metahuman genetic expressions. The shift costs a Complex Action and lasts for (Magic) hours.",Intrinsic,,0.50,1,Constant,0,SR5:SG
60,"Memory Displacement","This adept power allows an adept to temporarily remove selected memories for a predetermined amount of time with the use of a Complex Action. While the memory is displaced, the adept has no recollection of the erasure or its contents, rendering attempts at Intimidation, Interrogation, or mental manipulation spells ineffective, except for any physical trauma caused. Once the predetermined time has elapsed, the memory returns.","Complex Action",,0.25,1,Constant,0,SR5:SSp
61,"Metabolic Control","An adept with this power has the ability to enter a deep meditative state where all metabolic processes are slowed. This has two benefits. The first is to reduce the amount of rest the adept needs. In game terms, for every hour the adept in this state, she increases the interval for taking fatigue damage from sleep deprivation by another three hours (see p. 172, SR5).  The second benefit preserves the adept’s life in emergency situations. When the adept goes into Physical overflow damage, he immediately goes into this meditative state. While in this state, the adept only takes an additional box of overflow damage every (Body) hours. An adept can exit this state whenever he wishes, but doing so while severely injured causes all wounds or toxins to immediately take effect unless treated or healed.",Intrinsic,,0.50,1,Constant,0,SR5:SG
62,Mimic,"Mimic allows an adept to be able to mystically copy fingerprints, palm prints, and retinal prints and temporarily imprint those patterns onto his own body. For each level of Mimic, the character can receive 1 die to use to fool a print scanner. The adept must spend 1 minute in physical contact with the target, with each minute increasing the quality of the copy. The highest copy that can be produced of these prints is Rating 6 (which requires 6 minutes of contact with the target). The copies of the prints last for (Magic Rating of the adept) minutes before the adept’s body reverts back to its natural patterns.",Intrinsic,,0.25,6,"Magic Minutes",0,SR5:SSo
63,"Missile Mastery","In the hands of an adept with Missile Mastery, everyday items such as bottles, credsticks, tools, empty clips, flashlights, cooking utensils, and so on can be turned into deadly weapons. Such improvised weapons have a Damage Value of (STR)P with an Accuracy of 3. The adept can also declare whether these weapons do Physical or Stun damage. Additionally, adepts with this ability have a greater affinity for throwing weapons. For ranged attacks with non-explosive throwing weapons, the adept gains +1 die and adds +1 to the weapon’s Damage Value.",Intrinsic,,1.00,1,Constant,0,SR5:SG
64,"Missile Parry","You can catch slow-moving projectiles such as arrows, thrown knives, grenades, or shuriken out of the air. When using this power, add +1 die per level to your defense pool against the attacker’s ranged attack test. If you generate net hits, you pluck the missile out of the air. You need to have at least one empty hand to use Missile Party.","Interrupt (-5 Initiative)",,0.25,99,Constant,0,Core
65,"Motion Sense","Able to sense movement in her immediate vicinity, an adept with this power becomes a living motion sensor and is very difficult to sneak up on or ambush. Through a combination of natural and magical senses, the adept feels the movement of people, animals, or objects by their displacement of air molecules, changes in ambient barometric pressure, vibrations, or the minute disruption of the local mana field. This feeling alerts the adept to movement around her equal to (Magic) meters and can be used to detect living beings or objects that would otherwise be hidden by normal senses such as sight, sound, or smell. The size of the target also directly affects the adept’s ability to sense it.  To use this power, the adept must first make a Perception + Magic [Mental] test. The threshold for this test is based on the size of whatever the adept is attempting to sense; consult the Motion Sense table for results.",Intrinsic,,0.50,1,Constant,0,SR5:SG
66,"Mystic Armor","This power protects you from physical attacks. For every level, this power gives you 1 point of Armor (cumulative with other armor, but not adding to encumbrance) that also protects against damage you take in astral combat.",Intrinsic,,0.50,99,Constant,0,Core
67,"Natural Immunity","Add +1 die per level to your tests to resist toxins and disease.",Intrinsic,,0.25,99,Constant,0,Core
