Row,Name,Mount,Availability,Cost,Description,Wireless,Source,Bonus,MinRating,MaxRating,Attachable
11,"Shock Pad",Stock,2,50¥,"A shock-absorbing pad is situated on the rigid stock of a rifle, shotgun, or heavy weapon, and provides 1 point of recoil compensation.",,Core,,1,1,1
12,Silencer/Suppressor,Barrel,9F,500¥,"This barrel-mounted accessory reduces the sound and flash of a weapon’s discharge. It cannot be used with revolvers or shotguns. It applies a –4 dice pool modifier on all Perception Tests to notice the weapon’s use or locate the weapon’s firer. Attaching or removing a silencer takes a Complex Action.","The silencer/suppressor features a Rating 2 microphone with Rating 2 Select Sound Filter and simple software that alerts you via AR if your silencer detects the sound of someone nearby reacting to the sound of the silenced weapon.",Core,,1,1,1
13,"Smart Firing Platform",Under,12F,"2,500¥","This is a non-mobile robotic tripod equipped with a remote control pivot that allows for a 180-degree firing arc and a 60-degree inclination. You can mount one smartgun-equipped weapon to the platform, and it will be fired by the device’s onboard Pilot (Device Rating 3). The platform is equipped with a Targeting Autosoft (Rating 3) and can be upgraded with additional autosofts, usually a Clearsight program. You need to set the parameters of who exactly the platform should and shouldn’t shoot at, which are followed by the platform’s pilot (Pilot Programs, p. 269). The platform provides 5 points of Recoil Compensation. It has an Initiative attribute of Pilot x 2 and 4D6 Initiative Dice when acting autonomously (see Drone Initiative, p. 270).","You can fire the mounted weapon remotely (Control Device, p. 238), like a drone with no rigger interface. You can use an implanted smartlink with the smartgun if you’re in VR.",Core,,1,1,1
14,"Smartgun System, Internal",Internal,(+2)R,"(Weapon Cost x 2)¥","This connects a firearm or a projectile weapon directly to the user’s smartlink. Incorporating a small camera and laser range finder, the smartlink keeps track of ammunition, heat buildup, and material stress. If you have a smartlink, you can mentally switch between gun modes, eject a clip, and fire the gun without pulling the trigger. The camera lets you shoot around corners without exposing yourself to return fire (at a –3 dice pool penalty). The system makes use of advanced calculation software, allowing for precisely calculated trajectories and high precision over any distance. If you’re using a smartlink, the smartgun system increases the gun’s Accuracy by 2. The smartgun features are accessed either by universal access port cable to an imaging device (like glasses, goggles, or a datajack for someone with cybereyes) or by a wireless connection working in concert with direct neural interface. Retrofitting a firearm with an internal smartgun system doubles the weapon’s price and adds 2 to its Availability. An external smartgun system can be attached to the top mount or underbarrel mount with an Armorer + Logic (4, 1 hour) Extended Test. The small camera has a capacity of 1 and can be equipped with vision enhancements (p. 444).","A wireless smartlink provides a dice pool bonus to all attacks with the weapon: +1 if you’re using gear with a smartlink or +2 if you’re using an augmentation for which you paid Essence. Ejecting a clip and changing fire modes are Free Actions.",Core,,1,1,1
15,"Smartgun System, External","Top, Under",4R,200¥,"This connects a firearm or a projectile weapon directly to the user’s smartlink. Incorporating a small camera and laser range finder, the smartlink keeps track of ammunition, heat buildup, and material stress. If you have a smartlink, you can mentally switch between gun modes, eject a clip, and fire the gun without pulling the trigger. The camera lets you shoot around corners without exposing yourself to return fire (at a –3 dice pool penalty). The system makes use of advanced calculation software, allowing for precisely calculated trajectories and high precision over any distance. If you’re using a smartlink, the smartgun system increases the gun’s Accuracy by 2. The smartgun features are accessed either by universal access port cable to an imaging device (like glasses, goggles, or a datajack for someone with cybereyes) or by a wireless connection working in concert with direct neural interface. Retrofitting a firearm with an internal smartgun system doubles the weapon’s price and adds 2 to its Availability. An external smartgun system can be attached to the top mount or underbarrel mount with an Armorer + Logic (4, 1 hour) Extended Test. The small camera has a capacity of 1 and can be equipped with vision enhancements (p. 444).","A wireless smartlink provides a dice pool bonus to all attacks with the weapon: +1 if you’re using gear with a smartlink or +2 if you’re using an augmentation for which you paid Essence. Ejecting a clip and changing fire modes are Free Actions.",Core,,1,1,1
16,"Spare Clip",,4,5¥,"A spare clip comes unloaded but can hold the maximum rounds for the weapon. Each clip is specific to the weapon you buy it for, but they all cost the same. And yes, it’s technically a detachable box magazine, but the Cityspeak word for it is so popular these days that even the catalogs call them clips.",,Core,,1,1,0
17,"Speed Loader",,2,25¥,"The speed loader is a simple device that holds a ring of bullets for fast insertion into a revolver’s cylinder. Each speed loader is specific to the weapon it was designed for. It lets you fully reload a revolver as a Complex Action instead of having to load rounds one at a time (Reloading Weapons table, p. 163).",,Core,,1,1,0
18,Tripod,Under,4,500¥,"The tripod provides a stable base to fire a weapon low to the ground with the user kneeling or sitting. A tripod can be attached to the underbarrel mount and provides 6 points of Recoil Compensation when properly deployed. Attaching a tripod takes one minute. Folding up or deploying the bipod is a Free Action.","Folding up, deploying, or removing the tripod is a Free Action.",Core,,1,1,1
19,"Advanced Safety System",Any,4,600¥,"It’s always good to make sure your weapon only goes off when you want it to. The advance safety system works along with your smartlink (meaning that you need a smartlink to have one of these) to make sure only an authorized user fires the gun. There are a few ways to pull this off—one is to have biometric scanners in the grip or butt of the weapon, or the system can scan for an authorized RFID tag or PAN within 1 meter of the weapon. (This works similarly to a maglock card reader, system, p. 363, SR5.) If the authorized user(s) is present or holding the gun, it’ll be ready to fire. If not, no dice. These systems have a default Device Rating of 3. The basic system keeps unauthorized users from firing the gun, but you can put on a few extras to make things a little more interesting for people trying to mess with your stuff.",,SR5:R&G,,3,3,1
20,"Advanced Safety System, Immobilization",Any,6,100¥,"It’s always good to make sure your weapon only goes off when you want it to. The advance safety system works along with your smartlink (meaning that you need a smartlink to have one of these) to make sure only an authorized user fires the gun. There are a few ways to pull this off—one is to have biometric scanners in the grip or butt of the weapon, or the system can scan for an authorized RFID tag or PAN within 1 meter of the weapon. (This works similarly to a maglock card reader, system, p. 363, SR5.) If the authorized user(s) is present or holding the gun, it’ll be ready to fire. If not, no dice. These systems have a default Device Rating of 3. The immobilizer locks everything up so that it will take more than a biometric scan to get it going again; instead, you need an Armorer took kit and an Armorer + Logic (12, 5 minutes) Extended Test to get it working again.",,SR5:R&G,,3,3,1
21,"Advanced Safety System, Self Destruct",Any,6,200¥,"It’s always good to make sure your weapon only goes off when you want it to. The advance safety system works along with your smartlink (meaning that you need a smartlink to have one of these) to make sure only an authorized user fires the gun. There are a few ways to pull this off—one is to have biometric scanners in the grip or butt of the weapon, or the system can scan for an authorized RFID tag or PAN within 1 meter of the weapon. (This works similarly to a maglock card reader, system, p. 363, SR5.) If the authorized user(s) is present or holding the gun, it’ll be ready to fire. If not, no dice. These systems have a default Device Rating of 3. Self destruct bricks the thing but good, damaging the internals beyond repair.",,SR5:R&G,,3,3,1
22,"Advanced Safety System, Explosive Self Destruct",Any,11F,400¥,"It’s always good to make sure your weapon only goes off when you want it to. The advance safety system works along with your smartlink (meaning that you need a smartlink to have one of these) to make sure only an authorized user fires the gun. There are a few ways to pull this off—one is to have biometric scanners in the grip or butt of the weapon, or the system can scan for an authorized RFID tag or PAN within 1 meter of the weapon. (This works similarly to a maglock card reader, system, p. 363, SR5.) If the authorized user(s) is present or holding the gun, it’ll be ready to fire. If not, no dice. These systems have a default Device Rating of 3. Explosive self destruct is the next step up, blowing the weapon up with 14P(f) damage (AP –5 for the person holding the weapon, +4 for anyone else) and a –2/m blast radius.",,SR5:R&G,,3,3,1
23,"Advanced Safety System, Electro Shocker",Any,6R,350¥,"It’s always good to make sure your weapon only goes off when you want it to. The advance safety system works along with your smartlink (meaning that you need a smartlink to have one of these) to make sure only an authorized user fires the gun. There are a few ways to pull this off—one is to have biometric scanners in the grip or butt of the weapon, or the system can scan for an authorized RFID tag or PAN within 1 meter of the weapon. (This works similarly to a maglock card reader, system, p. 363, SR5.) If the authorized user(s) is present or holding the gun, it’ll be ready to fire. If not, no dice. These systems have a default Device Rating of 3. Electro shocker delivers 5S(e) damage to the miscreant using your weapon; it can go off three times before it needs to be recharged. You can only have one extra deterrent as part of your safety system. The system, whether it’s the basic one or a fancier version, can only go in the internal slot.",,SR5:R&G,,3,3,1
24,Bayonet,"Top, Under",4R,50¥,"Some people think the bayonet charge became obsolete around the time of the Amer ican Civil War. Some people are not creative enough. A blade on the end of your firearm means more options, and in the shadows, this can be a very good thing to have. Bayonets can be fixed to the top or underneath slots of rifle-sized or larger weapons (though honestly, fixing one on top of your HMG is not going to be terribly useful). When attached on a weapon, it has Reach 2, DV (STR +1)P, and AP –1; it has the same stats when detached, only its Reach is 0. In either case, use the Blades skill when attacking with it.",,SR5:R&G,,1,1,1
25,"Concealed Quick-Draw Holster",,6,275¥,"What more do you want a holster to do? You get to reduce the Concealability modifier of your weapon by 1 while the threshold to quick-draw a holstered weapon drops by 1. It won’t fire the thing for you, though, so buckle down and do it yourself. The holster does not take any slots in your weapon. Please excuse our compulsion to point out fairly obvious stuff like that.",,SR5:R&G,,1,1,0
26,"Extreme Environment Modification",,8,"1,500¥ * Level","When you need to keep the cold from freezing the lubricants in your machinery, or when you want to keep sand from getting in every nook and cranny and gumming up the works, this is what you need. This won’t make a weapon work in a place where the basic laws of physics say it won’t function—your flamethrower’s not going to work underwater, no matter how much you tinker with it.",,SR5:R&G,,1,2,0
27,Flashlight,"Top, Under",2,50¥,"Because, well, light helps you see. This light is designed to point where your gun is without being obvious; a recessed light source makes it tough for outside observers to see exactly where the light is coming from. Unless you’re directly in its path, in which case you see it to well. If the light’s shining right at you and it’s the type of light that would normally help you, then you get a Weak Glare modifier (p. 175, SR5). There are three kinds of flashlights. Standard flashlights provide Partial Light;",,SR5:R&G,,1,1,1
28,"Flashlight, Low Light","Top, Under",4,200¥,"Because, well, light helps you see. This light is designed to point where your gun is without being obvious; a recessed light source makes it tough for outside observers to see exactly where the light is coming from. Unless you’re directly in its path, in which case you see it to well. If the light’s shining right at you and it’s the type of light that would normally help you, then you get a Weak Glare modifier (p. 175, SR5). There are three kinds of flashlights. Low-light flashlights uses a soft red light to help people with low-light vision, moving them up one row on the Environmental Modifiers chart (p. 175, SR5); it is useless to characters without low-light vision;",,SR5:R&G,,1,1,1
29,"Flashlight, Infrared","Top, Under",6,400¥,"Because, well, light helps you see. This light is designed to point where your gun is without being obvious; a recessed light source makes it tough for outside observers to see exactly where the light is coming from. Unless you’re directly in its path, in which case you see it to well. If the light’s shining right at you and it’s the type of light that would normally help you, then you get a Weak Glare modifier (p. 175, SR5). There are three kinds of flashlights. Infrared flashlights work similar to lowlight flashlights, only for characters with infrared vision instead of those with low-light vision. They move the modifier one row up the chart, and they do nothing for people without infravision.",,SR5:R&G,,1,1,1
30,"Folding Stock",Stock,2,30¥,"This is a stock. That folds into the weapon. Got it? It provides 1 point of re coil compensation—but only, of course when it is out and braced against the user’s shoulder. It must be installed in the stock slot and requires a Simple Action to move in or out; there is a motorized version that makes folding and unfolding it a Free Action.",,SR5:R&G,,1,1,1
31,Foregrip,Under,2,100¥,"This is a handle you put on in the front of the weapon to give you a sturdier grip. It can be mounted on the barrel or underneath slots, and it cannot be used on Pistols and Hold-outs. It provides 1 point of Recoil Compensation and adds 1 to the Concealability of the weapon to which it’s attached.",,SR5:R&G,,1,1,1
32,"Gecko Grip",,6,100¥,"Have trouble holding on to your gun? Then maybe you shouldn’t have one. But if that’s not an option, then try gecko grip, which makes your piece stick in your hand like, well, a gecko hanging on a wall. This gives your grip a bunch of tiny fibers that are awfully clingy to just about anything. The fibers can be turned on and off via wireless command if you have a smartgun—if not, pressing two buttons at the same time does the trick. The mod gives a +6 bonus on any tests to see if a character keeps grip on the gun. This can go on any weapon with a grip, whether they have a stock slot or not; if they have a stock slot, this takes it up.",,SR5:R&G,,1,1,0
33,Guncam,"Top, Under, Barrel, Side, Internal",4,350¥,"The device that launched a thousand stupid-ass MeFeed videos. Whatever the gun is pointing at, it records. Yeah, you don’t always want a record of what you’re about to shoot, but sometimes that footage is invaluable—whether you need to show Mr. Johnson what you managed to pull off, review footage to help you plan your next move, or doctor what you filmed to make you look good, the video you film has plenty of possible uses. Its Device Rating fills in for any necessary stats. Guncams can be installed in the Top, Underneath, Barrel, Side, or Internal slots.",,SR5:R&G,,1,1,1
34,"Hip Pad Bracing System",Stock,4,250¥,"Some weapons are, quite simply, a huge load. This system allows you to move some of the weight of the weapon to your hip, distributing the weight more and letting you brace it better. The end result is that the user gets 1 point of recoil compensation. It uses the stock slot.",,SR5:R&G,,1,1,1
35,"Improved Range Finder",Any,6,"2,000¥","Laser range finders are standard equipment on smartlinks, but if you have the scratch you can make its range calculation functions even better. It combines three technologies microwave, laser, and radar—to give you an extremely accurate calculation of range. The effect of this is to reduce range modifiers by 1. This only can be used in weapons that have a smartlink; it can be positioned in any slot besides the one that has the smartlink. This bonus cannot be combined with any bonuses from image magnification on the weapon.",,SR5:R&G,,1,1,1
36,"Peak-Discharge Battery Packs, Power Clip",,14F,400¥,"For weapons that need a power source, this is it. It does not take up a slot; weapons that need it already have a spot for it. It charges at a rate of 1 power unit per 30 minutes. The number of power units used per shot is listed with each weapon. Power clips, which hold 10 power units and fit into a weapon like a clip would; Many hundreds of hours have gone into testing and refining the makeup of these batteries to make it so they are not susceptible to explosions. So no, you can’t use one as an improvised explosive device.",,SR5:R&G,,1,1,0
37,"Peak-Discharge Battery Packs, Satchel Power Pack",,16F,900¥,"For weapons that need a power source, this is it. It does not take up a slot; weapons that need it already have a spot for it. It charges at a rate of 1 power unit per 30 minutes. The number of power units used per shot is listed with each weapon. Satchel power packs that hold 20 power units, are about the size of a canteen, and are usually attached to belts",,SR5:R&G,,1,1,0
38,"Peak-Discharge Battery Packs, Power Backpack",,20F,"2,500¥","For weapons that need a power source, this is it. It does not take up a slot; weapons that need it already have a spot for it. It charges at a rate of 1 power unit per 30 minutes. The number of power units used per shot is listed with each weapon. Power backpacks, which hold 30 power units and are worn on the back, of all places. Satchels and backpacks are attached to weapons with a self-recoiling cord that requires a Simple Action to attach.",,SR5:R&G,,1,1,0
39,"Safe Target System Base","Top, Under, Barrel, Side, Internal",6,750¥,"The goal of this system is to avoid those situations where your mates are chewing you out for accidentally shooting them in the hoop. Using information about your teammates’ appearance and the electronics in their PAN, this system attempts to recognize when you are aiming at any spot within 1 meter of a friendly target. In these situations, the system locks the trigger, preventing you from firing. Once the friendly target isn’t at risk anymore, you can start firing again. Note that the system interprets risk broadly—if there is something between you and a friendly target, the system will lock you out, unless that “something” is an entire office building or Mt. Rushmore or something.",,SR5:R&G,,1,1,1
40,"Safe Target System Base, Additional RFID or GPS Data","Top, Under, Barrel, Side, Internal",6,"25¥ per 10 data sets","The goal of this system is to avoid those situations where your mates are chewing you out for accidentally shooting them in the hoop. Using information about your teammates’ appearance and the electronics in their PAN, this system attempts to recognize when you are aiming at any spot within 1 meter of a friendly target. In these situations, the system locks the trigger, preventing you from firing. Once the friendly target isn’t at risk anymore, you can start firing again. Note that the system interprets risk broadly—if there is something between you and a friendly target, the system will lock you out, unless that “something” is an entire office building or Mt. Rushmore or something.",,SR5:R&G,,1,1,1
41,"Safe Target System Base, Image Recognition Capabilities","Top, Under, Barrel, Side, Internal",8,300¥,"The goal of this system is to avoid those situations where your mates are chewing you out for accidentally shooting them in the hoop. Using information about your teammates’ appearance and the electronics in their PAN, this system attempts to recognize when you are aiming at any spot within 1 meter of a friendly target. In these situations, the system locks the trigger, preventing you from firing. Once the friendly target isn’t at risk anymore, you can start firing again. Note that the system interprets risk broadly—if there is something between you and a friendly target, the system will lock you out, unless that “something” is an entire office building or Mt. Rushmore or something.",,SR5:R&G,,1,1,1
42,"Safe Target System Base, Extra Image Profiles","Top, Under, Barrel, Side, Internal",8,"25¥ per 10 profiles","The goal of this system is to avoid those situations where your mates are chewing you out for accidentally shooting them in the hoop. Using information about your teammates’ appearance and the electronics in their PAN, this system attempts to recognize when you are aiming at any spot within 1 meter of a friendly target. In these situations, the system locks the trigger, preventing you from firing. Once the friendly target isn’t at risk anymore, you can start firing again. Note that the system interprets risk broadly—if there is something between you and a friendly target, the system will lock you out, unless that “something” is an entire office building or Mt. Rushmore or something.",,SR5:R&G,,1,1,1
43,"Slide Mount","Top, Under, Side",4,500¥,"By installing this on the top, underneath, or side slots, you can make it much easier to install and remove items in these locations. Items may be taken on or off using a Simple Action.",,SR5:R&G,,1,1,1
44,Sling,,,15¥,"For Special Forces troops, this is a sturdy piece of mesh or canvas custom-fitted to the user and positioned on the weapon in a way to ensure it can be readied as quickly as possible. For guerilla warriors, this might be a piece of rope, and old belt, or anything else that can be rigged up to help them keep from dropping their weapon. No matter how complex or simple, the function is basic—it makes sure your weapon doesn’t fall to the ground when you’re running or diving from an explosion or in the middle of being shot or whatever. It may be shot out of your hands, but getting it ready again is a Simple Action. The sling does not take up any slots on a weapon.",,SR5:R&G,,1,1,0
45,Tracker,,4,150¥,"This is a customized RFID tag that combines the functions of security and stealth RFIDs, giving you the chance to track down your weapon if for some reason you don’t know where it is. Use the rules for RFID tags, p. 440, SR5; assume the tracker has the function of a security tag and a stealth tag. The tracker does not take up any slots in a weapon.",,SR5:R&G,,1,1,0
46,"Bola Launcher",Under,8R,350¥,"Would your weapon be enhanced by the ability to throw out two balls connected by a thin rope that can entangle and trip up your opponent? If your answer is “no,” please go back and read the questions again. As the name indicates, this goes on the underneath slot, and it can only go on weapons rifle-sized or larger The launched bola works in the same way as a regular bola (p. 27) as thrown by someone with Strength 5. It uses Heavy Pistol ranges, and wielders fire it with the Exotic Ranged Weapon (Bola) skill.",,SR5:R&G,,1,1,1
47,Chainsaw,Under,10R,"500¥ + chainsaw","Very useful in case you need to chop wood for a campfire while out on a run, or cut some lumber to repair floorboards.",,SR5:R&G,,1,1,1
48,Flamethrower,Under,"As Flamethrower + 2","200¥ + flamethrower","We’ve known runners so fond of fire that they might mount one of these on an actual flamethrower. This can go on the underbarrel slot of a rifle-sized weapon. For rules covering flamethrower use, see p. 49.",,SR5:R&G,,1,1,1
49,"Grapple Gun",Under,8R,600¥,"It’s a grapple gun mounted on the underneath slot of a rifle-sized weapon or larger. No muss, no fuss. For grapple gun rules, see p. 449, SR5.",,SR5:R&G,,1,1,1
50,"Grenade Launcher",Under,10F,"3,500¥","Give yourself the ability to lob grenades out there with your weapon. It can be mounted (say it with us now!) on the underneath slot of a rifle-sized weapon or larger. See p. 434, SR5, for more information on using grenade launchers.",,SR5:R&G,,1,1,1
51,Weight,Under,,¥,"It may be a crude way to reduce recoil, but it still works. By placing some weight in the underneath slot of a weapon, you prevent the kick from being as severe as it would be otherwise. This provides 1 point of recoil compensation when using the weapon in Full Auto mode.",,SR5:R&G,,1,1,1
52,"Weapon Commlink",,"As Commlink","200¥ + Commlink","Once you get over the idea that using your commlink means touching it all the time, placing one in your weapon becomes a sensible move. Your weapon becomes the heart of your PAN. Many users like to use this with the weapon personality mod.",,SR5:R&G,,1,1,0
53,"Weapon Personality",,8,250¥,"Does your gun need its own software complete with an artificial per sonality to provide information in a more chatty fashion instead of just providing numbers, crosshairs, and other similar data? Depends on how you function. If meta-to-meta interaction is how you prefer to get your information, you might want a weapon personality, which provides a metahuman-like interface so you can chat away. The guttural Neil the Ork Barbarian with its "scalped 'em" grunt to tell you when you got a hit is especially popular.",,SR5:R&G,,1,1,0
54,"Ammo Skip System",Under,8R,250¥,"This modifcation is made specifcally for shooters who want to use multiple types of ammo and have them ready to fire at a moment’s notice. This mod can be applied to any weapon with a cylinder or drum magazine. As a Simple Action the system rotates the cylinder or drum to the chamber holding rounds of the wielder’s choice. Wireless bonus: Switching between ammo types is a free action.",,SR5:HT,,1,1,1
