Row,Name,SpellType,Action,Range,Duration,PowerType,Source,Description
27,"Mist Form",Physical,Complex,Self,Sustained,Critter,Core,"This power allows the critter to transform itself into a cloud of mist. Shifting into or out of mist form is a Complex Action. When shifting into mist form, the critter transforms itself and any bonded foci it is carrying, active or not.  The mist form has a movement rate of 5 meters per Combat Turn; the critter can control some of its movement in this form, though it is susceptible to strong winds. These can push or disrupt the mist, which can temporarily disorient the critter. The mist form can pass through any cracks or crevices that aren’t airtight. Systems that defend against gases, bacteria, or viral infiltration also stop a critter in mist form.  While in mist form, the critter has Immunity to Normal Weapons. If the being is exposed to a substance to which it is allergic, it is immediately forced back into its normal form. While in mist form, the critter can perceive normally but cannot use any of its other powers until it resumes its normal form."
28,Movement,Physical,Complex,LOS,Sustained,Critter,Core,"This power allows the critter to speed up or slow down the target’s movement rate. The power only works on things that are predisposed to locomotion: vehicles, characters, or critters. If used on targets other than the critter, it also only functions in terrain that the critter controls. If used only on the critter itself, this power can be used anywhere. The critter can multiply or divide the target’s movement rate by up to its Magic attribute.  Only one instance of this power may be applied to a particular target at any one time. Once the target has left the critter’s terrain/domain, the power ends and the target’s movement is returned to normal.  Using Movement on vehicles is tougher than it is on critters and characters. If the target is a vehicle, the critter makes a Magic + Willpower test with a threshold of half the vehicle’s Body (round up), with a minimum of 2. If the critter meets the threshold in this test, multiply the hits by the vehicle’s Acceleration Rating and add the result to (or subtract it from) the vehicle’s Speed in the next Combat Turn, as if making an Acceleration or Deceleration Test. The critter can continue to make Magic + Willpower Tests to increase or decrease the vehicle’s speed each Combat Turn that it sustains this power and the vehicle remains in its domain/terrain. Based on the situation, these sudden changes in speed may call for Crash Tests (p. 201) for the vehicle"
29,"Mystic Armor",Mana,Auto,Self,Always,Critter,Core,"This power functions in the same way as Armor, except that it only provides protection from attacks on the astral plane."
30,"Natural Weapon",Physical,Auto,Touch,Instant,Critter,Core,"Claws. Sharp, pointy teeth. A spiked tail. Whatever form it takes, the critter possesses some means of inflicting Physical damage. The description of this power describes the nature of the attack, as well as its Damage Value and Armor Penetration modifiers where applicable. Natural weapons may be either melee or ranged attacks, and critters follow standard combat rules when using them. Critters use the Unarmed Combat skill to attack with natural melee weapons, and the Exotic Ranged Weapon skill to attack with natural ranged weapons. Most natural weapons are considered normal weapons for purposes of the Immunity to Normal Weapons power; exceptions are noted in individual critter descriptions.  A dual-natured critter with a melee Natural Weapon can use this power against astral targets that are within its reach. Use the critter’s normal Unarmed Combat skill and physical Damage Value for this attack. Ranged Natural Weapons, like other ranged combat, do not work on the astral plane.  Critters without a Natural Weapon may still make an unarmed attack. As with regular characters, the Damage Value is (STR)S."
31,"Noxious Breath",Physical,Complex,Special,Instant,Critter,Core,"A lot of critters have bad breath—this one’s breath is actually toxic. The critter with this power can incapacitate targets with a nauseating stench. This is treated as a ranged attack using the critter’s Exotic Ranged Weapon skill + Agility [Physical]. The damage is a toxin attack with an inhalation vector (Speed: Immediate, Power: critter’s Magic, Effect: Stun damage, nausea; see p. 409). Armor is useless, but respiratory protection will help guard the target (see the Toxin and Drug Protection Table, p. 408).  This blast of breath extends in a cone out to (Body) meters and can catch up to two targets who are within one meter of each other."
32,"Paralyzing Howl",Physical,Complex,Special,Special,Critter,Core,"This power affects everyone who hears it, be they friend or foe, within a radius of (Magic x 15) meters. The critter makes an Opposed Test using its Magic + Charisma against the target’s Intuition + Willpower. The rating of any area-effect sound-dampening devices, personal sound-dampening devices (such as cyberware), or hits scored by Hush or Silence spells, is added to the target’s Opposed Test. If the target wins, he suffers no ill effects.  If the critter wins, the target’s Reaction and Agility are both reduced by 1 for every net hit the creature scores; the reduction in Reaction affects the target’s Initiative and Initiative Score. This effect lasts for (Magic + net hits) Combat Turns. If either Agility or Reaction drop to zero, the target is paralyzed for (Magic + net hits) minutes and can take no actions except to breathe. After either effect ends, the target’s Reaction and Agility each return at the rate of 1 point per minute."
33,"Paralyzing Touch",Physical,Complex,Touch,Special,Critter,Core,"This is the Touch-range version of the Paralyzing Howl power. The critter must touch the target; if the target is surprised or otherwise unaware of the critter, this is automatic. If the target is aware of the critter, treat this as a Melee Attack that causes no damage. The Opposed Test to paralyze a target is the critter’s Magic + Agility against the target’s Intuition + Willpower. Otherwise, this power functions the same way as Paralyzing Howl."
34,Petrification,Physical,Complex,LOS,Sustained,Critter,Core,"Some critters petrify you with fear. Critters with this power can do it literally. Perform an Opposed Test using the critter’s Magic + Willpower against the target’s Intuition + Willpower. If the target wins, he suffers no ill effects.  If the critter wins, the target’s Agility and Reaction are both reduced by 1 for each net hit the critter scores; this reduction also affects the target’s Initiative and Initiative Score. This effect lasts as long as the critter sustains the power. After this effect ends, the target’s Reaction and Agility return at the rate of 1 point each per minute.  If either Agility or Reaction drop to 0, the target is transformed into a stone statue. He remains a statue for as long as the critter sustains the power; once the power is dropped, the target resumes his normal state and regains Reaction and Agility each at the rate of 1 per minute.  While transformed, the victim is unaware of his surroundings and events happening around him. He has a Barrier Rating equal to the critter’s Magic x 2."
35,Psychokinesis,Physical,Complex,LOS,Sustained,Critter,Core,"This power enables a critter to move an object with his mind. It’s similar to the Magic Fingers spell (p. 294), acting as a magical “hand” with Strength and Agility equal to the number of hits scored on a Magic + Willpower Test."
36,Regeneration,Physical,Auto,Self,Always,Critter,Core,"This power allows rapid healing of any damage a critter has taken. At the end of each Combat Turn, if the critter has any damage on either of its Condition Monitors, it makes a Magic + Body Test, adds its Body to the number of hits scored, and heals that many boxes of damage, first from Physical overflow, then from the Physical damage monitor, and finally from the Stun damage monitor. If the critter has exceeded its Physical overflow damage, it’s not dead yet. It still gets a Regeneration Test. If, after this test, its Physical overflow still exceeds its Body, then it’s really dead.  Regeneration can’t heal everything. Damage to the brain or spinal cord (for example, a called shot to the head) can’t be healed this way. Magical damage from weapon foci, combat spells, most critter or adept powers, or Drain likewise can’t be healed by Regeneration. If the critter is damaged by something it has an Allergy to, it can heal that damage with Regeneration, but can’t make the Regeneration Test as long as it’s in contact with the allergen.  Regeneration is incompatible with augmentations. Critters with Regeneration cannot receive augmentations; surgical incisions close too quickly to perform the implantation. Critters with augmentations who gain this power will reject their augmentations as the power repairs the existing genetic template."
37,Sapience,Physical,Auto,Self,Always,Critter,Core,"Sapient critters are self-aware, capable of making their own choices, and are generally at or above the level of Homo sapiens. While most critters are considered Unaware of any skill they don’t possess, sapient critters are merely Untrained and can default normally. They are also capable of learning new skills if they so choose.  Most sapient critters are mundane, but they are capable of Awakening and possessing a Magic attribute. Awakened sapient critters are capable of learning any magical task they set their minds to, and follow the same rules for magic as normal characters. While no sapient critters are known to have Emerged as technomancers, the appearance of “technocritters” has led many scientists to believe that it’s only a matter of time—if it hasn’t already happened."
38,Search,Physical,Complex,Special,Special,Critter,Core,"Seek, and ye shall find, but it goes a lot faster with this power. To find a target, the critter makes a Magic + Intuition (5, 10 minutes) Extended Test. Lots of things can make this harder; apply the appropriate modifiers from the Search Modifiers Table.  The critter must have seen the thing it’s searching for at some time before the search begins. Spirits may search for anything for which their summoner can provide them a mental image. Critters who can enter astral space may use this power there and do not have to materialize while searching, even if the target is in the physical world.  "
39,Venom,Physical,Auto,Touc,Instant,Critter,Core,"The critter secretes a toxin (see p. 408) that is dangerous and harmful to others. Typically, the attributes for this poison are Vector: Injection, Speed: 1 Combat Turn, Penetration: 0, Power: Magic, Effect: Physical damage. Some critters may have venoms with different attributes—these will be noted in their individual descriptions."
40,"Weather Control",Physical,Complex,LOS,Sustained,Critter,Core,"This allows a critter to manipulate, within reason, certain local weather conditions. The desired weather must be realistically possible in the environment, which means no snow storms in equatorial Africa, for instance. It builds up over time, reaching its peak when the critter completes a Magic + Willpower (10, 30 minutes) Extended Test. In spite of the power’s name, the critter doesn’t actually control the weather; it only summons it and pushes it in the desired direction. A critter can summon a thunderstorm, for instance, but can’t aim the lightning bolts."
41,Anaphylaxis,Physical,Complex,Touch,Instant,Spirit,SR5:SG,"Anaphylaxis is a massive systemic reaction induced by a concentrated burst of pollutants from a toxic spirit. Treat this as a toxin attack with the following ratings:"
42,"Astral Gateway",Mana,Complex,"LOS (A)",Sustained,Spirit,SR5:SG,"The spirit can open an astral rift (p. 28), which forces all nearby objects to become dual-natured and allows even mundanes to astrally project. An astral rift can open to any metaplane the spirit can visit."
43,"Aura Masking",Mana,Free,Self,Sustained,Spirit,SR5:SG,"Sometimes a spir it doesn’ t want someone to assense its natural aura. This power functions like Masking (p. 326, SR5) and Extended Masking metamagics.  Use the spir it’s Edge in place of its initiate grade. The spir it can also hide its own use of powers on itself within the mask; only a magician who pierces this mask can see the spir it using such powers. A spir it can mask itself to look like another astral being, but it cannot tr y to pass itself of f as a mundane being unless it is attached to a physical body or has the Realistic Form power (p. 198)."
44,"Banishing Resistance",Mana,Auto,Self,Special,Spirit,SR5:SG,"When resisting a Banishing attempt (p. 301, SR5), treat the spirit as if it owes a number of services equal to its Edge; these refresh every sunrise and sunset and are cumulative with any services the spirit may actually owe a conjurer."
45,"Desire Reflection",Mana,Complex,LOS,Sustained,Spirit,SR5:SG,"Desire Reflection finds the greatest desire of a single target within line of sight and evokes a full-sensory illusion keyed to the desire in the target’s mind. Certain spirits use this power to draw in potential victims. The spirit itself can appear as a harmless or pleasing aspect of the illusion at will. To use this power the critter must succeed in an Opposed Test pitting its Magic + Intuition against the target’s Willpower + Intuition. If it scores any net hits, the victim falls for the illusion. Otherwise the power fails to affect the victim.  Left to their own devices, victims act as if their desire were real and right in front of them. If the victim is attacked, injured, slapped, and so on, he may make another Opposed Test to resist the illusion; if the attack or what have you comes directly from a component of the illusion, add +2 to the dice pool. Each hit reduces the spirit’s net hits on the original Opposed Test. If the spirit’s net hits are reduced to 0, the victim breaks free of the illusion. Those who fail are lost and entranced, caught up in the fulfillment of their desire."
46,"Deathly Aura",Physical,Simple,Special,Sustained,Spirit,SR5:SG,"The spirit radiates an aura of fear and decay, which taints the surrounding environment. For an area with a radius of (Force) meters around the spir it, the temperature drops by (Force x 2)°C. Also, organic mater ial in this radius decays at a faster rate, aging by a factor equal to the spir it’s Force. This ef fect is not fast enough to noticeably damage metahumans and other large cr itters, but the aura withers plants and kills small creatures such as insects or mice. This aura fills living creatures with unreasoning terror. Someone who wishes to voluntar ily enter an af fected area must succeed in an Opposed Test between their Char isma + Willpower and the spir it’s Force x 2 or else they are compelled to flee until they are out of sight of whatever caused the aura."
47,Devouring,Physical,Complex,Touch,Sustained,Spirit,SR5:SG,"Insect spirits use the Devouring power to consume all biomaterial (e.g., crops, wood, vegetation) and most non-living objects. Some flesh-form and hybrid-form spirits seem to derive sustenance from this consumption, whereas others regurgitate the material for constructing parts of their hive. The spirit makes an Opposed Test, using the spirit’s Force x 2 against the Object Resistance (p. 295, SR5) of all possible materials/objects within (Magic) meters (to save time, the gamemaster may choose to roll once for the spirit and then roll Object Resistance for each object or object type). If the spirit gets any net hits against a particular object, that object is devoured. While this power is sustained, barriers lose 1 point of Structure Rating and vehicles take 1 box of damage per Combat Turn. Living critters and characters are unaffected."
48,Divining,Mana,Special,Special,Special,Spirit,SR5:SG,"This power functions like the Divination metamagic (p. 147), except the spirit uses Magic + Intuition to divine meaning instead of Arcana + Logic."
49,"Elemental Attack (pollutant)",Physical,Complex,Special,Instant,Spirit,SR5:SG,"This attack follows the rules for Elemental Attack (p. 396, SR5) but with the following modifications.  Pollutants can take many forms, including biological waste, industrial runoff, biohazardous materials, and so on. Pollutant attacks have a DV of (Magic x 2)S with an AP of –(critter’s Magic). Additionally, once the pollutant has worked its way into the character’s system (that is, after the interval determined by the toxin’s Speed), he must resist a toxin with the following stats:"
50,"Elemental Attack (radiation)",Physical,Complex,Special,Instant,Spirit,SR5:SG,"This attack follows the rules for Elemental Attack (p. 396, SR5) but causes radiation elemental damage, which results in radiation burns, radiation poisoning, and other serious side effects.  Radiation damage is treated as Physical damage and ignores Armor; however, the affected character may add the rating of a hazmat suit or other radiation-resistant gear when making a Damage Resistance Test against radiation damage. Radiation poisoning may also cause nausea (p. 409, SR5), headaches, blindness, or other central nervous system impairments (per gamemaster’s discretion)."
51,Endowment,Mana,Complex,Touch,Sustained,Spirit,SR5:SG,"The spirit grants the use of one of its powers to the target. The spirit may still use the power while the target uses it, and the spirit can grant a power to a number of targets equal to its Magic. No character may gain more than one power from a spirit at a time."
52,"Energy Drain",Mana,Complex,"Touch or LOS",Permanent,Spirit,SR5:SG,"The Energy Drain power is used by a number of dangerous critters and spirits in different ways. Each version of this power is slightly different, depending on the entity using it. Similar to the Essence Drain power (p. 396, SR5), Energy Drain allows the creature to suck life energy from a victim, be it Karma, Force, Magic, or Essence. For some creatures, such as blood spirits, shedim, or insect spirits, this power is Touch range, so a resisting victim must be subdued first or drained unwittingly. Other beings, such as shadow spirits, merely require line of sight for this power, allowing the critter to feed off its victims from afar.  Draining a point of Karma, Force, Magic, or Essence requires a Willpower + Magic [Mental] (10 – target’s Essence/Force, 1 minute) Extended Test. If the critter is disturbed or interrupted before this test ends, the point is not drained. If the Extended Test is completed, the critter drains one point of the specified energy, adding to its own or converting the energy to an appropriate rating point at a 1:1 ratio. Some critters, such as astral bacteria or insect spirits, use the drained energy to reproduce, as noted in their individual descriptions. Drained points are permanently lost.  In addition to the drain, victims suffer 1 box of damage for each point drained. Depending on the critter, this may be Stun damage (shadow spirits, astral bacteria) or Physical damage (blood spirits, shedim). Victims who take Physical damage appear drained, withered, and hollow, and are sometimes marked permanently (white hair, hair loss, wrinkles, premature aging, or other strange markings).  If a character’s Magic is reduced to 0, he burns out and becomes mundane. If a critter’s Magic is reduced to 0, it dies. If a spirit, sustained/anchored/quickened spell, focus, or mana barrier’s Force is reduced to 0, it is destroyed. If a victim’s Essence is reduced to 0, they die."
53,"Hive Mind",Mana,Auto,Special,Always,Spirit,SR5:SG,"All insect spirits of a given species controlled by a shaman or a queen/mother possess a constant telepathic bond with one another. Insect spirits may send a telepathic message to one or more spirits in the hive and/or the shaman as a Free Action. The shaman or queen/mother can also use this link to experience any of the hive’s insect spirits (or switch to another spirit) with a Simple Action, similar to the Sense Link power (p. 198) but without range limitations.  The constant buzz of insect spirits in an insect shaman’s mind can be distracting, especially if the hive is agitated. When this occurs, the shaman must succeed in a Magic + Willpower [Mental] (2) Test in order to suppress the background hum and concentrate on something, such as fighting or spellcasting."
