Row,Name,Type,Accuracy,Ammo,ArmorPenetration,Availability,Cost,DamageValue,Description,Modes,Modifiers,Reach,RecoilCompensation,StandardUpgrades,Wireless,Source,Skill,SkillRow,Mounts,Container
15,"Springfield M1A","Sporting Rifle",6,20(c),-1,6R,"1,700¥",12P,"A classic North American hunting rifle evolved from a century-old military design, Springfield is happy to announce a new manufacturing partner for this historically significant rifle. Our current partner has updated the rifle to accept modern attachments to meet the needs of today’s shooters, including an advanced imaging sight designed to link with the shooter’s PAN, helping with accuracy and eliminating missed opportunities on hunting trips. Interested customers should contact their local dealer for availability or purchase direct from our Matrix store. Please be advised, due to strong demand, Matrix orders will require three weeks for delivery.",SA,,,,,,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
16,"M1 Garand","Sporting Rifle",5,8(c),-1,3R,"1,100¥",12P,"The Garand has been a hallmark of quality since its introduction over a century ago. Newly manufactured, the current rifle is a fine successor to the original, with the original manufacturing tools used whenever possible to ensure it is as accurate and dependable as the originals were when manufactured.",SA,,,,,,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
17,"Springfield Model 1855 Reproduction","Sporting Rifle",2,1(cb),,4R,850¥,10P,"A reproduction of a two century old weapon, the 1855 has remained popular with the re-enactors of North America. While the hobby is not as popular as it was at the turn of the century, Springfield has licensed production to a number of smaller firms across the continent. The quality of the rifle-muskets sold through Springfield’s Matrix storefront has been guaranteed by our gunsmiths for reliability and accuracy.",SS,,,,,,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
18,"Marlin 3041 BL","Sporting Rifle",5,6(m),-3,5R,"1,100¥",10P,"A classic rifle for traditional shooters, the 3041’s lever action has been extensively reengineered to meet the toughest reliability standards, as shown by its selection by Illinois’ Department of Revenue as its issue long arm. The rifle’s barrel and action have been protected by Marlin’s proprietary anti-corrosion treatment to create an heirloom sure to last through generations of use.",SA,,,,,,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
19,"Marlin X71","Sporting Rifle",5,5(m),-4,6R,"1,500¥",12P,"A modern bolt-action rifle intended for the big-game hunter, the X71 has been thoroughly redesigned to meet the grueling requirements of arctic environments. The rifle’s self-diagnostic program is not as versatile as those offered through smartlink technology, but the simplicity lessens the chance of a malfunction. It’s simple-to-read ammunition counter allows the shooter to quickly determine their status when hunting dangerous prey, ensuring the hunter will not become the hunted.",SS,,,,,,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
20,"Marlin 79S","Sporting Rifle",4,10(c),,3R,300¥,6P,"The first rifle everyone should use to learn to shoot, the 79S is a plinker’s dream. The small-bore rifle is accurate, easy to maintain, and just plain fun to shoot. An additional benefit is that the ammunition is widely available and less expensive when you arrange a bulk purchase. The 79S has minimal recoil, and with its limited power cartridge, down-range incidents are less likely to happen. Marlin supports youth marksmanship programs by providing this rifle to qualified organizations, teaching the next generation how to defend themselves.",SA,,,,,,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
21,"Winchester Model 2067","Sporting Rifle",5,15(m),-1,4R,650¥,8P,"This the latest update to “The Gun that Won the West.” It has been re-engineered to handle the chamber pressures of modern propellants and to meet current safety code. The rifle still uses classic calibers for traditional shootists and competitions, but has been also improved to utilize a number of modern cartridges for those who desire standardization in their collections. Available in a number of different sub-models; please refer to our Matrix catalog prior to purchase.",SA,,,,,,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
22,"Cyber Hold-Out Pistol",Implant,4(6),2(m)/6(c),,8R,"2,000¥",6P,,SA,,,,,,Core,Pistols,102,,1
23,"Light Cyber Pistol",Implant,6(8),10(m)/15(c),,10R,"3,900¥",7P,,SA,,,,,,Core,Pistols,102,,1
24,"Cyber Machine Pistol",Implant,4(6),18(m)/32(c),,12R,"3,500¥",6P,,SA/BF,,,1,,,Core,Pistols,102,,1
25,"Heavy Cyber Pistol",Implant,4(6),8(m)/12(c),-1,12R,"4,300¥",7P,,SA,,,,,,Core,Pistols,102,,1
26,"Cyber Submachine Gun",Implant,4(6),18(m)/32(c),,12R,"4,800¥",7P,,SA/BF,,,2,,,Core,Automatics,92,,1
27,"Cyber Shotgun",Implant,4(6),4(m)/10(c),-1,12R,"8,500¥",10P,,SS,,,,,,Core,Longarms,101,,1
28,"Cyber Microgrenade Launcher",Implant,4(6),2(m)/6(c),"As Grenade",20F,"30,000¥","As Grenade",,SS,,,,,,Core,"Heavy Weapons",98,,1
29,"Cyber Hand Blade",Implant,Physical,,-2,10F,"2,500¥",(STR+2)P,"Hand razors are blades two to three centimeters long, made of chromed steel or carbon fiber. They either slide out from beneath your fingernails or replace them entirely.",,,,,,,Core,"Unarmed Combat",106,,1
30,"Cyber Hand Razors",Implant,Physical,,-3,8F,"1,250¥",(STR+1)P,"Hand blades slip out the side of the hand opposite the thumb, parallel to the hand, and while they are universally thin and sharp, they come in a variety of shapes and styles.",,,,,,,Core,"Unarmed Combat",106,,1
31,"Cyber Spurs",Implant,Physical,,-2,12F,"5,000¥",(STR+3)P,"Spurs are one to three blades or spikes protruding from the back of your wrist or your knuckles, sticking out from your fist as much as thirty centimeters.",,,,,,,Core,"Unarmed Combat",106,,1
32,"Cyber Shock Hand",Implant,Physical,,-5,8R,"5,000¥",9S(e),"The shock hand is like a shock glove built into the palm of your hand, perfect for inflicting a nasty shock to anything it comes into contact with. Shock hands deal Electricity damage and have ten charges in each hand; when plugged in they recharge at a rate of one charge per ten seconds.",,,,,,,Core,"Unarmed Combat",106,,1
33,"Ares Antioch-2",Cannons/Launchers,4(6),8(m),,8F,"3,200¥",Grenade,"The Antioch–2 features a classic grenade launcher design combined with an integral smartlink system. It is one of the more affordable grenade launchers on the market.",SS,,,,,,Core,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
34,"Ares Thunderstruck Gauss Rifle",Cannons/Launchers,7(8),"10(c) + Energy",-8,12F,"26,000¥",15P,"Ares has had there fair share of arms troubles over the past few years but this was not one of them. The Thunderstruck has been a massive market success, gaining even more brand recognition than the Panther XXL in the assault cannon category. It doesn’t pack quite the punch of a standard AC, but its lighter recoil load, quicker cycle time, and unmatched armor penetration have gone a long way to sway those consumers concerned about the heavier price tag.",SA,,,-1,,,SR5:R&G,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
35,"Ares Vigorous Assault Cannon",Cannons/Launchers,4,12(c),-6,18F,"24,500¥",16P,"The Ares Vigorous was billed as an early competitor for the Panther XXL. Early word of mouth on the early, bare-bones base model was poisonous, and that carried over to the models with all the bells and whistles. The nice part about that is if you don’t care about a smartlink system and realize firing twice with an assault cannon means you’ve done something wrong, then the Vigorous is your cannon of choice.",SS,,,,,,SR5:R&G,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
36,"ArmTech MGL-12",Cannons/Launchers,4,12(c),,10F,"5,000¥",Grenade,"This bullpup-configuration grenade launcher is popular, since it can fire in semi-auto mode and carries substantially more minigrenades than its competitors.",SA,,,,,,Core,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
37,"Aztechnology Striker",Cannons/Launchers,5,2(ml),,10F,"1,200¥",Missile,"The Striker is an extremely light disposable launcher—perfect when you want to deliver a punch and make a quick, unencumbered getaway.",SS,,,,,,Core,"Heavy Weapons",98,,1
38,"Krime Cannon",Cannons/Launchers,4,6(m),-6,20F,"21,000¥",16P,"Krime may be a small-time manufacturer, but their assault cannon, simply called the Cannon, is a cheap heavy weapon big on attitude and firepower. It comes standard with modification for trolls, and so is the first weapon in the Sixth World to be intended for larger customers.",SA,,,-1,,,Core,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
39,"Mitsubishi Yakusoku MRL",Cannons/Launchers,Missile,4(m),Missile,20F,"14,000¥",Missile,"A direct competitor of the Ballista, the Yakusoku trades the security features and bells and whistles for the versatility of being able to fire both missiles and rockets. Its dual-tube design also allows for faster firing.",SA/BF,,,,,,SR5:R&G,"Heavy Weapons",98,,1
40,"Ogre Hammer SWS Assault Cannon",Cannons/Launchers,6,6(c),-4,20F,"32,000¥",16P,"“Pounds like no other” is the sales slogan attached to this heavy hitter. The Ogre Hammer puts a whole lot of hurt downrange by improving the weapon’s recoil handling and cycle speed to allow slightly faster firing than other weapons in its class. It’s called man portable, but that’s a bit of a stretch.",SA,,,,,,SR5:R&G,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
41,"Onotari Arms Ballista MML",Cannons/Launchers,Missile,4(m),Missile,19F,"7,500¥",Missile,"Leave it to Saeder-Krupp to design a system great for taking dragons out of the sky. The Ballista saw a lot of action recently during the Dragon Wars, and mercenary units have picked up quite a bit of the overstock that was produced in expectation of a longer conflict. The system is a backpack and launcher set up that holds four extra missiles that will automatically reload after each shot. The setup comes with a handheld laser designator for independent targeting but the missiles can respond to other designators and their own internal systems.",SS,,,,,,SR5:R&G,"Heavy Weapons",98,,1
42,"Onotari Interceptor",Cannons/Launchers,4(6),2(ml),,18F,"14,000¥",Missile,"This Saeder-Krupp-developed military missile launcher is designed to fire rockets or guided missiles, of any type. It has two separate barrels and firing chambers, and can load up to two missiles at once, which need not be of the same type. Due to backblast issues, it is not capable of “giving ‘em both barrels.” It features an internal smartgun system.",SS,,,,,,Core,"Heavy Weapons",98,,1
43,"Panther XXL",Cannons/Launchers,5(7),15(c),-6,20F,"43,000¥",17P,"This huge fragging gun is an assault cannon that uses ammunition similar to the primary weapon in many small tanks. It comes with a built-in smartgun system.",SA,,,,,,Core,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
44,"Krime Bomb",Cannons/Launchers,"6 (7)",4(m),-6,20F,"23,000¥",16P,"Krime is pleased to announce its first pump-action assault cannon intended for the weaker meta-types to use. The revolutionary recoil suppression system allows lighter body mass personnel to carry the heaviest firepower available. The Bomb also incorporates a powered slide mount and laser sight, allowing the user a multitude of tactical accessories. Carry the Bomb, and be the bomb.",SS,,,,,,SR5:GH3,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
45,"FN Mag-5","Machine Guns",4(5),"50(c) or 100(belt)",-3,18F,"8,500¥",11P,"A common sight on the modern battlefield of the Sixth World, the MAG-5 is often seen as a vehicle-mounted weapon or defending a fixed position. While its overall accuracy is considered slightly sub-par by some, few can deny the raw power of this weapon. A laser sight, gasvent 2 system, and under-barrel tripod come standard.",FA,,,2(8),"Gas-vent 2, laser sight, tripod",,SR5:R&G,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
46,"GE Vindicator Mini-Gun","Machine Guns",4(6),200(belt),-4,24F,"6,000¥",9P,"While technically classified as a light machine gun, this six-barreled, belt-fed, rotary lead-spitter is usually mounted on vehicles, drones, or light aircraft. The “Vindi” is also popular with metatypes of a larger stature. Despite the relatively light ammo it uses, the Vindicator has exceptional armor-piercing capabilities and decent recoil management. However, the weapon is also large and cumbersome. Ammo is available in the standard 100 or GE’s custom 200-round belt (not compatible with any other weapon system, cost: 100 nuyen). Operating the Vindicator requires a few seconds for the barrels to rotate before it can fire, which can only be done in the Full Auto mode. A smartgun system also comes standard.",FA,,,2,,,SR5:R&G,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
47,"Ingram Valiant","Machine Guns",5(6),"50(c) or 100(belt)",-2,12F,"5,800¥",9P,"This legendary light machine gun is popular with mercenary units the world over. It comes with a rigid stock with shock pad, a laser sight, and a barrel-mounted gas-vent 2 system.",BF/FA,"Rigid Stock with Shock Pad, Laser Sight, Gas-Vent (2)",,2(3),,,Core,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
48,"RPK HMG","Machine Guns",5,"50(c) or 100(belt)",-4,16F,"16,300¥",12P,"This heavy Russian machine gun is used by the militaries of several eastern European and Near East countries, primarily as a vehicle-mounted support weapon. Equipped with a detachable tripod, the RPK is usually fired from a prone, sitting, or kneeling position when not mounted on a vehicle.",FA,"Detachable Tripod",,-6,,,Core,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
49,"Ruhrmetall SF-20","Machine Guns",5(6),"50(c) or 100(belt)",-4,18F,"19,600¥",12P,"When the famed mercenary unit MET2000 commissioned Ruhrmetall for a brand-new HMG, they only had two guidelines: make it easy to customize and make it powerful. The result was the SF-20, one of the hardest-hitting HMGs on the planet. The weapon quickly became a mainstay in the MET2000’s mechanized and assault forces. Easy-access construction points allows for easy customization while standard equipment includes a gas-vent system, a hip pad brace, and laser sight.",FA,,,1(4),"Gas-vent 3, hip pad bracing system, laser sight",,SR5:R&G,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
50,"SA Nemesis","Machine Guns",5(7),"50(c) or 100(belt)",-2,16F,"6,500¥",9P,"Introduced a few years ago by Shiawase Armaments, the Nemesis was designed to be the ultimate support weapon for modern infantry units. While its performance stats are comparable to most other LMGs, the Nemesis stands out because of the various systems that come standard on it. A safe target system with image recognition and one extra set apiece of RFID data and image profiles help prevent friendly fire incidents while the standard smartgun system enhances overall accuracy.",BF/FA,,,2,"Gas-vent 2, Safe Target System (20 RFID data sets, 20 image profiles), smartgun system",,SR5:R&G,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
51,"Stoner-Ares M202","Machine Guns",5,"50(c) or 100(belt)",-3,12F,"7,000¥",10P,"This MMG packs a tremendous punch into a relatively lightweight framework made of extra-durable compounds. Due to its relatively small size, it’s a very popular secondary weapon for heavy military vehicles. Trolls with no concept of subtlety sometimes deck them out with accessories for use as personal weapons.",FA,,,,,,Core,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
52,"Ultamax MMG","Machine Guns",5(6),"50(c) or 100(belt)",-2,16F,"7,600¥",10P,"Normally associated with militaries and mercenaries units of the Pacific Rim, the Ultamax MMG has made its way into other theaters of operation and saw significant action with units who fought in the recent Amazonia–Aztlan War. During that conflict, units fielding the Ultamax made an impression on both allies and foes alike. Because of its compact and somewhat unknown design, the Ultamax is sometimes mistaken for an LMG or EBR at long distances, much to the detriment of enemy forces. Standard equipment includes a foregrip for maneuvering fire, a laser sight for enhanced accuracy, and a tripod for use when fired in a static position.",FA,,,1/6,,,SR5:R&G,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
53,"Ultamax HMG-2","Machine Guns",4(5),"50(c) or 100(belt)",-4,16F,"16,000¥",11P,"With the success of their standard MMG, Ultamax decided to gain their piece of the HMG market pie. The designers amped up their MMG design and called it the HMG-2. The rushed development coupled with cost-cutting measures resulted in an underpowered and inaccurate base weapon that’s sub par compared to other weapons in its class unless significant modifications are made. Standard equipment includes a laser sight and under-barrel tripod.",FA,,,6,"Foregrip, Laser Sight, Under-barrel Tripod",,SR5:R&G,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
54,"Krime Wave","Machine Guns",5,"50(c) OR 100(belt)",-2,11F,"2,000¥",10P,"The first squad automatic weapon offered by Krime, the Wave is the result of several years of development—not only in the fields of ballistics and ergonomics, but also in material technology as Krime updated their manufacturing processes to incorporate the right level of thermodynamic dissipation. The Wave features a dual-feed system, allowing the user to switch between a pre-loaded magazine and belt feed as needed. Let the Krime Wave surf you to the places you need to be.",FA,,,-2,"Laser sight, tripod",,SR5:GH3,"Heavy Weapons",98,"Top, Under, Barrel, Side, Internal, Stock",1
55,"Auto-Assault 16",Shotgun,4,"10(c) or 32(d)",-1,18F,"1,800¥",13P,"A favorite among military and mercenary units, the rugged and deadly AA-16 is the latest in the “AA” line of assault shotguns. Unofficially nicknamed “The Warhammer” by its users, the fully-auto capable AA- 16 provides superior firepower and ammo capacity in short to medium ranged engagements while completely dominating in a close-quarters battle. Specially designed internal mechanisms also absorb most of the weapon’s recoil, making the AA-16 extremely easy to handle in combat.",SA/BF/FA,,,2,,,SR5:R&G,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
56,"Defiance T-250",Shotgun,4,5(m),-1,4R,450¥,10P,"A common sight on the mean streets when things escalate beyond pistols and knives, this semi-automatic shotgun is available in either a normal-length or short-barreled version. It is gas operated, but also features a secondary pump action for situations where preventing jams is more important than quickly firing a second shot. The short-barreled version has the Concealability of +4, the range of a heavy pistol, and a damage code of 9P.",SS/SA,"Gas Operated Pump, Operated",,,,,Core,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
57,"Enfield AS-7",Shotgun,4(5),"10(c) or 24(d)",-1,12F,"1,100¥",13P,"This military assault shotgun provides its user with massive firepower. As a close-quarters weapon and general combat gun, it is universally feared. It can either be loaded with ten-round ammo clips or a special twenty-four-round drum. The Enfield AS-7 comes equipped with a built-in, top-mounted laser sight.",SA/BF,"TOP:Laser Sight",,,,,Core,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
58,"Franchi SPAS-24",Shotgun,4(6),10(c),-1,12F,"1,050¥",12P,"An upgraded version of the classic SPAS-22, the -24 is a rugged, pump-action combat gun comes standard with a smartgun system and integrated weapon light mounted in the fore-stock. But instead of the traditional folding stock, the -24 comes with a rigid stock and shock pad.",SA/BF/FA,,,1,"Shock pad, smartgun system",,SR5:R&G,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
59,"Mossberg AM-CMDT",Shotgun,5(7),10(c),-1,12F,"1,400¥",12P,"Shotguns aren’t known for their accuracy, but Mossberg hopes the latest version of their venerable AM-CMDT will change that. After merging their classic combat shotgun design with the latest in smartgun technology, Mossberg recently began a marketing campaign aimed at law enforcement and security agencies that declared the AM-CMDT a “perfect balance between accuracy and firepower.” While previous versions of the CMDT only used flechette ammunition, the current one is capable of accepting all standard shotgun rounds.",SA/BF/FA,,,,Smartlink,,SR5:R&G,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
60,"PJSS Model 55",Shotgun,6,2(b),-1,9R,"1,000¥",11P,"This is a weapon of classic style for a classic sport. Produced only in small numbers, it’s renowned among European hunters and trap shooters as a precise and prestigious weapon. The weapon’s rigid stock comes equipped with an integrated shock pad. Both barrels can be shot at once as a short burst (see Not Enough Bullets, p. 180).",SS,"Rigid Stock with Shock Pad",,-1,,,Core,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
61,"Remington 990",Shotgun,4,8(c),-1,6R,950¥,11P,"Whether you’re on a budget and need a good solid boom-stick, or looking for a nice base weapon to modify the drek out of, you can’t go wrong with the Remington 990. A solid, no-frills design, the 990 has been in steady production for almost seventy years and is widely available in almost every part of the world. Professionals appreciate the weapon’s ruggedness and reliability right out of the box while novices appreciate its ease of use and low cost. The 990 comes standard with a top rail mount and a smaller mount under the fore-stock for accessories.",SA,,,,,,SR5:R&G,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
62,"Krime Boss",Shotgun,3,15(d),-1,11R,600¥,13P,"This drum-fed instrument of death is the latest manufacturing marvel released by Krime for the civilian arms enthusiast. The large frame design absorbs the recoil produced by the shotgun’s rapid-fire capability, allowing the shooter to keep the barrel aimed at their target, whether it’s a paper silhouette, clay pigeon, or an Awakened critter. The Krime Boss makes sure you come out on top of the heap.",SA,,,1,"Metahuman Customization",,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
63,"Winchester Model 201",Shotgun,8,2(b),-1,8R,"1,300¥",11P,"A hand-finished over-under double-barrel shotgun, the Model 201 is a fine continuation of the line. Commonly sold to sportsmen around the world, this shotgun is manufactured with a number of different iron sights for traditional competition and hunting. The foregrip’s checker pattern has nine variations available, along with custom carving for those customers who desire a unique look for an heirloom-quality firearm.",SA,,,,,,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
64,"Winchester Model 2066",Shotgun,4,5(m),-1,4R,"1,000¥",11P,"Featured in the recent trid hit “Mad AIs at Dawn,” the Model 2066 is a development of a classic Winchester shotgun design, modernized for today’s sportsman, combined with a robot slayer. The receiver is constructed with high-tensile steel, improving the weapon’s ability to handle custom hunting loads, while the case-ejection system has been strengthened for shooters who prefer the modern, longer cartridges. The level-action has been designed with self-lubricating parts to ensure smooth operation and loading, which is a critical factor for those caught by surprise in wild country.",SS,,,,,,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
65,"Winchester Model 2054",Shotgun,"4 (5)",7(m),-1,6R,900¥,11P,"The Model 2054 is a semi-automatic design, originally submitted to the Ute Nation for possible use by their military police. The shotgun features an integral laser sight and retractable stock and can easily be upgraded with a smartgun system. While the Ute Nation ordered the first production runs, the shotgun was made available to civilian purchasers in 2056, after the initial military contract was completed.",SA,,,-1,"Laser Sight, Retractable Stock",,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
66,"Shiawase Arms Rain",Shotgun,4,5(ml),-1,4R,450¥,10P,"Shiawase’s latest entry into the civilian arms market, the Rain features the “Magazine Barrel” popular with many organizations, as it simplifies record keeping and maintenance as the barrel is replaced at the same time as the ammunition. The Rain currently has a number of different shot types available, with Matrix support recommendations based on the laws of your particular locale.",SA,,,-1,"Retractable Stock",,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
67,"Cavalier Falchion",Shotgun,"5 (7)",8(m),-1,9R,"1,200¥",12P,"Cavalier’s companion to the Sheriff, the Falchion is designed to be part of a shooter’s integrated Personal Area Network. The Falchion’s smartlink system painlessly synchronizes with the user’s commlink, providing visual cues when performing a weapon switch in a tactical situation. The advanced safety system and lack of manual controls ensures the weapon cannot be turned against its user. Also, in keeping with the Sheriff’s popular visual customization options, the Falchion is available in a number of different colors and decorative patterns.",SS,,,,"Advanced Safety, Melee Hardening, Smartlink, Trigger Removal",,SR5:GH3,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
68,"Ares Desert Strike","Sniper Rifle",7,14(c),-4,10F,"17,500¥",13P,"This combat-hardened sniper rifle is intended for long-range shooting in harsh environments. That means it was built without materials or technologies prone to failure. It comes equipped with a rigid stock with shock pad and a detachable imaging scope.",SA,"Rigid Stock with Shock Pad, TOP: Detachable Imaging Scope",,-1,,,Core,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
69,"Barret Model 122","Sniper Rifle",7(9),14(c),-6,20F,"38,500¥",14P,"The definitive anti-material rifle, Barret has been producing world-class firearms for decades, the Model 122 replaces the Model 121 as the company’s top-line offering. The rifle continues to be fitted with a sound suppressor, smartgun system and a folding bipod to help enhance long-range accuracy.",SA,,,-2,"Bipod, smartgun, sound suppressor",,SR5:R&G,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
70,"Cavalier Arms Crockett EBR","Sniper Rifle",6,20(c),-3,12F,"10,300¥",12P,"Straddling the line between assault rifle and sniper rifle, the Crockett EBR features a burst fire mode. While it lacks the magazine capacity of a true assault rifle, and lacks the precision of a true marksman’s weapon, it makes up for this in versatility, being able to switch fluidly between a sniping role and a combat role as easy as flipping a switch. It comes equipped with a rigid stock with shock pad and a detachable imaging scope.",SA/BF,"Rigid Stock with Shock Pad, TOP:Detachable Imaging Scope",,-1,,,Core,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
71,"Onotari JP-K50","Sniper Rifle",7,25(c),-3,13F,"12,500¥",12P,"The Onotari JP-K50 has an unusual past, being originally conceived for the next round of the Euro Wars, which never came about. Or at least, haven’t yet. It was shelved for decades, and only recently came back into the production queue during the so-called Dragon Civil War. Able to switch between long-range fire against a single hard armored target (such as a dragon) or firing bursts against clusters (such as drakes), it was seen as a weapon that could be issued to entire squads. Not mass produced, but produced enough that cost trumped quality in many ways, the final result is a sort of super-sized assault rifle rather than the kind of high-quality precision design that Saeder-Krupp is world famous for.",SA/BF,,,1,"Shock pad",,SR5:R&G,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
72,"Pioneer 60","Sniper Rifle",5,5(m),-1,2R,500¥,10P,"Morgan Boone’s been the face of the Kentucky Long Rifle Company for decades, and his Pioneer 60 is a household staple in rural areas across the CAS and UCAS even if his company refuses to sell it to anyone in the NAN. Simple but effective, it’s a rugged design that’s perfect for someone that just wants to get out of the house for a weekend of drinking beer and popping off a few rounds into the local fauna.",SA,,,,,,SR5:R&G,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
