Row,Name,Description,Category,Effects,Type,Range,Damage,Duration,Drain,Source,Grouping
11,"Lightning Bolt","These spells create and direct vicious strikes of electricity that causeÂ Electricity damage. Lightning Bolt is a single target spell. Ball Lightning is an area spell.",Combat,"Indirect, Elemental",Physical,LOS,P,I,F-3,Core,NULL
12,"Ball Lightning","These spells create and direct vicious strikes of electricity that causeÂ Electricity damage. Lightning Bolt is a single target spell. Ball Lightning is an area spell.",Combat,"Indirect, Elemental",Physical,LOS,P,I,F-1,Core,NULL
13,Shatter,"These spells channel destructive magical power into the targets causing Physical damage. The target is cooked from the inside, like magically microwaving a hot dog. As physical energies, they can affect both living and non-living targets and are resisted by the target`s Body. Shatter requires you to touch the target, Powerbolt affects a single target, and Powerball is an area spell.",Combat,Direct,Physical,T,P,I,F-6,Core,NULL
14,Powerbolt,"These spells channel destructive magical power into the targets causing Physical damage. The target is cooked from the inside, like magically microwaving a hot dog. As physical energies, they can affect both living and non-living targets and are resisted by the target`s Body. Shatter requires you to touch the target, Powerbolt affects a single target, and Powerball is an area spell.",Combat,Direct,Physical,LOS,P,I,F-3,Core,NULL
15,Powerball,"These spells channel destructive magical power into the targets causing Physical damage. The target is cooked from the inside, like magically microwaving a hot dog. As physical energies, they can affect both living and non-living targets and are resisted by the target`s Body. Shatter requires you to touch the target, Powerbolt affects a single target, and Powerball is an area spell.",Combat,Direct,Physical,LOS(A),P,I,F,Core,NULL
16,Knockout,"These spells channel magical energy directly into the target, causing Stun damage. They are sometimes referred to as `sleep` spells because they can render targets unconscious but keep them alive, in the cases where you`d prefer more polite violence. Knockout requires the magician to touch the target, Stunbolt affects a single target, and Stunball is an area spell.",Combat,Direct,Mana,T,P,I,F-6,Core,NULL
17,Stunbolt,"These spells channel magical energy directly into the target, causing Stun damage. They are sometimes referred to as `sleep` spells because they can render targets unconscious but keep them alive, in the cases where you`d prefer more polite violence. Knockout requires the magician to touch the target, Stunbolt affects a single target, and Stunball is an area spell.",Combat,Direct,Mana,LOS,P,I,F-3,Core,NULL
18,Stunball,"These spells channel magical energy directly into the target, causing Stun damage. They are sometimes referred to as `sleep` spells because they can render targets unconscious but keep them alive, in the cases where you`d prefer more polite violence. Knockout requires the magician to touch the target, Stunbolt affects a single target, and Stunball is an area spell.",Combat,Direct,Mana,LOS(A),P,I,F,Core,NULL
19,"Corrode [Object]","These spells conjure a sizzling blast of corrosive spray that inflictsÂ Acid damageÂ upon their targets similar toÂ Acid Stream and Toxic Wave. The corrosive nature of these blasts only affects the specified object for which the spell was created to harm. All other objects remain unharmed. Different objects require separate spells, such as Corrode Wall, Melt Electronics, Sludge Armor, and so on.",Combat,"Indirect, Elemental",Physical,T,P,I,F-5,SR5:SG,NULL
20,"Melt [Object]","These spells conjure a sizzling blast of corrosive spray that inflictsÂ Acid damageÂ upon their targets similar toÂ Acid Stream and Toxic Wave. The corrosive nature of these blasts only affects the specified object for which the spell was created to harm. All other objects remain unharmed. Different objects require separate spells, such as Corrode Wall, Melt Electronics, Sludge Armor, and so on.",Combat,"Indirect, Elemental",Physical,LOS,P,I,F-3,SR5:SG,NULL
21,"Sludge [Object]","These spells conjure a sizzling blast of corrosive spray that inflictsÂ Acid damageÂ upon their targets similar toÂ Acid Stream and Toxic Wave. The corrosive nature of these blasts only affects the specified object for which the spell was created to harm. All other objects remain unharmed. Different objects require separate spells, such as Corrode Wall, Melt Electronics, Sludge Armor, and so on.",Combat,"Indirect, Elemental, Area",Physical,LOS(A),P,I,F-1,SR5:SG,NULL
22,"Disrupt [Focus]","Disrupt [Focus] channels and then diverts mana into disrupting a specific active magical focus dealing temporary damage to its astral form. A focus that receives damage equal to its Force from this spell is disrupted and becomes inactive. The magician bonded to the focus can`t gain dice bonuses or any other benefit from the focus until it`s reactivated. A number of boxes of temporary damage equal to the Force of the focus are `healed` at the beginning of the next Combat Turn. The owner may spend a Simple Action to reactivate the focus when all damage is healed. Disrupting a sustaining focus also disrupts the spell it is sustaining. Astrally projecting magicians whose foci become disrupted cannot reactivate them until their astral form gets back into their physical body.",Combat,Direct,Mana,LOS,Special,I,F-2,SR5:SG,NULL
23,"Destroy [Free Spirit]","Destroy [Free Spirit] is a very specialized variant of Slay (p. 104) designed to take out a specific free spirit. Each unique spirit requires a different version of this spell, which must incorporate the target`s spirit formula. This spell doesn`t affect other spirits, even one of same type as the free spirit. The spell formula counts as a copy of the spirit formula for all purposes.",Combat,Direct,Mana,LOS,P,I,F-3,SR5:SG,NULL
24,"Destroy [Vehicle]","Want to rule the waves, roads, or skies? This one`s for you. Destroy [Vehicle] is a variant of Slay (p. 104) designed to target a type of vehicle (or drone). Each type of vehicle (e.g., aircraft, watercraft, groundcraft) requires a different version of this spell, such as Destroy Aircraft. This spell has no effect on other vehicles.",Combat,Direct,Mana,LOS,P,I,F-3,SR5:SG,NULL
25,Firewater,"These spells do a hell of a lot more than defoliate. They combine two elements, fire and water, to create a terrifying and devastating effect. Flaming Water causes Physical damage that is considered to be both Fire damage and Water damage. Armor with specific modifications, such as Fire resistance, Chemical Seal, and Chemical protection) may protect target from the damage.",Combat,"Indirect, Elemental",Physical,LOS,P,I,F-2,SR5:SG,NULL
26,Napalm,"These spells do a hell of a lot more than defoliate. They combine two elements, fire and water, to create a terrifying and devastating effect. Flaming Water causes Physical damage that is considered to be both Fire damage and Water damage. Armor with specific modifications, such as Fire resistance, Chemical Seal, and Chemical protection) may protect target from the damage.",Combat,"Indirect, Elemental, Area",Physical,LOS(A),P,I,F,SR5:SG,NULL
27,"Insecticide [Insect Spirit]","Insect spirits are exceptionally dangerous to magicians. After the fall of Chicago, this spell started to become quite popular as the `Bug Menace` grew in importance. Insecticide is a specialized variant of Slay designed to target a specific type of insect spirit. Each unique type of insect spirit requires different version of this spell, such as Insecticide Ant Spirits or Insecticide Roach Spirits.",Combat,"Direct, Area",Physical,LOS(A),M,I,F+1,SR5:SG,NULL
28,"Ice Spear","Spellcasters that weld this set of spells can attack their enemies with shards of ice of frightening potency that cause Cold damage. This may cause unusual damage to certain critters and damage armor or gear. Armor with specific modifications, such as Cold resistance, Chemical Seal, and Chemical protection) may protect target from the damage.",Combat,"Indirect, Elemental",Physical,LOS,P,I,F-3,SR5:SG,NULL
29,"Ice Storm","Spellcasters that weld this set of spells can attack their enemies with shards of ice of frightening potency that cause Cold damage. This may cause unusual damage to certain critters and damage armor or gear. Armor with specific modifications, such as Cold resistance, Chemical Seal, and Chemical protection) may protect target from the damage.",Combat,"Indirect, Elemental, Area",Physical,LOS(A),P,I,F+1,SR5:SG,NULL
30,"One Less [Metatype/Species]","These are variations of the Death Touch, Manabolt, and Manaball spells. They`re specialized, designed to target a particular species or metaType(One Less Naga, Slay Ork, Slaughter Dwarfs, and so on). The target of each spell is designated by the spell formula. These spells only discriminate based on biological species, not social status or any other quality.",Combat,Direct,Mana,T,P,I,F-6,SR5:SG,NULL
31,"Slay [Metatype/Species]","These are variations of the Death Touch, Manabolt, and Manaball spells. They`re specialized, designed to target a particular species or metaType(One Less Naga, Slay Ork, Slaughter Dwarfs, and so on). The target of each spell is designated by the spell formula. These spells only discriminate based on biological species, not social status or any other quality.",Combat,Direct,Mana,LOS,P,I,F-4,SR5:SG,NULL
32,"Slaughter [Metatype/Species]","These are variations of the Death Touch, Manabolt, and Manaball spells. They`re specialized, designed to target a particular species or metaType(One Less Naga, Slay Ork, Slaughter Dwarfs, and so on). The target of each spell is designated by the spell formula. These spells only discriminate based on biological species, not social status or any other quality.",Combat,Direct,Mana,LOS(A),P,I,F-2,SR5:SG,NULL
33,"Ram [Object]","This set of spells is a variant of Shatter/Powerbolt/Powerball that only affect a specific type of inanimate object. Different types of objects require a separate spell such as Ram Door, Wreck Furniture, Demolish Gun, and so on. This spell cannot be used against vehicles. Objects resist this spell with their Barrier Rating (in the case of doors and walls); other items resist with their object resistance (p. 295, SR5). Partial damage reduces the effectiveness of the item similar to the way damage affects a metahumans. For every three points of damage the item suffers, there is a -1 modifier to any tests using the item. Body Wreck affects only a single target while Demolish is an area spell. Ram requires the caster to touch the target.",Combat,Direct,Physical,T,P,I,F-5,SR5:SG,NULL
34,"Wreck [Object]","This set of spells is a variant of Shatter/Powerbolt/Powerball that only affect a specific type of inanimate object. Different types of objects require a separate spell such as Ram Door, Wreck Furniture, Demolish Gun, and so on. This spell cannot be used against vehicles. Objects resist this spell with their Barrier Rating (in the case of doors and walls); other items resist with their object resistance (p. 295, SR5). Partial damage reduces the effectiveness of the item similar to the way damage affects a metahumans. For every three points of damage the item suffers, there is a -1 modifier to any tests using the item. Body Wreck affects only a single target while Demolish is an area spell. Ram requires the caster to touch the target.",Combat,Direct,Physical,LOS,P,I,F-3,SR5:SG,NULL
35,"Demolish [Object]","This set of spells is a variant of Shatter/Powerbolt/Powerball that only affect a specific type of inanimate object. Different types of objects require a separate spell such as Ram Door, Wreck Furniture, Demolish Gun, and so on. This spell cannot be used against vehicles. Objects resist this spell with their Barrier Rating (in the case of doors and walls); other items resist with their object resistance (p. 295, SR5). Partial damage reduces the effectiveness of the item similar to the way damage affects a metahumans. For every three points of damage the item suffers, there is a -1 modifier to any tests using the item. Body Wreck affects only a single target while Demolish is an area spell. Ram requires the caster to touch the target.",Combat,"Direct, Area",Physical,LOS(A),P,I,F-1,SR5:SG,NULL
36,"Radiation Beam","These spells channel and unleash the vicious and invisible power of radiation on their target, causing Radiation damage. Radiation Beam is a single target spell. Radiation Burst is an area spell. These spells can only be learned by a magician with a lodge made for the Toxic tradition.",Combat,"Indirect, Elemental",Physical,LOS,P,I,F-3,SR5:SG,NULL
37,"Radiation Burst","These spells channel and unleash the vicious and invisible power of radiation on their target, causing Radiation damage. Radiation Beam is a single target spell. Radiation Burst is an area spell. These spells can only be learned by a magician with a lodge made for the Toxic tradition.",Combat,"Indirect, Elemental, Area",Physical,LOS(A),P,I,F-1,SR5:SG,NULL
38,"Pollutant Stream","Oozing green chemicals, sulfurous brown smoke, and more - these spells release a pure form of nature-abhorring chemicals, causingÂ Pollutant damageÂ to their target. Pollutant Stream is a single target spell. Pollutant Wave is an area spell. These spells can only be learned by a magician with a lodge made for the Toxic tradition.",Combat,"Indirect, Elemental",Physical,LOS,P,I,F-3,SR5:SG,NULL
39,"Pollutant Wave","Oozing green chemicals, sulfurous brown smoke, and more - these spells release a pure form of nature-abhorring chemicals, causingÂ Pollutant damageÂ to their target. Pollutant Stream is a single target spell. Pollutant Wave is an area spell. These spells can only be learned by a magician with a lodge made for the Toxic tradition.",Combat,"Indirect, Elemental, Area",Physical,LOS(A),P,I,F-1,SR5:SG,NULL
40,Shattershield,"Shattershield is a variant ofÂ Death TouchÂ designed to splinter manna barriers (see p. 315, SR5) in a very satisfying way. The caster must touch the mana barrier`s physical component or astral form. The barrier resists with Force (its Structure rating) + Counterspelling (if anyone happens to be protecting it).",Combat,Direct,Mana,LOS(A),P,I,F-1,SR5:SG,NULL
41,"Analyze Device","This spell allows the subject to analyze the purpose and operation of a device or piece of equipment within range of the sense. The casting of the spell is opposed by the object`s resistance (p. 295). Each net hit can be used to provide a piece of information about the device that would not be readily apparent (for example, it would not give the information that it is a Renraku-manufactured device if the thing is emblazoned with a huge Renraku logo, but it might say what the basic function of the thing is). Each net hit also gives the subject a bonus die while operating the device and allows the subject to ignore any skill-defaulting modifiers for using it as long as the spell is sustained.",Detection,"Active, Directional",Physical,T,,S,F-3,Core,NULL
42,"Analyze Magic","This spell allows the subject to analyze the purpose of a magical object (e.g., foci, alchemical preparations, magical lodges, active rituals). Treat the net hits from the Spellcasting Test as hits on the Assensing Table (p. 313), except the subject isn`t required to be perceiving astrally.",Detection,"Active, Directional",Physical,T,,S,F-3,Core,NULL
43,"Analyze Truth","The subject can tell whether a target`s statements are the truth (or at least if the subject honestly believes them to be true).The spell needs at least 1 net hit to determine validity of a selected statement. The spell does not work on written materials or items recorded through any sort of technological medium. The subject must hear a statement in person (with the target within range) to be able to judge its truth.",Detection,"Active, Directional",Mana,T,,S,F-2,Core,NULL
44,Clairaudience,"The subject can hear distant sounds as if physically present at a chosen point within the sensory range of the spell. The listening point may be moved to any other point within range of the spell as a Complex Action. While using Clairaudience, the subject cannot use her normal hearing. This spell doesn`t translate visual images, only sounds (and only sounds within the subject`s natural range of hearing; augmented hearing does not apply).",Detection,"Passive, Directional",Mana,T,,S,F-3,Core,NULL
45,Clairvoyance,"The subject can see distant scenes as if physically present at a chosen point within the sensory range of the spell. The visual point may be moved to any other point within range of the spell as a Complex Action. The subject can`t use normal vision or astral perception while using Clairvoyance. This spell doesn`t translate sound, only vision, and it doesn`t work with augmented vision. You can`t target spells through Clairvoyance.",Detection,"Passive, Directional",Mana,T,,S,F-3,Core,NULL
46,"Combat Sense","The subject can subconsciously analyze combat and other dangerous situations within range, sensing events a split-second before they happen. Every hit on the Spellcasting Test adds 1 die for Reaction on Surprise Tests, and also to rolls made when defending against ranged and melee attacks as long as the spell remains in effect.",Detection,"Passive, Psychic",Mana,T,,S,F,Core,NULL
47,"Detect Enemies","The subject can detect living targets within range who have hostile intentions toward him. The spell does not detect traps (since they aren`t alive), nor can it detect someone about to shoot into a crowd at random (since the hostility is not directed at the subject of the spell). The spell can detect targets preparing an ambush or other surprise attack directed at the subject.",Detection,"Active, Area",Mana,T,,S,F-2,Core,NULL
48,"Detect Enemies, Extended","The subject can detect living targets within range who have hostile intentions toward him. The spell does not detect traps (since they aren`t alive), nor can it detect someone about to shoot into a crowd at random (since the hostility is not directed at the subject of the spell). The spell can detect targets preparing an ambush or other surprise attack directed at the subject.",Detection,"Active, Extended Area",Mana,T,,S,F,Core,NULL
49,"Detect Individual","The subject can detect the presence of a particular individual anywhere within range of the sense. You need to specify the individual during casting, someone you know or at least have met in the past.",Detection,"Active, Area",Mana,T,,S,F-3,Core,NULL
50,"Detect Life","The subject detects all living beings (but not spirits) within range of the sense and knows their number and relative location. In a crowded area, the spell is virtually useless, picking up a blurred mass of traces of life.",Detection,"Active, Area",Mana,T,,S,F-3,Core,NULL
51,"Detect Life, Extended","The subject detects all living beings (but not spirits) within range of the sense and knows their number and relative location. In a crowded area, the spell is virtually useless, picking up a blurred mass of traces of life.",Detection,"Active, Extended Area",Mana,T,,S,F-1,Core,NULL
52,"Detect [Life Form]","The subject detects all of a specified type of life form within the range of the sense and knows their number and relative location. This is actually several different spells that must be learned separately, one for each type of life form that a caster might like to detect (Detect Orks, Detect Elves, Detect Dragons, and so forth), which are learned separately.",Detection,"Active, Area",Mana,T,,S,F-2,Core,NULL
53,"Detect [Life Form], Extended","The subject detects all of a specified type of life form within the range of the sense and knows their number and relative location. This is actually several different spells that must be learned separately, one for each type of life form that a caster might like to detect (Detect Orks, Detect Elves, Detect Dragons, and so forth), which are learned separately.",Detection,"Active, Extended Area",Mana,T,,S,F,Core,NULL
54,"Detect [Object]","The subject detects all of a specified type of object within range of the sense and knows their number and relative location. Each type of object requires a separate spell (Detect Guns, Detect Computers, Detect Explosives, and so forth). These spells must all be learned and cast separately.",Detection,"Active, Area",Physical,T,,S,F-2,Core,NULL
55,Mindlink,"Mindlink allows the magician and one voluntary subject to communicate mentally, exchanging conversation, emotions, and mental images. One hit on the Spellcasting Test is enough to establish the link. The subject must remain within range of the magician for the Mindlink to work.",Detection,"Active, Psychic",Mana,T,,S,F-1,Core,NULL
56,"Mind Probe","This spell allows the subject to telepathically probe the mind of a specific target within range of the sense (chosen when the spell is cast). The target is aware of the probing, though they may not know the source of the spell. The number of net hits you get on the spell determines what kind of information the subject can read, given on the table. The subject may probe for one piece of information per Complex Action while the spell is sustained. Additional uses of Mind Probe against the same target within a number of hours equal to the target`s Willpower inflict a -2 dice pool modifier on the Spellcasting attempt.",Detection,"Active, Directional",Mana,T,,S,F,Core,NULL
57,"Astral Message","Astral Message used the principles of Astral Projection (p. 313, SR5) to send short verbal messages (one hundred words or less) through the astral plane without creating a watcher. The spellcaster must have personal experience with the target`s astral form or possess a material link (p. 296, SR5). The message will seek out the target and be delivered to her the next time she is present in the astral plane or if she summons a watcher (p. 313, SR5).",Detection,"Passive, Directional",Mana,T,,S,F-3,SR5:SG,NULL
58,"Astral Clairvoyance","Astral Clairvoyance is a variant of the Clairvoyance spell (p. 286, SR5) designed to work in the astral plane. The subject may project her assensing ability as though she were astrally present at a chosen point within the sensory range of the spell. This `visual point` may be moved to any other location within the sensory range of the spell at will. During the spell, the subject`s normal assensing is overlaid with the insight gained from this spell. This has the unfortunate side effect of blocking out her natural physical senses.",Detection,"Passive, Directional",Mana,T,,S,F-3,SR5:SG,NULL
59,"Borrow Sense","This collection of spells allows the spellcaster to tap into the senses of her target.Borrow Sense enables the subject to borrow a single sense from a chosen target within range of the spell. If the target fails to resist the spell, the subject perceives with the target`s sense as if it were his own. Any Perception Tests made by the subject using the target`s sense use the caster`s net hits on the Spellcasting Test as the limit. Note that anything sensed by the target does not make a Spell Resistance Test. The caster must touch the subject while casting the spell. The target of Borrow Sense remains in control of his own actions and senses; the subject is merely along for the ride. The subject cannot communicate with the target or direct her to focus on anything specific. Nor may the subject leverage his own augmented senses (including astral sight) through the target`s senses. The subject cannot target spells through the target`s senses. As long as the caster sustains the spell, the subject can switch from one of the target`s senses to another with a Simple Action. Senses that the subject does not normally have can be borrowed (such as bat sonar). Note that a target`s astral sight is considered a separate sense for purposes of this spell (i.e., the subject can borrow sight or astral sight, but not both at the same time). Animal Sense is a restricted version of Borrow Sense that can only be used to borrow a sense from a non-sapient, non-paranormal animal. Eyes of the Pack is a variant of Borrow Sense that only works with voluntary targets and only allows the sense of sight to be borrowed. Switching from the sight of one member of `the pack` to another requires a Simple Action.",Detection,"Active, Directional",Mana,T,,S,F-3,SR5:SG,NULL
60,"Animal Sense","This collection of spells allows the spellcaster to tap into the senses of her target.Borrow Sense enables the subject to borrow a single sense from a chosen target within range of the spell. If the target fails to resist the spell, the subject perceives with the target`s sense as if it were his own. Any Perception Tests made by the subject using the target`s sense use the caster`s net hits on the Spellcasting Test as the limit. Note that anything sensed by the target does not make a Spell Resistance Test. The caster must touch the subject while casting the spell. The target of Borrow Sense remains in control of his own actions and senses; the subject is merely along for the ride. The subject cannot communicate with the target or direct her to focus on anything specific. Nor may the subject leverage his own augmented senses (including astral sight) through the target`s senses. The subject cannot target spells through the target`s senses. As long as the caster sustains the spell, the subject can switch from one of the target`s senses to another with a Simple Action. Senses that the subject does not normally have can be borrowed (such as bat sonar). Note that a target`s astral sight is considered a separate sense for purposes of this spell (i.e., the subject can borrow sight or astral sight, but not both at the same time). Animal Sense is a restricted version of Borrow Sense that can only be used to borrow a sense from a non-sapient, non-paranormal animal. Eyes of the Pack is a variant of Borrow Sense that only works with voluntary targets and only allows the sense of sight to be borrowed. Switching from the sight of one member of `the pack` to another requires a Simple Action.",Detection,"Active, Directional",Mana,T,,S,F-5,SR5:SG,NULL
61,"Eyes of the Pack","This collection of spells allows the spellcaster to tap into the senses of her target.Borrow Sense enables the subject to borrow a single sense from a chosen target within range of the spell. If the target fails to resist the spell, the subject perceives with the target`s sense as if it were his own. Any Perception Tests made by the subject using the target`s sense use the caster`s net hits on the Spellcasting Test as the limit. Note that anything sensed by the target does not make a Spell Resistance Test. The caster must touch the subject while casting the spell. The target of Borrow Sense remains in control of his own actions and senses; the subject is merely along for the ride. The subject cannot communicate with the target or direct her to focus on anything specific. Nor may the subject leverage his own augmented senses (including astral sight) through the target`s senses. The subject cannot target spells through the target`s senses. As long as the caster sustains the spell, the subject can switch from one of the target`s senses to another with a Simple Action. Senses that the subject does not normally have can be borrowed (such as bat sonar). Note that a target`s astral sight is considered a separate sense for purposes of this spell (i.e., the subject can borrow sight or astral sight, but not both at the same time). Animal Sense is a restricted version of Borrow Sense that can only be used to borrow a sense from a non-sapient, non-paranormal animal. Eyes of the Pack is a variant of Borrow Sense that only works with voluntary targets and only allows the sense of sight to be borrowed. Switching from the sight of one member of `the pack` to another requires a Simple Action.",Detection,"Active, Directional",Mana,T,,S,F-1,SR5:SG,NULL
62,Catalog,"By casting Catalog, the spellcaster mystically empowers the subject to compile a comprehensive, itemized list of all the non-living items within the area of the spell. The subject can write or dictate a list of the quantity of all items in range of the spell as long as the caster beats an item`s Object Resistance threshold (p. 295, SR5). Net hits obtained in the spellcasting indicate the level of detail and description the list provides.Items in the area that the subject would not recognize by sight are listed as `unknown.` The caster must touch the area targeted by the spell.",Detection,"Active, Area",Physical,T(A),,S,F-3,SR5:SG,NULL
63,Diagnose,"Diagnose grants the subject information on the target`s general health and any illnesses, injuries, or other mundane medical problems the target might possesses. The net hits determine the detailed level of the information provided, as noted on the Detection Spell Results table (p. 286, SR5). It provide more details than Assensing would at comparable hit levels. The caster must touch the subject to trigger the spell.",Detection,"Active, Directional",Mana,T,,I,F-3,SR5:SG,NULL
64,"Dragon Astral Signature","Rumors suggest that this spell was developed by an S-K Prime operation monitoring dragon-hunter groups operating in Europe and Asia, and it has been leaked into the underground to test how the dragons will respond to this new threat. The caster gains the ability to assense the astral signatures of her local astral environment to determine if a dragon is present or if there is a touch of dragon magic on anything in the area (assuming the aura has not yet faded due to the passage of time).",Detection,"Active, Psychic, Area",Mana,LOS(A),,S,F+5,SR5:SG,NULL
65,"Enhance Aim","Enhance Aim magically improves a voluntary target`s natural ability to aim by reducing range modifiers against targets (similar to using image magnification; see p. 178, SR5). Each hit scored by the caster reduces the effective range for the shooter for the purpose of calculating Range modifiers by 10 meters. Unlike image magnification, the target does not need a Take Aim action to lock onto a target, as the spell does that auto-magically. The effect of Enhance Aim is cumulative with other targeting devices, implants, and abilities (laser sights, scopes, smartlinks, Improved Ability adept power, etc.). The caster must touch the subject to trigger the spell.",Detection,"Passive, Directional",Physical,T,,S,F-1,SR5:SG,NULL
66,Hawkeye,"Hawkeye improves a voluntary subject`s visual acuity. Each hit scored by the caster provides a +1 dice pool modifier for visual Perception Tests. This effect is cumulative with other perception aids, implants, and abilities (vision enhancement, adept powers, etc.). The caster must touch the subject to trigger the spell.",Detection,"Passive, Directional",Physical,T,,S,F-1,SR5:SG,NULL
67,"Mana Window","These spells are advanced versions of Clairvoyance (p. 286, SR5) and Astral Clairvoyance (p. 106) that allow the caster to grant a subject the ability to see or assense through mana barriers (which normally stop Clairvoyance and are opaque on the astral). If the barrier does not resist the spell with its Force, the subject can see/assense distant scenes through the barrier as if physically or astrally present within the sensory range of the spell. Magicians cannot cast spells at targets they see using these spells. Casting these spells does not alert the creator of the mana barrier. Mana Window bypasses mana barriers on the physical plane with its clairvoyant physical sight. Astral Window bypasses astral mana barriers with its clairvoyant assensing. The caster must touch the subject of the spell, and for Astral Window the subject must be astrally active.",Detection,"Active, Directional",Mana,T,,S,F-3,SR5:SG,NULL
68,"Astral Window","These spells are advanced versions of Clairvoyance (p. 286, SR5) and Astral Clairvoyance (p. 106) that allow the caster to grant a subject the ability to see or assense through mana barriers (which normally stop Clairvoyance and are opaque on the astral). If the barrier does not resist the spell with its Force, the subject can see/assense distant scenes through the barrier as if physically or astrally present within the sensory range of the spell. Magicians cannot cast spells at targets they see using these spells. Casting these spells does not alert the creator of the mana barrier. Mana Window bypasses mana barriers on the physical plane with its clairvoyant physical sight. Astral Window bypasses astral mana barriers with its clairvoyant assensing. The caster must touch the subject of the spell, and for Astral Window the subject must be astrally active.",Detection,"Active, Directional",Mana,T,,S,F-3,SR5:SG,NULL
69,Mindnet,"Mindnet is a variation of the Mindlink spell (p. 287, SR5) designed to allow telepathic communication between a group of voluntary people. Everyone in the group can freely talk, exchange images, and emote as long as they remain within range of the target of the spell (the person touched when the spell is cast). The number of people participating in the group (excluding the target) serves as the threshold for the Spellcasting Test. Once any participants have left the range of the spell, it must be recast for them to once again to gain the benefits of Mindnet, though the other participants may continue to participate in the link as long as they remain in range and the spell is sustained.",Detection,"Active, Psychic, Area",Mana,T(A),,S,F,SR5:SG,NULL
70,"Mindnet Extended","Mindnet is a variation of the Mindlink spell (p. 287, SR5) designed to allow telepathic communication between a group of voluntary people. Everyone in the group can freely talk, exchange images, and emote as long as they remain within range of the target of the spell (the person touched when the spell is cast). The number of people participating in the group (excluding the target) serves as the threshold for the Spellcasting Test. Once any participants have left the range of the spell, it must be recast for them to once again to gain the benefits of Mindnet, though the other participants may continue to participate in the link as long as they remain in range and the spell is sustained.",Detection,"Active, Psychic, Extended Area",Mana,T(A),,S,F+1,SR5:SG,NULL
