Row,Name,Function,Test,Limit,Marks,Technomancer,Action,Description,Source
29,"Control Device","Device Manipulation",None,"Data Processing",Varies,0,Variable,"You perform an action through a device you control
(or at least control sufficiently), using your commlink or
deck like a remote control or video-game controller. The
dice pool of any test you make using this action uses the
rating of the appropriate skill and attribute you would use
if you were performing the action normally. For example,
firing a drone-mounted weapon at a target requires a
Gunnery + Agility test, and using a remote underwater
welder calls for a Nautical Mechanic + Logic test. All actions
you take while controlling a device use either the
normal limit for that action or your Data Processing rating,
whichever is lower. If there is no test associated with the
action you want the device to perform (such as unlocking
a maglock or ejecting a clip from a pistol), you must succeed
in an Electronic Warfare + Intuition [Sleaze] v. Intuition
+ Firewall test to perform the action.
You can use this action to control multiple devices
at once. If you are the owner of all devices being commanded
and they are all being commanded to do exactly
the same thing, taking this action costs nothing extra.
Otherwise, you must split your dice pool into a number
of groups equal to the number of devices you want to
control with a single action.
The type of action this is (i.e., Free, Simple, Standard,
and Complex) is the same as the type of action attempted
with the device, and it requires 1 mark for Free Actions,
2 marks for Simple Actions, and 3 marks for Standard
or Complex Actions.
This action is a Sleaze action whenever you use your
Sleaze as a limit in the test, which incurs the same risk
of Overwatch Score and consequences of failure as all
Sleaze actions.",Core
30,"Matrix Search","Information Gathering","Computer + Intuition","Data Processing",Special,0,Variable,"You search the Matrix for information about a topic.
The time it takes and the threshold of the test depend
on the general availability of the information in question
and the area being searched, respectively. Any hits
above and beyond the threshold can be used to reduce
the search time. Divide the base time by the net hits to
determine the reduction. If you fail this test, you still
spend the full base time looking.
Some information is protected and kept secret,
stored in a host that is not publicly accessible. Finding
this information usually requires you to find and enter
the hosts in which the data is hidden. You can then make
a Matrix Search within the host, using a base time of
1 minute (regardless of the kind of information you’re looking for). This only works if the information is at
least occasionally accessed by the legitimate users of
the host. If the information is archived, you’ll need to
dig deeper into the host for that information, a dangerous
process that is detailed in the forthcoming Matrix
sourcebook.",Core
31,"Change Icon",Misc,None,"Data Processing",Owner,0,Simple,"You change the target’s icon to one that you have
a copy of or have designed yourself. Changing an icon
doesn’t change the results of a Matrix Perception action,
but might fool personas who don’t take the time to inspect
your new look. You can target your own icon, if
you like.",Core
32,"Jack Out",Misc,"Hardware + Willpower vs. Attack + Logic",Firewall,Owner,0,Simple,"This jacks you out of the Matrix and reboots the device
you are using. You suffer dumpshock if you were in
VR. The defense pool only applies if you’ve been linklocked
(p. 229) by someone; the test is against the icon
that locked your link. If more than one persona has you
link-locked, you need to beat each of them individually:
use a single roll and compare your hits to rolls from each
opponent who had established a link-lock.
You can only jack out yourself. You can’t dump other
people except by beating them into submission through
Matrix damage.",Core
33,"Invite Mark","Mark Manipulation",None,"Data Processing",Owner,0,Simple,"If you’re the owner of a device, file, persona, host, or
IC program, you can offer other icons the opportunity
to put a mark on your device, file, etc. When you make
the offer, you choose the number of marks allowed, their
duration, and how long the offer stands. The invitee can
then mark your icon with a Free Action. You may revoke
your offer at any time before the mark is placed, but
once another icon has a mark, you need to either use
the Erase Mark action or reboot your device to remove it
before the duration you chose expires.",Core
34,"Send Message",Misc,None,"Data Processing",1,0,Simple,"You send a text or audio message the length of a
short sentence, an image, or a file via the Matrix to a user whose commcode you have. If you’re using the Matrix
through a DNI, even if you’re in AR, you can send longer
and more complicated messages, about a paragraph
worth of text. You can also use this action to open a live
feed to one or more recipients, using any digital recording
devices you have.",Core
35,"Switch Interface Mode",Misc,None,"Data Processing",Owner,0,Simple,"You switch your perception from AR to VR or vice
versa. Switching to VR causes your body to go limp, so
don’t do it somewhere dangerous. If you switch from
VR to AR, you lose the bonus Initiative Dice from VR
(Changing Initiative, p. 160). If you’re link-locked (p.
229), you cannot switch interface modes.
You can only do this to yourself; you can’t switch other
people’s interface mode.",Core
36,"Load Program",Misc,None,"No Limit",None,0,Free,,Core
37,"Switch Two Matrix Attributes",Misc,None,"No Limit",None,0,Free,,Core
38,"Swap Two Programs",Misc,None,"No Limit",None,0,Free,,Core
39,"Unload Program",Misc,None,"No Limit",None,0,Free,,Core
40,"Full Matrix Defense","Matrix Combat",None,Firewall,Owner,0,Interrupt,"This allows you to defend against Attack actions, and
may be taken at any time. Whenever you make a defense
test against a Matrix Action, add your Willpower to the
dice pool (or add it again if it’s already in there). When
you take this action, your Initiative Score is reduced by
10, but the effects last for the rest of the Combat Turn.",Core
41,"Call/Dismiss Sprite",Technomancer,None,"No Limit",None,1,Simple,"You call a registered sprite you have waiting in the
Resonance, which appears at the beginning of the next
Combat Turn. You can also use this action to send a sprite
back to the Resonance, releasing it from any tasks it still
owes you, which it does on its next action.",Core
42,"Command Sprite",Technomancer,None,"No Limit",None,1,Simple,"You command a sprite to do something for you, using
up one of its tasks.",Core
43,"Compile Sprite",Technomancer,"Compiling + Resonance vs. Spirit Level",Level,None,1,Complex,"You compile a sprite (p. 254).  Bringing a sprite into the Matrix to work for you is called
compiling. When you compile a sprite, you choose a
Level for the sprite, up to twice your Resonance rating.
The higher the Level, the more powerful the sprite. Use
the Compile Sprite action (a Resonance action, not a
Matrix action). For every net hit on the Compiling test,
you get one task from the sprite. You can spend one of
these tasks having the sprite do one of the things on
the list of compiled sprite tasks.
Compiling sprites causes Fading of 2 DV per hit (not
net hit) it gets in its defense test, with a minimum of 2
DV. This Fading is Stun damage, unless the sprite’s Level
is greater than your Resonance, in which case it’s Physical
damage. You can only have one compiled sprite at
any given time.",Core
44,"Decompile Sprite",Technomancer,"Decompiling + Resonance vs. Spirit Level (+ Compiler`s Resonance if Registered)",Level,None,1,Complex,"You attempt to decompile a sprite (p. 254).  You can decompile a sprite, trying to stuff it back into
the Resonance and out of the Matrix. You can decompile
your own sprites if you need to, but usually just
dismissing them is enough.
To decompile a sprite, make an Opposed Decompiling
+ Resonance [Social] v. target’s Level (+ compiler’s
Resonance if the sprite is registered). Every net hit reduces
the sprite’s owed tasks by 1. If the sprite is reduced to
0 tasks owed to its compiler, it returns to the Resonance
on its next action. This causes Fading equal to 2 DV per
hit (not net hit) the sprite rolls, with a minimum DV of 2.",Core
45,"Erase Resonance Signature",Technomancer,"Computer + Resonance vs. 2 * Signature Rating",Attack,None,1,Complex,,Core
46,"Kill Complex Form",Technomancer,"Software + Resonance vs. Complex Form Level + Resonance",Level,None,1,Complex,"You attempt to kill a complex form (p. 251).  If you encounter another technomancer with a sustained
complex form, and you want to end the complex form
without that technomancer’s permission, you can use
the Kill Complex Form action to end it. Make a Software
+ Resonance [Mental] v. target complex form Level +
the threader’s Resonance. Every net hit you get reduces
the hits from the complex form’s threading test. If you
reduce that number to zero, the complex form ends.
Whenever you perform the Kill Complex Form action,
you must resist Fading as if you had threaded the
complex form you targeted.",Core
47,"Register Sprite",Technomancer,"Registering + Resonance vs. 2 * Spirit Level",Level,None,1,Complex,"You register a sprite (p. 254).  The Matrix doesn’t know what to make of sprites, so they
show up as illegal activity. This puts a limit on the time you
can keep a sprite around before GOD finds it and crashes
it. You can increase your sprites’ longevity by registering
them with the Matrix. This process takes a number
of hours equal to the sprite’s Level; during this time, the
sprite’s Overwatch Score does not increase due to time, The Matrix doesn’t know what to make of sprites, so they
show up as illegal activity. This puts a limit on the time you
can keep a sprite around before GOD finds it and crashes
it. You can increase your sprites’ longevity by registering
them with the Matrix. This process takes a number
of hours equal to the sprite’s Level; during this time, the
sprite’s Overwatch Score does not increase due to time,",Core
48,"Thread Complex Form",Technomancer,"Software + Resonance vs.",Level,None,1,Complex,"There’s also Erase Matrix Signature (p. 239), which
is a Matrix Action, not a Resonance Action. We thought
we’d mention it here so you remember it’s there.",Core
