Row,Name,Source,Description,AdvantageAdept,AdvantageAll,AdvantageMagician,Disadvantage,SimilarArchetypes
13,Fire-bringer,Core,"The Fire-Bringer stole the secret of fire from the heavens and gave it to metahumanity as a gift and a tool. He is a figure of kindness and concern, but his good intentions sometimes get him into trouble and his plans may fail to work out the way he envisions them. He is a shaper and a creator, forming new things from the primal clay and breathing the fiery spark of life into them. Fire-Bringers devote themselves to the betterment of others, even at their own expense. Most followers of Fire-Bringer throw themselves into a particular cause with great zeal. ","1 free level of Improved Ability on a non-combat skill ","+2 dice to Artisan skill tests or Alchemy skill tests (choose one) ","+2 dice for spells, preparations, and spell rituals in the Manipulation category.","When someone sincerely asks you for help, you can’t refuse without succeeding in a Simple Charisma + Willpower (3) Test.","Invention, Generosity"
14,Giraffe,SR5:HS,"A follower of the Giraffe mentor spirit sees beyond the horizon. She seeks to see/hear the truth beyond what is presented. A giraffe follower may seem a little off as she either looks off into space and appears to not pay attention or looks too intently at you as if she’s judging your soul. ","2 free levels of Piercing Senses","+2 Assensing skill tests or +2 to Judge Intentions test (choose one) ","+2 to Conjuring skill tests of air spirits","A follower of Giraffe stumbles through social etiquette, as she believes the small talk and chitchat that are the core of social chatter are fundamentally dishonest and not worthy of her efforts. She can make a wide range of situations awkward and receives –2 dice for Etiquette skill tests.",NULL
15,Horse,SR5:HS,"Followers of the Horse mentor spirit are the embodiment of freedom. They must be out in the open air and allowed to roam the open road. Followers are never intentionally stubborn or malicious, but they do not like to feel impeded or confined by someone else. This unfortunately also means that followers of Horse may sacrifice personal relationships for freedom.","May learn to use the Movement critter power as a metamagic (self only, 3 times a day)"," 	+2 dice to Running or Pilot Ground Craft) tests (choose one) ","Reduce Drain Value from Reckless Summoning by 1 ","Followers of the Horse can’t sit still for long nor be confined indoors. They must spend at least four hours a day outside and be able to run or drive around (any method of travel faster than walking). If followers are not able to meet this condition, they suffer –1 die to all action skill tests. This penalty is cumulative, meaning if the follower is stuck at a desk all day (indoors and not moving around) for two days in a a row, they suffer –2 to all actions until they get that free time in.",NULL
16,Monkey,SR5:HT,"Monkey is clever and playful and finds people amusing. A follower of Monkey is a foe of evil and enjoys taunting and frustrating the plans of those who would harm him or his friends. Magicians following Monkey like to taunt opponents, using magic to misdirect, confuse, or otherwise trick them into "learning their lesson" rather than seriously harming or killing them. ","2 free levels of Hang Time (SR5:SG p. 171) ","+2 to Gymnastics Tests involving climbing. ","+2 dice for spells, preparations, and spell rituals in the Manipulation category","Because Monkey is not an assassin, the magician must succeed in a Charisma + Willpower (3) Test in order to strike a surprised opponent. Monkey must be able to watch his prank go off or see the look on the opponent’s face after taunting them, otherwise he suffers -1 to all Magic tests until the next sunrise/sunset.",NULL
17,Mountain,Core,"Mountain is rooted in the very heart of the Earth but reaches toward lofty heights. She has limitless strength and endurance, but Mountain’s inflexible nature limits her. Mountain is a stubborn and unyielding force, and Mountain magicians are difficult to persuade once they have made up their minds about something. ","1 free level of Mystic Armor ","+2 dice to Survival Tests","+2 dice for Counterspelling Tests and anchored rituals ","When a Mountain magician makes a plan, she sticks to it. You must make a Charisma + Willpower (3) Test to abandon a planned course of action in favor of a new one. If you fail, you must endeavor to continue with your original plan, even if it means going on alone. Similarly, you must succeed in a Charisma + Willpower (3) Test to proceed in anything without a plan.","Endurance, Stubbornness"
18,Oracle,SR5:SG,"Past, present, and future—Oracle knows all and sees all. She peels back the veil of mystery and reveals what has been, what is, and what will be. Nothing escapes her notice, and things that are hidden do not remain hidden for long","Free Astral Perception","+2 dice pool modifier for Arcana Tests","+2 dice for Detection spells, preparations, and rituals","You hate mysteries with a passion and can disappear for days trying to track down the answer. When confronted by a particularly haunting question (gamemaster’s discretion), you must take a Willpower + Intuition (3) Test. Failure means you must undertake an Intuition + Logic [Mental] (5, 1 hour) Extended Test to try researching the answer. Completion of the Extended Test does not necessarily mean you found the answer, but it at least silences the question in your mind for the time being.","Teacher, Mystic "
19,Peacemaker,SR5:SG,"Deep down, all Peacemaker wants is for everyone to get along, even if they are currently mortal enemies. She believes every argument can be solved in some way; on the other hand, she knows some arguments require force or bodily harm in order get one’s point across."," 	2 free levels of Enhanced Perception","+2 dice pool modifier for Negotiation Tests ","+2 dice to Detection spells, preparations, and rituals","You see even enemies as potential friends and go out of your way to keep from hurting anyone unless the situation truly warrants it. At the very beginning of combat, you must pass a Charisma + Intuition (3) Test; failure means you are unable to take actions that cause Physical damage for the duration of combat. At the beginning of a new Combat Turn, you may choose to retake the test if you failed the first time and you or a member of your team suffered damage in the previous Combat Turn.","Mediator, Pacifist "
20,Raccoon,SR5:HS,"Followers of Raccoon would not call themselves thieves. Maybe entrepreneurs. They are inquisitive and have an intense curiosity about things, which can lead them into danger. They are above petty thefts and don’t delve into violent robberies. Followers of Raccoon are artists in the field of pilfering or trickery, and will strategize a plan that emphasizes their talent and flamboyance. ","2 Improved Sense powers ","+2 to Palming skill tests ","+2 dice for spells, preparations, and spell rituals in the Manipulation category.","The Raccoon is commonly one of the Thief totems, so the followers can tend to err on the side of greed. A follower of Raccoon must make a Charisma + Willpower (3) Test to resist the urge to open that next locked door to look for something to steal, or to follow that Matrix rabbit trail in the quest for more paydata. ",NULL
21,Rat,Core,"Rat is found wherever humans and the things they discard are, for what other bounty can sustain him? Rat is a scavenger, a stealthy thief who takes what he needs to survive. He dislikes working out in the open, preferring to stick to the shadows. Rat avoids fights whenever he can when he must fight, he fights to kill quickly and move on.","2 free levels of Natural Immunity","+2 dice for Sneaking Tests","+2 dice to Alchemy tests when harvesting reagents, and you may use reagents of any tradition","A Rat magician must make a Charisma + Willpower (3) Test to not immediately flee or seek cover whenever caught in a combat situation. If there is nowhere to flee, she is forced to fight.","Survival, Scavenging "
22,Raven,Core,"Raven is a harbinger of trouble in cultures worldwide. He is a trickster and a transformer, dark and devious. Raven thrives off the bounty of carnage and chaos, but does not cause them—he merely knows an opportunity when he sees one. Raven loves to eat and rarely refuses an offer of food.","Free Traceless Walk and 1 level of Voice Control ","+2 dice for Con tests","+2 dice for spells, preparations, and spell rituals in the Manipulation category. ","You must make a Charisma + Willpower (3) Test to avoid exploiting someone else’s misfortune to your own advantage or to pull a clever trick or prank even if it’s to the disadvantage of your friends. ","Deception, Mischief"
23,Sea,Core,"Sea is the birthplace of all living creatures. She is unfathomable and moody, tranquil and comforting one moment, fearsome and destructive the next. Though she possesses great wealth, she jealously guards what comes into her hands. Sea can be a powerful ally, but she must be courted with great care. ","1 free level of Improved Ability on an athletic skill (select when receiving this bonus).","+2 dice for Swimming Tests. ","+2 for summoning spirits of water","You must make a Charisma + Willpower (3) Test to give away something you own or be charitable in some way. ","Chaos, Greed "
24,Seducer,Core,"The Seducer is the incarnation of desire. He has many whims and vices that he must frequently satisfy. He encourages jealousy and greed, and seeks to inflame the wants of others. He avoids direct confrontation but gains pleasure when others fight for his attention or on his behalf. He exists to exploit weaknesses and will not hesitate to sacrifice those who get in his way.","1 free level of Improved Ability for a skill in the Acting or Influence skill group","+2 dice for Con Tests","+2 dice for spells, preparations, and spell rituals of the Illusion category. ","You must succeed in a Charisma + Willpower (3) Test to avoid pursuing a vice or indulgence (drugs, BTLs, sex, and so on) when it is made available.","Seductress, Temptation"
25,Shark,Core,"Shark is a cold and relentless hunter. His power is known to all who live near the sea. When Shark strikes, he does so without mercy, driven into a frenzy by the blood of his prey. Shark magicians tend to be wanderers, always on the move. They are fierce and deadly warriors. A Shark magician believes the only good enemy is a dead enemy. If challenged, he does not waste time with threats or boasts but strikes to kill. ","Free Killing Hands","+2 dice to Unarmed Combat tests","+2 dice for spells, preparations, and spell rituals of the Combat category.","You might go berserk when you take Physical damage in combat. Every time it happens, make a Simple Charisma + Willpower Test (wound modifiers apply). You go berserk for 3 turns minus 1 turn per hit, so 3 or more hits averts the berserk rage entirely. If you’re already going berserk, increase the duration. When you’re berserk, you go after your attacker(s) without regard for your own safety. If you run out of targets before the time’s up, you keep attacking their bodies. ","Hunger, Violence "
26,Snake,Core,"Snake is wise and knows many secrets. She is a good counselor, but always exacts a price for her advice. Snake characters fight only to protect themselves and others. They are obsessed with learning secrets and take great risks in order to do so. They trade their knowledge to others for whatever they can get in exchange.","2 free levels of Kinesics ","+2 to Arcana tests","+2 dice for spells, preparations, and spell rituals of the Detection category. ","You must succeed in a Charisma + Willpower (3) Test to avoid pursuing secrets or knowledge that few people know about when you receive hints of its existence.","Knowledge, Curiosity"
27,Spider,SR5:HS,"Spider likes to feel a connection to everything. To be at the center of a web connecting all sorts of news and able to feel the pulse of the world. Followers of Spider like to be in the know, establishing connections, be it directly with people or through surveillance. Some may feel that followers of Spider are nothing more than Awakened bloggers who scan the Matrix for tidbits of the truth. ","Hang time (2)","+2 dice to Computer skill tests ","+2 dice for Illusion spells","Followers of Spider are already paranoid about people having any misconceptions about them being insect shamans. They will keep such details from casual conversation. Followers of Spider also have taken advantage of the Matrix more than more traditional shamas in creating connections. This makes followers more agoraphobic as they avoid uncontrolled social situations and unfamiliar environments. They receive a –1 dice pool modifier to Magic tests while out in the open (this includes very large indoor rooms such as auditoriums, theatres, and stadiums). The penalty doubles if there is a large crowd of people to deal with.",NULL
28,Thunderbird,Core,"Thunderbird is a majestic creature who is storm incarnate. Her wings are dark clouds, her beak and claws lightning, and her cries the clap of thunder. She is a primal force, often savage but necessary to the survival of the land and the continuation of the cycle of life. Thunderbird is a force to be respected and approached with great care, lest her anger be roused. ","1 free level of Critical Strike (skill) ","+2 dice for Intimidation Tests","+2 dice for summoning spirits of air","A Thunderbird magician must succeed in a Charisma + Willpower (3) Test to avoid responding to an insult in kind. ","Anger, War"
29,Whale,SR5:HS,"Followers of Whale appreciate beauty and the longtime traditions of working in the arts. With a long life, they also hold personal honor and loyalty in high esteem. Those Whale adopts into her personal circle receive her total loyalty, and she expects the same in return. Followers of Whale are patient in their work and will take the time to make sure all the details are complete.","Receive 2 ranks in Iron Lungs (SR5:SS p. 23) for free. ","+2 dice to Swimming or Pilot (Watercraft) skill tests (choose one)","+2 to Conjuring skill tests for spirits of wate","Because of their personal sense of ethics, followers of the whale must honor any agreement they enter into. This can be an oath to an organization or a verbal contract with a corporation. Failing to honor the contract or oath results in a loss of a point of Magic. The Whale mentor spirit understands if circumstances to complete the contract are out of the Awakened’s hands. For everything else, the follower can attempt to atone, but at the gamemaster’s discretion.",NULL
30,"Wise Warrior",Core,"The Wise Warrior is skilled in the art of war, for battle is an art to her, an exercise in the powers of the mind as well as the body. She studies the tactics of her foes and overcomes them through a combination of superior strategy and battle prowess. The Wise Warrior does not act out of savagery or battle-lust, but from a position of knowledge and wisdom. Wise Warriors must follow the warrior’s code of honor and conduct themselves properly or risk the loss of favor. ","1 free level of Improved Ability on a Combat skill.","+2 to dice to Leadership or Instruction skill tests (choose one) "," 	+2 dice for spells, preparations, and spell rituals in the Combat category.","If you act dishonorably or without courtesy, whether by choice or by accident, you take a –1 dice pool modifier to all actions until you atone for your behavior.","Duty, Wisdom"
31,Wolf,Core,"Wolf is recognized as a hunter and warrior worldwide. He is devoted to the other members of his pack. As the ancient saying goes, Wolf wins every fight but one—the one that kills him. Wolf magicians are loyal to friends and family unto death. They do not show cowardice in battle, and their word is their bond. "," 	2 free levels of Attribute Boost (Agility). ","+2 dice to Tracking tests","+2 dice for spells, preparations, and rituals in the Combat category. ","You must succeed in a Charisma + Willpower (3) Test to retreat from a fight.","Hunting, Fellowship"
32,Doom(TOXIC),SR5:SG,"Doom embodies the desire of toxics to bring an end to all life on the planet. They seek to hasten the inevitable (as they see it) apocalypse and turn the world into a barren, polluted landscape. Followers of Doom see humanity as too tragically flawed to be allowed to survive, and thus carry out an agenda of total destruction. As a result of their nihilistic outlook, followers of Doom are isolationist and anti-social.","Free Killing Hands power","+2 to Demolitions or a single Combat Skill of the character’s choice","+2 dice for spells, preparations, and spell rituals of the Combat category","Followers of Doom must succeed in a Willpower + Charisma (3) Test to avoid a fight once it has begun, or to not enact a plan to do violence. If they fail, they must engage in combat until all opponents are defeated or flee. ","Destroyer, Reaper "
33,Disease(TOXIC),SR5:SG,"Disease embodies the infection and virulence that is rampant in many areas of toxicity. It is the ultimate parasite of the world, subsisting off of the waste of others, growing and gaining strength in hidden or forgotten places. Followers of disease seek to spread its influence throughout the world, in a slow but steady infection of all things. Contrary to the norm, followers of Disease collaborate with each other and work in groups to achieve their goal. They find strength in numbers and avoid direct confrontation whenever possible, preferring to spread their infection and sap their enemies’ strength in subtle ways. ","Free Plague Cloud power (see p. 173) ","+2 to resist all pathogens and toxins ","+2 dice for summoning or binding plague spirits (toxic spirits of man) ","Followers of Disease must make a Charisma + Willpower (3) Test to not flee or seek cover whenever in a combat situation, unless they outnumber their opponents. If they begin a fight with greater numbers but then their side is reduced so that they no longer outnumber their opponents, they must make a test to avoid fleeing. ","Pestilent Rat, Contagion"
34,Mutation(TOXIC),SR5:SG,"Mutation is the ultimate changer of ways. It seeks to alter every living thing into a new form, a new creation in its image. Mutation doesn’t hate life, but wants all life to be remade into whatever new forms it chooses. Followers of mutation conspire to control, manipulate, and change all living things. To that end, they spread pollution and corruption in subtle ways to make the change of mutation happen. Mutation also believes in improving living things through experiment and change. Its followers are obsessed with self-improvement, always looking for ways to make themselves better. ","Free Attribute Boost (level 2) power for a Physical Attribute of the character’s choice ","+2 dice to a Physical skill of the character’s choice","+2 dice for spells, preparations, and spell rituals of the Health category ","If a follower of Mutation finds themselves inferior to an opponent, they suffer a –1 penalty on all actions until they defeat their rival in that area, or overcome or compensate for the weakness in another way (such as acquiring a new power, spell, or augmentation).","Mutant Beast, Dark Darwinist"
35,Pollution(TOXIC),SR5:SG,"Pollution embodies the defilement of the natural world and its destruction. Followers of pollution celebrate in the rape of the natural world and believe that pollution is the ultimate primal force in the Sixth World. Followers of Pollution believe they grow stronger as the industries of mankind grow and produce more of the irresistible power of corrupting chemicals.","Free Toxic Strike (see p. 176) power "," 	+2 dice for Chemistry Tests when dealing with pollutants in any way; may default even if they do not have the Chemistry skill ","+2 dice to summon or bind toxic toxic spirits of air, earth, or water (choose one)","If they are in an area cleaner than their normal habitation, followers of Pollution must make a Willpower + Charisma (3) Test every day. If they fail, they must spend at least eight hours that day actively despoiling the land, regardless of any other plans they had for that time.",NULL
