Row,Name,Karma,Description,Type,Source,Prerequisites,MaxRating,Bonus,Skill,RequireText,Options
11,Bilingual,"5 KARMA","A character with this quality reads, writes, and speaks a second language fluently. They can list a second language as a native tongue (see Language Skills, p. 150). This quality can only be acquired at character creation; selecting it gives the character a second free language skill during Step Five: Purchase Active, Knowledge, and Language Skills, (p. 88).",Positive,Core,,1,,,0,
12,"Biocompatability (Bioware)","5 KARMA","Something about the character’s body is exceptionally accepting of either bioware or cyberware implants (choose one). Not only are the implants not rejected, but they seamlessly fit within the body, having less impact on its holistic integrity. In game terms, the Essence cost of implants of the particular chosen type are reduced by ten percent, rounded down to the tenth. This rebate is cumulative with the reduction offered by the chosen ’ware’s grade, if any (e.g., the reduction for alphaware of 0.8 is reduced by ten percent, or 0.08, to become 0.72, and is rounded down to 0.7). This quality can only be chosen for bioware or cyberware. This quality may only be taken once.",Positive,SR5:CF,,1,,,0,
13,"Black Market Pipeline","10 KARMA","During character creation, the player chooses one existing individual contact and a single category of merchandise (e.g., vehicles, weapons, electronics, armor, etc.). The selected contact can always buy or sell goods in that category through the black market with better-than-normal rates for the character. Purchases through this contact get a ten percent price reduction and a +2 dice pool modifier for the Availability Test. When looking to sell goods through the contact, the character gets (7 percent x Loyalty) of the item’s original value instead of the standard 5 percent. The contact has to be appropriate to the category chosen, though creativity can be king here.",Positive,SR5:RF,,1,,,0,
14,Blandness,"8 KARMA","This character blends into a crowd; he’s seldom noticed and easily forgotten. He is unremarkable in every aspect of physical appearance. Anyone attempting to describe the character cannot come up with anything more precise than “average height, average build, average hair, etc.” Increase the threshold for anyone to recall specific details about the character by 1. This means a Memory Test with a difficulty of Average (threshold of 2) becomes a Hard test (threshold of 3). Individuals attempting to shadow or physically locate a character with the Blandness quality in a populated setting receive a –2 dice pool modifier on all tests related to their search. The same penalty applies if they’re asking around about the person based on the individual’s physical appearance. The modifier does not, however, apply to magical or Matrix searches. If the character acquires any visible tattoos, scars, obvious cyberware, or other distinguishing features, the bonuses from the Blandness quality go away until the distinctive features are removed from the character’s appearance.  In certain circumstances and specific situations, the gamemaster may determine that Blandness does not apply. For example, a troll with the Blandness quality still towers head and shoulders over a crowd of humans and so still stands out, no matter how average their horns may be. The character only regains his bonus by leaving the situation where he stands out.",Positive,Core,,1,Notoriety:-1,,0,
15,"Born Rich","5 KARMA","Richie Rich has fallen into the shadows. The character came from an affluent background (e.g., high-level corporate kid, old-money family, Mafia princess, lottery winner), but is not necessarily still wealthy or doesn’t have access to this additional wealth. During character creation, characters can normally gain extra resources at a rate of 2,000 nuyen per Karma point, up to 10 Karma maximum (p. 94, SR5). With this quality, available only during character creation, characters may exceed the usual 10 Karma limit and instead trade up to 40 Karma total at the same exchange rate of 2,000 nuyen per Karma point, for up to 80,000 nuyen of additional funds.",Positive,SR5:RF,,1,,,0,
16,"Brand Loyalty","3 KARMA","Brand loyalty is taken to extremes in the Sixth World with individuals brainwashed by their megacorporate masters, especially when it comes to firearms. But sometimes being loyal to a brand can be a good thing. Characters who are brand loyal know the products of their favorite brand inside and out. The quality has two levels; Manufacturer and Product. At the Manufacturer level, characters choose a corporate or manufacturer brand, i.e. Ares, Saeder-Krupp, Krime, H&K, Novatech, etc., and gain a +1 dice pool bonus on every roll involving gear made by their manufacturer. At the Product level the bonus is only conveyed on a single item, i.e. Predator IV, S-K-Bentley Concordat, Krime Kannon, HK227, Novatech Airware, etc.  On the downside, due to this narrow focus the character suffers a –1 dice pool penalty whenever working with a piece of gear not made by their preferred Manufacturer. At the Product level the –1 dice pool penalty is applied to all products of the same type, i.e., heavy pistols, cars, SMGs, assault cannons, commlinks, etc.",Positive,SR5:R&G,,1,,,0,
17,Catlike,"7 KARMA","A character with the Catlike quality is gifted with an uncanny elegance, a stealthy gait, and an almost preternatural ability to move without making a sound. They also claim they land on their feet when dropped, though they tend not to let people test this. This quality adds a +2 dice pool modifier to Sneaking skill tests.",Positive,Core,,1,,Sneaking:2,0,
18,Chaser,"4 KARMA","Something about reeling in a car, boat, or plane that is trying to get away from you gives you a sense of urgency and intensity that makes you perform at your peak. The same thing happens when someone is after you. Any time you perform any Chase Action (p. 204, SR5), you receive a +2 dice pool bonus.",Positive,SR5:R5.0,,1,,,0,
19,"City Slicker","7 KARMA","A character with this quality has the asphalt and concrete of the sprawl in his blood. They would choose the noise and chaos of the city over the suburbs or rural areas any day of the week. They have an instinct for navigating urban environments. This quality provides a +1 dice pool modifier for all skills in the Outdoors skill group when in an urban environment. The downside is the character suffers a –1 dice pool modifier to Perception and Survival Tests when in any non-urban environment.",Positive,SR5:RF,,1,,,0,
20,Codeslinger,"10 KARMA","Ones and zeroes are practically a native language to a Codeslinger. The character is adept at performing a particular Matrix action (which she selects when she selects this quality) and receives a +2 dice pool modifier to that Matrix action. This can only be selected for Matrix Actions (p. 237) that have a test associated with them.",Positive,Core,,1,,,0,
21,"College Education","4 KARMA","The halls of academe are well known to your character. Thanks to time spent actually studying while at college instead of partying, the character can buy Academic Knowledge skills at half price (rounded up) during character creation. After character creation, Academic Knowledge skill ranks of 3 or higher receive a 1 Karma cost reduction for each rank.",Positive,SR5:RF,,1,MentalLimit:1,,0,
22,"Common Sense","3 KARMA","“Common sense is not so common” as they say. It’s nothing supernatural, just a keen sense of knowing when something is just a bad idea. Any time a character with this quality is about to do something the gamemaster deems foolish, the gamemaster must act as their proverbial inner voice of reason and issue a little warning. The gamemaster can only give a number of warnings per session equal to or less than the character’s Edge rating. After that, they’re on their own.",Positive,SR5:RF,,1,,,0,
23,"Cyber Singularity Seeker","12 KARMA","In the Sixth World, many accept cyberware as a means to an end, as a way to augment their capacity. For most it is a trade-off between their sense of self and being more capable. For you, though, cyberware is the end. You believe that the more chrome you get, the closer you get to some sort of point of nirvana, of hitting a singularity where you blend man and machine to perfection. The character gains +1 Willpower for every two full cyberlimb replacements they get (partial limb replacements don’t count), up to a maximum of +2 Willpower.",Positive,SR5:CF,,1,,,0,
24,Daredevil,"6 KARMA","Better to be lucky than good, when you’re living on the edge. A character with this quality is particularly lucky when it comes to doing the outrageous. Whenever the character performs an exceptionally daring action (gamemaster’s discretion), she gets two points of Edge back instead of one.",Positive,SR5:RF,,1,,,0,
25,"Data Anomaly","3 KARMA","An incessant code tinkerer, you know very effective ways to hide your icon, making it look like nothing more than a piece of errant code. You gain +2 dice when resisting a Matrix Perception test while running silent. Unfortunately, whatever it is you’re doing to hide yourself has one little flaw—sprites, those mysterious creatures of the Matrix, can spot you instantly, exactly as if you weren’t running silent at all.",Positive,SR5:DT,,1,,,0,
26,"Dealer Connection","3 KARMA","At some point in your wide travels and extra-legal activities, you met someone who has access to retail vehicles, and your connection means that you get vehicles at a discount. When selecting this quality, pick a class of vehicle (ground craft, watercraft, aircraft, or drones). Each time you purchase a vehicle of that class, you receive ten percent off the price. The discount is taken after the gamemaster makes adjustment to the price based on Availability. This quality may be taken up to four times, once for each class of vehicle.",Positive,SR5:R5.0,,1,,,0,
27,"Digital Doppelganger","7 KARMA","The Matrix is a big place, and with a world so connected and so tied to identity, there are bound to be some crossed signals somewhere. The character’s digital identity, including their spending habits, licenses, travel records, and data trail have all been cross-linked with someone else’s identity. Anyone doing research on him has a hard time locating any information and faces a +2 threshold for Matrix Searches for tracking the character on this ID. The character must be a SINner, and this quality should be linked to a particular SIN.",Positive,SR5:RF,,1,,,0,
28,Disgraced,"2 KARMA","The character used to be a figure of authority, feared in the streets and publicly lauded as a hero until his reputation got tarnished (justly or unjustly), and he was cast out of his community. Such was the character’s fearsome reputation that criminals (gangers, organized crime members, and so on, as determined by the gamemaster) still treat him warily. The character receives a +2 dice pool modifier when attempting to intimidate such individuals. However, any upright citizen will treat the character with the disdain reserved for disgraced heroes, being treated as Prejudiced in any Etiquette Test.",Positive,SR5:RF,,1,,,0,
29,"Double Jointed","6 KARMA","A Double-Jointed character has unusually flexible joints and can bend and contort his body into extreme positions. The character receives a +2 dice pool modifier for Escape Artist tests. The character may also be able to squeeze into small, cramped spaces where less limber characters cannot. They’re also great at parties and bars.",Positive,Core,,1,,Escape_Artist:2,0,
30,"Drug Tolerant","6 KARMA","The character has a higher-than-average tolerance for drugs (sometimes called Ozzy Osborne Syndrome). This could be due to a hardy constitution, or a natural genetic mutation that allows for better absorption and filtering of foreign chemicals from their system. The character in question receives +2 dice to all Addiction Tests (p. 414, SR5) to resist addiction. They gain no bonus, however, for attempting to dry out after being addicted.",Positive,SR5:CF,,1,,,0,
31,"Elemental Focus","10 KARMA","Your magic manifests more easily with one element than the rest. Choose an elemental type when taking this quality. When casting spells of that type, you get a +2 dice pool modifer. Drain you may take from casting spells of that type is of the same type. You also suffer the secondary effects of that type.",Positive,SR5:HT,,1,,,0,
32,Erased,"8 KARMA","There are characters who lack a SIN because they never had one, and then there are those who had a SIN but had it actively and thoroughly erased, to the point where legwork can only be done via word-of-mouth contacts, and Matrix searches turn up nothing. Also, the quality prevents Public Awareness for the character from ever going above 1.  This is a double-edged sword. The character can never maintain a Lifestyle higher than Middle, and can never used a fake SIN or any attached licenses for more than three months. Living under the radar is expensive. If a character chooses to have a High Lifestyle for a month, she’ll need to bail on it and lay low for a bit with a Low or lower Lifestyle for at least a month. If they fail to do so, the systems in place start to slip, making the character locatable via the Matrix and possibly building a Public Awareness—which means that whatever they were hiding from might have a chance to find them.",Positive,SR5:RF,,1,,,0,
33,"Exceptional Attribute","14 KARMA","The Exceptional Attribute quality is how you get to be the charismatic troll, or the agile dwarf. It allows you to possess one attribute at a level one point above the metatype maximum limit. For example, an ork character with the Exceptional Attribute quality for Strength could take his Strength attribute up to 10 before augmentations are applied, instead of the normal limit of 9. Exceptional Attribute also applies toward Special Attributes such as Magic and Resonance. Edge cannot affected by the Exceptional Attribute (Edge is raised by another quality called Lucky). A character may only take Exceptional Attribute once, and only with the gamemaster’s approval.",Positive,Core,,1,,,0,
34,"Fade To Black","7 KARMA","When the opposition starts getting marks on you, you know the hurt isn’t far behind. That feeling of the noose tightening around your neck, the race to get them before they get you … well, you hate that drek. So much so that you have developed your vanishing act technique. When making a Complex Action to perform the Erase Mark action, if you succeed in erasing all marks on you, you may then immediately perform a Hide action as part of the same Complex Action you just took.",Positive,SR5:DT,,1,,,0,
35,"Fame (Local Fame)","4 KARMA","Now if you can just get fortune and money you’ll have the trifecta. The problem is you’ve got the element that is not particularly cherished in the shadows. Whether you’re a former trid star, a local politician, a retired or injured sports star, or the latest up-and-coming rocker, your face is well known. It may be just the local community, a single nation or corp, or possibly the world that knows your ugly mug. No matter who they are or how many folks know your profile, being so recognizable has its pros and cons.  First, on the pro side, Fame offers benefits within certain social circles and additional income if the character also chooses the Day Job quality.  That may sound nice, but being well known is not a great way to get work in the shadows, and therefore causes problems on the darker side of life. Characters with this quality are more likely to be recognized by passers-by or others who see them during a run, which can be a problem. And remember that Fame often involves strings; one of the biggest is having a SIN. Characters who choose this quality must have the SINner quality or a Rating 3 fake SIN.    City politics, hometown sports teams, and local news stations are some of the most common sources of local fame. Select a single sprawl at character creation to be the base of the character’s fame. In the public eye of that sprawl, the character gains a 1-point increase to their Social Limit and a +1 dice pool modifier on all Social Skill tests to positively influence someone who knows of their fame.  The downside is that anyone from the chosen sprawl can identify famous characters with an Intuition + Logic (2) Test, so characters need to be careful about who sees them when they are on the job. The character’s Public Awareness is increased by 2.  If the character has the Day Job quality, they multiply their income by 2.",Positive,SR5:RF,,1,,,0,
36,"Fame (National Fame)","8 KARMA","Now if you can just get fortune and money you’ll have the trifecta. The problem is you’ve got the element that is not particularly cherished in the shadows. Whether you’re a former trid star, a local politician, a retired or injured sports star, or the latest up-and-coming rocker, your face is well known. It may be just the local community, a single nation or corp, or possibly the world that knows your ugly mug. No matter who they are or how many folks know your profile, being so recognizable has its pros and cons.  First, on the pro side, Fame offers benefits within certain social circles and additional income if the character also chooses the Day Job quality.  That may sound nice, but being well known is not a great way to get work in the shadows, and therefore causes problems on the darker side of life. Characters with this quality are more likely to be recognized by passers-by or others who see them during a run, which can be a problem. And remember that Fame often involves strings; one of the biggest is having a SIN. Characters who choose this quality must have the SINner quality or a Rating 3 fake SIN.    National politics, championship sports teams, and the entertainment industry supply the bulk of nationally famous folks. At character creation, select a nation to be famous within and a sprawl of origin within that nation (it needs to be a place related to the character’s story and the languages they speak—characters need at least four ranks in the native language of the country in which they are famous). In the selected sprawl, characters gain a 1-point increase to their Social Limit and a +2 dice pool modifier on all Social Skill tests to positively influence someone who knows of their fame. In the chosen nation, the character has a 2-point Social Limit increase and a +1 dice pool modifier as above.  Anyone from the character’s home sprawl can identify the character with an Intuition + Logic (1) Test; people from the nation need to make an Intuition + Logic (2) Test. The character’s Public Awareness is increased by 3.  If the character has the Day Job quality, they multiply their income by 4 and also increase their required workload by 10 percent.",Positive,SR5:RF,,1,,,0,
37,"Fame (Megacorporate Fame)","12 KARMA","Now if you can just get fortune and money you’ll have the trifecta. The problem is you’ve got the element that is not particularly cherished in the shadows. Whether you’re a former trid star, a local politician, a retired or injured sports star, or the latest up-and-coming rocker, your face is well known. It may be just the local community, a single nation or corp, or possibly the world that knows your ugly mug. No matter who they are or how many folks know your profile, being so recognizable has its pros and cons.  First, on the pro side, Fame offers benefits within certain social circles and additional income if the character also chooses the Day Job quality.  That may sound nice, but being well known is not a great way to get work in the shadows, and therefore causes problems on the darker side of life. Characters with this quality are more likely to be recognized by passers-by or others who see them during a run, which can be a problem. And remember that Fame often involves strings; one of the biggest is having a SIN. Characters who choose this quality must have the SINner quality or a Rating 3 fake SIN.    Megacorporate sports teams, the international entertainment industry, and megacorporate politics bring corporate citizens into the spotlight. At character creation, choose a home megacorporation, home sprawl, and home nation where the character’s fame originated and grew. In the character’s megacorporation, they gain a 2-point Social Limit bonus and a +2 dice pool modifier on all Social Skills tests to positively influence someone who knows of their fame. In the nation and sprawl they came from, the Social Limit increase is 1 and the dice pool modifier is +1.  Citizens of their megacorporation and their home sprawl need only succeed at an Intuition + Logic (1) test to identify the character. Citizens of other megacorporations and their home nation can identify them with an Intuition + Logic (2) Test. The character’s Public Awareness is increased by 5.  If the character has the Day Job quality, they multiply their income by 6 and also require a 10 percent increase in workload.",Positive,SR5:RF,,1,,,0,
38,"Fame (Global Fame)","16 KARMA","Now if you can just get fortune and money you’ll have the trifecta. The problem is you’ve got the element that is not particularly cherished in the shadows. Whether you’re a former trid star, a local politician, a retired or injured sports star, or the latest up-and-coming rocker, your face is well known. It may be just the local community, a single nation or corp, or possibly the world that knows your ugly mug. No matter who they are or how many folks know your profile, being so recognizable has its pros and cons.  First, on the pro side, Fame offers benefits within certain social circles and additional income if the character also chooses the Day Job quality.  That may sound nice, but being well known is not a great way to get work in the shadows, and therefore causes problems on the darker side of life. Characters with this quality are more likely to be recognized by passers-by or others who see them during a run, which can be a problem. And remember that Fame often involves strings; one of the biggest is having a SIN. Characters who choose this quality must have the SINner quality or a Rating 3 fake SIN.    This kind of fame is not easy to avoid. International blockbuster simstars, multi-platinum-selling music artists, megacorporate executives, and international political figures fit this kind of bill. Characters with this level of fame gain a 3-point increase to their Social Limit and a +3 dice pool modifier to all Social Skills tests to positively influence anyone who knows their identity. Identifying the character requires an Intuition + Logic (2) Test or any rank in an appropriate Knowledge Skill.  If the character has the Day Job quality, they multiply their income by 10 and also require a 25 percent increase in workload. The character’s Public Awareness is increased by 8.  Characters can create their own runner persona to try and hide their true identity, but it will involve a disguise or mask of some sort. Identifying the star becomes an Opposed Test with the initial Disguise + Intuition [Mental] Test, setting the threshold to identify the character with a Perception + Intuition [Mental] Test.",Positive,SR5:RF,,1,,,0,
39,"First Impression","11 KARMA","The First Impression quality enables a character to slide easily into new environments, situations, groups, and jobs. Whether infiltrating a gang, making contacts in a new city, or wrangling an invite to a private meet, the character gains a temporary +2 dice pool modifier for relevant Social Tests such as Negotiation and Con during the first meeting. This modifier does not apply to second and subsequent encounters",Positive,Core,,1,Notoriety:-1,,0,
40,"Focused Concentration","4 KARMA PER RATING","A technomancer or magic user with the Focused Concentration quality has the discipline to manipulate mana or Resonance more precisely than otherwise possible. This precision reduces stress to the magic user’s or technomancer’s body. She is able to sustain one spell/complex form with a force/level equal to her Focused Concentration rating without suffering any penalties. For example, a magic user with Focused Concentration rating 3 may sustain a Force 3 Armor spell without taking the negative dice pool modifier for sustaining a spell. Sustaining any additional spells or complex forms incurs the standard –2 dice pool modifier per spell or complex form sustained. This quality may only be taken by magic user characters that are able to cast spells and technomancers.",Positive,Core,,6,,,0,
41,"Friends In High Places","8 KARMA","“So sorry, Damian, I can’t head out on the new Ares prototype ship with you this weekend, I have a run,” is something a character with this quality might actually say. This quality gives the character an additional pool of Free Karma for purchasing contacts, with a few stipulations. First, the character gets an additional Charisma x 4 in Karma to purchase contacts. Second, none of these contacts can have a Connection Rating less than 8. Third, any leftover Karma that the character cannot spend is lost. These contacts can’t be called at every turn; see the Who You Know chapter for information on what happens if the favors of contacts are abused. (p. 172).",Positive,SR5:RF,,1,,,0,
42,Gearhead,"11 KARMA","The Gearhead is who you look for when it’s time to stomp on the gas and move. She’s a natural-born driver or pilot. When she’s at the wheel/stick/controls of a vehicle or drone, she has an intuitive understanding of its limitations and its capabilities and is able to coax whatever machine she’s controlling to perform at its best. During vehicle or chase combat, a Gearhead can increase the Speed of her vehicle or drone by 20 percent or increase the Handling modifier by +1 (player’s choice). She also receives a +2 dice pool modifier when attempting difficult maneuvers or stunts in the vehicle. This bonus lasts for 1D6 minutes. The player can choose to make this bonus last up to an additional 1D6 minutes if she wants. Doing so pushes the vehicle or drone well beyond its design limits and risks catastrophic damage. For each minute the character pushes the vehicle past its initial bonus period, the vehicle automatically takes one point of stress damage (unresisted)",Positive,Core,,1,,,0,
43,"Go Big Or Go Home","6 KARMA","You don’t have time to mess around. When you strike, you strike to kill. Whenever you attempt to place three marks on a target using a single Brute Force or Hack on the Fly action, you suffer a penalty of –6 instead of the usual –10. Now, go get ’em, Tiger.",Positive,SR5:DT,,1,,,0,
44,"Golden Screwdriver","8 KARMA","It happens to everyone: You meet more hacking opposition that you expected, and your shit gets bricked. Maybe it’s your deck. Maybe it’s your cybereyes. They just love to brick cybereyes, don’t they? Well, null persp, chummer, ’cause been there, done that. You are so used to fixing Matrix damage that you hardly think about it anymore. Every hit you get on your Hardware + Logic test reduces 1 box of Matrix Damage and reduces the time to do so by half—you do not have to allocate your hits to one or the other.",Positive,SR5:DT,,1,,,0,
45,"Grease Monkey","8 KARMA","When you were young, you would much rather make a trip to the junkyard than the toy store (possibly because kids in the barrens never have enough money to buy anything at the toy store). As you got older, the allure or discarded vehicle and machine parts on the heaps in junkyards was far stronger than the promise of some new toy. You not only loved monkeying around with these items, but you could often get the devices to work. Gain +1 dice on any skill test using skills from the Engineering skill group.",Positive,SR5:R5.0,,1,,,0,
46,Guts,"10 KARMA","When a bug spirit with dripping mandibles comes calling, the character with Guts is the one most likely to stand and fight instead of freaking the hell out. Guts gives a character a +2 dice pool modifier on tests to resist fear and intimidation, including magically induced fear from spells or critter powers.",Positive,Core,,1,,,0,
47,"Hawk Eye","3 KARMA","Characters with the Hawk Eye quality have exceptionally keen natural vision. They can identify a face a block away without binoculars or spot a spent casing in a shadowy crack at five meters. Characters gain a +1 dice pool modifier to their Perception Tests and shift all Range Environmental modifiers up one category (e.g., Medium becomes Short). The quality is part of characters’ natural eyes and is not compatible with electronic vision enhancements and/or cyber- or bioware augmentations or replacements.",Positive,SR5:RF,,1,,Perception:1,0,
48,"High Pain Tolerance","7 KARMA PER RATING","High Pain Tolerance lets a character keep delivering the pain even if she’s had plenty piled on her own head. A character with High Pain Tolerance can ignore one box of damage per rating point of this quality when calculating wound modifiers (see Wound Modifiers, p. 169). So a character with this quality at Rating 2 can take 4 boxes of damage but carry on without wound modifiers as if she only had 2 boxes of damage. The –1 wound modifier would then kick in when the character takes her fifth box in damage. This quality may not be used with the Pain Resistance adept power, pain editor bioware, or damage compensator bioware.",Positive,Core,,3,,,0,
49,"Home Ground (Astral Acclimation)","10 KARMA","If a character knows her neighborhood better than anyone—the shortcuts, the hiding places, and the people she can trust—then she probably has the Home Ground quality. She knows the families who live there, their stories, and what the kids who moved out are doing; she knows the streets better than GridGuide, knows things that aren’t on GridGuide, and knows when GridGuide is wrong. She knows the politics of the gangs, who’s running for whom and who’s running from whom. But it’s not just the physical streets. Depending on the character, her Home Ground quality can manifest in ways specific to who and what she is. When choosing this quality, select one of the bonuses below:  The character has become acclimated to the background count of her Home Ground. Through a lifetime of familiarity she’s learned to work around it, enabling her to ignore up to two points of background count.",Positive,Core,,1,,,0,
50,"Home Ground (You Know A Guy)","10 KARMA","If a character knows her neighborhood better than anyone—the shortcuts, the hiding places, and the people she can trust—then she probably has the Home Ground quality. She knows the families who live there, their stories, and what the kids who moved out are doing; she knows the streets better than GridGuide, knows things that aren’t on GridGuide, and knows when GridGuide is wrong. She knows the politics of the gangs, who’s running for whom and who’s running from whom. But it’s not just the physical streets. Depending on the character, her Home Ground quality can manifest in ways specific to who and what she is. When choosing this quality, select one of the bonuses below: The character has built up long-lasting relationships with people from her neighborhood. These people are not contacts, but they know her as one of their own and are more likely to do favors for or talk to her. NPCs from the character’s Home Ground neighborhood are considered friendly toward her wherever she encounters them (unless she has done something to change that).The character receives +2 Street Cred for any Negotiation with people from her Home Ground.",Positive,Core,,1,,,0,
51,"Home Ground (Digital Turf)","10 KARMA","If a character knows her neighborhood better than anyone—the shortcuts, the hiding places, and the people she can trust—then she probably has the Home Ground quality. She knows the families who live there, their stories, and what the kids who moved out are doing; she knows the streets better than GridGuide, knows things that aren’t on GridGuide, and knows when GridGuide is wrong. She knows the politics of the gangs, who’s running for whom and who’s running from whom. But it’s not just the physical streets. Depending on the character, her Home Ground quality can manifest in ways specific to who and what she is. When choosing this quality, select one of the bonuses below: This is for a decker or technomancer who has a specific host that she calls her own. She may actually own the spot, or it can be a place she frequents enough to consider home. The character receives a +2 bonus to Matrix Tests while in her Home Ground host. Bonuses from other Qualities may stack with Home Ground. If the character has not frequented this host for more than six months, she loses the Home Ground quality because she is no longer as familiar as she should be.",Positive,Core,,1,,,0,
52,"Home Ground (The Transporter)","10 KARMA","If a character knows her neighborhood better than anyone—the shortcuts, the hiding places, and the people she can trust—then she probably has the Home Ground quality. She knows the families who live there, their stories, and what the kids who moved out are doing; she knows the streets better than GridGuide, knows things that aren’t on GridGuide, and knows when GridGuide is wrong. She knows the politics of the gangs, who’s running for whom and who’s running from whom. But it’s not just the physical streets. Depending on the character, her Home Ground quality can manifest in ways specific to who and what she is. When choosing this quality, select one of the bonuses below: This character knows the layout of streets, back alleys, service tunnels, etc., like the back of her hand. She knows when GridGuide is wrong and when GridGuide is out of date. When the transporter is on her Home Ground, she has a +2 dice pool modifier for Evasion Tests.",Positive,Core,,1,,,0,
53,"Home Ground (On the Lam)","10 KARMA","If a character knows her neighborhood better than anyone—the shortcuts, the hiding places, and the people she can trust—then she probably has the Home Ground quality. She knows the families who live there, their stories, and what the kids who moved out are doing; she knows the streets better than GridGuide, knows things that aren’t on GridGuide, and knows when GridGuide is wrong. She knows the politics of the gangs, who’s running for whom and who’s running from whom. But it’s not just the physical streets. Depending on the character, her Home Ground quality can manifest in ways specific to who and what she is. When choosing this quality, select one of the bonuses below: Hiding out and lying low are part of a shadowrunner’s daily life. On the Lam means a character has an encyclopedic knowledge of safehouses, bolt holes, abandoned buildings, just about any out-of-the-way place not claimed by gangs or squatters. When she needs to find a safe location in a hurry, this character receives a +2 dice pool bonus to her Intuition + appropriate street knowledge skill to find a suitable place to hole up fast.",Positive,Core,,1,,,0,
54,"Home Ground (Street Politics)","10 KARMA","If a character knows her neighborhood better than anyone—the shortcuts, the hiding places, and the people she can trust—then she probably has the Home Ground quality. She knows the families who live there, their stories, and what the kids who moved out are doing; she knows the streets better than GridGuide, knows things that aren’t on GridGuide, and knows when GridGuide is wrong. She knows the politics of the gangs, who’s running for whom and who’s running from whom. But it’s not just the physical streets. Depending on the character, her Home Ground quality can manifest in ways specific to who and what she is. When choosing this quality, select one of the bonuses below: This character knows the street gangs, the criminal operations, and the beneath-the-surface affiliations that are the social and political fabric of her Home Ground. She receives a +2 dice pool modifier for Knowledge Tests relating to gangs or their operations.",Positive,Core,,1,,,0,
