Row,Name,MaxRating,MinRating,Type,Part,Essence,Capacity,Availability,Cost,Description,Wireless,Source,Base,Container,Attachable,Bonus,Skill
12,Symbiotes,4,1,Bioware,Basic,"Rating x 0.2",-,"Rating x 5","Rating x 3,500¥","Tailored micro-organisms in your bloodstream greatly enhance your healing. Add the Rating of the symbiotes as a dice pool modifier on healing tests (Physical and Stun). However, the symbiotes have unusual dietary requirements that must be met to keep them alive. You need to pay (Rating x 200) nuyen per month for special symbiote food, although if you have a High Lifestyle or better itâ€™s covered.",NULL,Core,1,0,0,,
13,Synthacardium,3,1,Bioware,Basic,"Rating x 0.1",-,"Rating x 4","Rating x 30,000¥","Artificially hanced myocardium allows cardiovascular functions to be performed more efficiently, enabling the heart to keep the blood better oxygenated. The synthacardium adds its Rating as a dice pool bonus to your tests using skills in the Athletics skill group.",NULL,Core,1,0,0,,
14,"Tailored Pheromones",3,1,Bioware,Basic,"Rating x 0.2",-,"(Rating x 4)R","31,000¥","These pheromones are specially tailored to subtly influence others and can be released at will. Tailored pheromones add their Rating as a dice pool modifier to your skill tests for skills in the Acting and Influence skill groups, but only when the person youâ€™re using them on is within a comfortable conversation rangeâ€”if they canâ€™t smell you, the pheromones donâ€™t work. Tailored pheromones also work on you to make you feel better about yourself; increase your Social limit by the Rating. Tailored pheromones have no effect on magical abilities and tests.",NULL,Core,1,0,0,SocialLimit:[Rating],
15,"Toxin Extractor",6,1,Bioware,Basic,"Rating x 0.2",-,"Rating x 3","Rating x 4,800¥","A specially cultivated cluster of cells in your liver improves its filtering capabilities. The toxin extractor adds its Rating as a dice pool modifier to all your Toxin Resistance Tests (Toxins, Drugs, and BTLs, p. 408).",NULL,Core,1,0,0,,
16,"Tracheal Filter",6,1,Bioware,Basic,"Rating x 0.1",-,"Rating x 3","Rating x 4,500¥","Implanted at the top of your trachea, this organ can absorb airborne impurities and keep them from reaching your lungs. The filter adds its Rating as a dice pool modifier to Toxin Resistance Tests versus inhalation vector toxins (Toxins, Drugs, and BTLs, p. 408).",NULL,Core,1,0,0,,
17,"Amplified Immune System",4,1,Bioware,Basic,"Rating x 0.1",-,"Rating x 7","Rating x 4,000¥","A series of treatments designed to enhance the body’s resistance to a wide array of pathogens, the amplified immune system is at once both simple in what it does (battle disease) and frighteningly complex (the tools it uses in this battle). The system includes a period of inoculation against several common diseases, to ensure that the system is adapted to them, as well as a strengthening of the lymph nodes, spleen, and tonsils to produce higher-than-normal levels of T-cells and antibodies, as well as other, more esoteric, combative methods. The end result is a body vastly more resistant to modern diseases. An amplified immune system adds its rating to a user’s Body while making a Disease Resistance Test. It is not compatible with augmentations or drugs that suppress the immune system.",NULL,SR5:CF,1,0,0,,
18,"Chemical Gland",1,1,Bioware,Basic,0.1,-,"12R (or chemical)","20,000¥","While chemical glands were originally intended to produce insulin for diabetics, megacorporations soon learned that there was a market for any number of unusual natural pharmaceuticals and organs that could produce them, and the streets quickly followed suit. The chemical gland is a small organic sac that produces a single substance. Often implanted in place of the appendix, the chemical gland can also be located in many other spots inside the body, such as the roof of the mouth so it can be used with fangs, or perhaps near an internal weapon system to provide a coating of venom. Even more unusual placements have been dreamed up. Each gland can only produce a single compound, chosen when purchased, and the selection cannot be changed. These compounds must be naturally occurring and not synthetic. The gland produces a single dose every twenty-four hours and can hold as many as four doses at once. An expanded reservoir is, of course, available. Note that the implantation of a chemical gland in no way provides immunity, or even improved resistance, from the substance for the user. The gland’s protective sac keeps the compound from leaking into the body naturally, but if introduced in another way (such as biting one’s self with fangs), the user can be exposed to it. In addition to the base price, the chemical gland’s cost is further increased by an amount equal to the cost of one hundred doses of the chemical compound it produces. The Availability of the chemical gland is 12, or equal to the compound created, whichever is higher, and is Restricted or Forbidden if the chemical carries such a flag. A user may have several chemical glands. The chemical gland may be connected to a cybernetic reservoir, or have a release methodology chosen from below.",NULL,SR5:CF,1,0,0,,
19,"Exhalation Spray",1,1,Bioware,Basic,0.1,-,12R,"6,000¥","Implanted in the neck and sealed off via a sphincter, the exhalation spray is triggered by an active learned reflex, where the user first takes a deep breath, then hand pressure against the throat opens the inner sphincter, which disperses into a strong exhalation, expelling the chemical in an aerosol spray. Only contactor inhalation-vectored chemicals are of much use in this method, and the user must be careful not to inhale until the dose is fully discharged. Alternately, the user can manually activate the sphincter and inhale a dose themselves, a popular approach for many asthmatics. When exhaled, the dose expands in a cone two meters long and two meters wide at its widest point, which may catch multiple targets if they’re placed closely enough. The Exotic Ranged Weapon (Sprayer) skill is used for any attacks with this augmentation. A user may only have one exhalation sprayer.",NULL,SR5:CF,1,0,0,,
20,Spit,1,1,Bioware,Basic,0.1,-,12R,"6,000¥","An unusual choice as it always exposes the user to the chemical, spitting involves a sphincter added to the mouth that can be opened by contraction of facial muscles or continuous tongue placement, unlocking a single dose of the substance for use. Metahuman spit with a concentrated chemical core can be launched up to 5 meters. A user may only have one implant, and they use the Exotic Ranged Weapon (Spitter) skill to employ it.",NULL,SR5:CF,1,0,0,,
21,"Weapon Reservoir",1,1,Bioware,Basic,0.1,-,12F,"4,000¥","By connecting the chemical gland directly to the root system of a weapon augmentation, the weapon can be coated with a single dose each time it’s extended. Alternately, it can be connected to fangs or a stinger, allowing for injection only upon penetration. If used as an injector, a natural weapon attack must score two additional hits, which must be used for an injection rather than used to increase damage.",NULL,SR5:CF,1,0,0,,
22,"Expanded Reservoir",1,1,Bioware,Basic,0.1,-,12,"2,000¥","A chemical gland may have up to four additional reservoirs attached to it, each holding up to four more doses of the chemical in question. While a character may have multiple chemical glands, they may not share reservoirs.",NULL,SR5:CF,1,0,0,,
23,"Elastic Joints",1,1,Bioware,Basic,0.2,-,8,"8,000¥","This simple replacement of the more fragile natural material of the metahuman joint with synthetic materials that have a higher level of damage resistance and lower levels of neuro-connection allows joints to be deformed without pain and easily restored to their usual location afterward. The overall effect is to increase the body’s flexibility, allowing for excessive contortions. This modification is incompatible with other joint augmentations. The user’s Physical limit for the Escape Artist skill is increased by 1. In addition, the user can fit through openings no smaller than their head and can remain in cramped conditions longer without significant effect.",NULL,SR5:CF,1,0,0,,
24,"Expanded Volume",4,1,Bioware,Basic,"Rating x 0.1",-,"Rating x 4","Rating x 2,000¥","The amount of air exchanged in each breath a metahuman takes is about half a liter; this is known as the tidal volume. By expanding the tidal volume of each breath, the lungs, which hold five times that much air, become more efficient in oxygen/carbon dioxide exchange and improve the user’s overall endurance. The user may add this item’s Rating to dice pools for all Fatigue tests.",NULL,SR5:CF,1,0,0,,
25,Gills,1,1,Bioware,Basic,0.2,-,8,"8,000¥","Set into the sides of the user’s neck, gills are the bioware version of cybergills, operating in a similar way but lacking the ability to switch modes. The user no longer has to worry about drowning, but they also do not draw air quite as efficiently due to the gill openings along the windpipe. Those users who wish to enjoy a fully amphibious life usually invest in expanded volume (above). A user with gills can breathe water (either fresh or salt, chosen when first installed) but suffers a –2 dice pool penalty to any Fatigue test made when breathing air.",NULL,SR5:CF,1,0,0,,
26,"Hand And Foot Webbing",1,1,Bioware,Basic,0.05,-,8,"1,000¥","A simple implantation, usually added in pairs, adding webbing between the user’s toes or fingers, which are expanded by simple muscle contraction and withdrawn the same way (each is a Free Action), allowing the user improved speed while swimming. For each hand or foot that has webbing engaged, the user gains +1 to their Physical limit for Swimming tests, while each matched pair adds +1 to the swimmer’s speed multiplier. When webbing is engaged on a user’s hands, they suffer a –1 penalty to their Physical limit for any actions that include fine manipulation.",NULL,SR5:CF,1,0,0,,
27,"Hearing Enhancement",1,1,Bioware,Basic,0.1,-,4,"4,000¥","This is a basic enhancement of the metahuman ear’s accuracy, sharpening hearing that’s lost some fidelity due to damage and/or restoring it to better than it was before. The user gains +1 die to their Perception + Intuition tests for hearing only.",NULL,SR5:CF,1,0,0,,
28,"Hearing Expansion",1,1,Bioware,Basic,0.1,-,8,"4,000¥","A more unusual advancement that expands the hearing band that normal humans can detect, allowing them to detect both infrasonic sound and ultrasonic within a band ranging from 5 Hz to 50 kHz. The primary advantage of this is hearing ultrasonic devices, but the user can sometimes be distracted, or even deafened, by sounds undetectable to others.",NULL,SR5:CF,1,0,0,,
29,"Joint Replacement",1,1,Bioware,Basic,0.05,-,2,"1,000¥","A simple surgery where connective tissues are regrown and strengthened. Each replacement focuses on a single joint structure, such as a knee, a shoulder, or a wrist, and includes minor work with bone and ligament strengthening at the junctures. The finished joint is returned to prime strength and is expected to last ten years at peak performance.",NULL,SR5:CF,1,0,0,,
30,"Nephritic Screen",6,1,Bioware,Basic,"Rating x 0.05",-,"Rating x 2","Rating x 4,000¥","Essentially an up-gunned kidney, the nephritic screen improves both blood filtration, removing harmful toxins from the bloodstream, and blood screening, keeping more useful materials in while removing the less-useful. The overall effect is a general increase in the user’s health and wellbeing, while also making the user far less likely to become drunk or enjoy recreational pharmacology. Depending on one’s point of view, that can be a drawback or an additional bonus. Add the nephritic screen’s Rating to the user’s Willpower for all drug addiction tests (p. 414, SR5), and also add its Rating as a dice pool bonus to Toxin Resistance or Disease Resistance tests. In addition, reduce the duration of any drug by the nephritic screen’s Rating, using whatever time increments the duration is measured in (that is, if duration is measured in hours, the nephritic screen reduces the duration by [Rating] hours).",NULL,SR5:CF,1,0,0,,
31,"Nictitating Membrane",1,1,Bioware,Basic,0.05,-,6,"1,000¥","A simple transparent “third eyelid” that keeps the eye moist and protects it from damage by assorted irritants, the nictitating membrane is similar to that possessed by several animals, most notably reptiles and sharks. Unlike normal eyelids, the nictitating membrane slides horizontally and is somewhat unsettling to see as most mammals, including metahumans, don’t possess such a feature. It’s useful in diving, to keep floating detritus from damaging the eye itself, but also on land for brushing away smoke or grit. A tinted version is available to act as a defense against bright light, but this version cannot be seen through clearly, resulting in an either-or proposition that few use. Note that nictitating membranes are fully compatible with cybereyes of Standard grade or better. Standard nictitating membranes add +2 to the user’s pool to resist eye irritants, such as CS gas or pepper spray, as well as ordinary smoke, plus allow the user to keep their eyes open underwater without discomfort. Tinted versions give similar benefits and further act as flare compensation when engaged but provide a –1 dice pool penalty to Perception tests using vision.",NULL,SR5:CF,1,0,0,,
32,"Replacement Finger/Toe",1,1,Bioware,Basic,-,-,2,"1,000¥","For those who lose a finger, a foot, or an arm, modern bio-technology can allow for the growth and natural replacement of the limb without the deep dehumanizing cost that comes from a cybernetic arm. Type-O replacement is the norm, but a more expensive and less disruptive cultured version is available for those willing and able to pay the price. Replacement limbs have the average stats of a metahuman of that type, which then adjust over the next month to match the user’s own due to physical therapy/exercise or general inactivity as is appropriate. Cultured replacements have identical stats to their user when attached.",NULL,SR5:CF,1,0,0,,
33,"Replacement Hand/Foot",1,1,Bioware,Basic,0.1,-,4,"10,000¥","For those who lose a finger, a foot, or an arm, modern bio-technology can allow for the growth and natural replacement of the limb without the deep dehumanizing cost that comes from a cybernetic arm. Type-O replacement is the norm, but a more expensive and less disruptive cultured version is available for those willing and able to pay the price. Replacement limbs have the average stats of a metahuman of that type, which then adjust over the next month to match the user’s own due to physical therapy/exercise or general inactivity as is appropriate. Cultured replacements have identical stats to their user when attached.",NULL,SR5:CF,1,0,0,,
34,"Replacement Partial Arm/Leg",1,1,Bioware,Basic,0.2,-,6,"20,000¥","For those who lose a finger, a foot, or an arm, modern bio-technology can allow for the growth and natural replacement of the limb without the deep dehumanizing cost that comes from a cybernetic arm. Type-O replacement is the norm, but a more expensive and less disruptive cultured version is available for those willing and able to pay the price. Replacement limbs have the average stats of a metahuman of that type, which then adjust over the next month to match the user’s own due to physical therapy/exercise or general inactivity as is appropriate. Cultured replacements have identical stats to their user when attached.",NULL,SR5:CF,1,0,0,,
35,"Replacement Full Arm/Leg",1,1,Bioware,Basic,0.4,-,8,"40,000¥","For those who lose a finger, a foot, or an arm, modern bio-technology can allow for the growth and natural replacement of the limb without the deep dehumanizing cost that comes from a cybernetic arm. Type-O replacement is the norm, but a more expensive and less disruptive cultured version is available for those willing and able to pay the price. Replacement limbs have the average stats of a metahuman of that type, which then adjust over the next month to match the user’s own due to physical therapy/exercise or general inactivity as is appropriate. Cultured replacements have identical stats to their user when attached.",NULL,SR5:CF,1,0,0,,
36,"Spidersilk Gland",1,1,Bioware,Basic,0.3,-,10,"35,000¥","Spidersilk is renowned for its strength in relation to its weight, so engineers have long looked for ways to harness its abilities. By implanting glands that shoot a reasonable facsimile of spidersilk from the human body, people get the opportunity to trip up opponents, or even rappel down a building. Don’t try swinging from it, though—this is not a comic book. Glands are often implanted in people’s wrists; those ones hold two doses, with each dose being about twenty meters long. Glands implanted in the abdomen or lower back can hold five doses. When the silk shoots out, the user can choose to keep it stuck to the gland, or they can snip it off. Aiming spidersilk at a target requires an Exotic Ranged Weapon (Spidersilk) attack. A successful hit does no damage, but gives the target –2 on their Physical limit. Called shots incur the normal –4 penalty, but if successful they can hit the feet, tripping the target as long as the attack generated any net hits, or temporarily disabling their hands if that’s what was hit. The target will need 5 Combat Turns to disentangle themselves, unless they have a special enzyme, available for 25 nuyen a dose, that can dissolve it in 2 Combat Turns. When used in rappelling situations, add +3 dice to the required Free-fall + Body test.",NULL,SR5:CF,1,0,0,,
37,"Spinal Re-alignment",1,1,Bioware,Basic,0.1,-,8,"4,000¥","Used to combat chronic bad backs, spinal injuries, slipped discs, and so forth, there are several approaches to spinal re-alignment that all result in the same general result: an eradication of the painful condition and a strengthening of the bones that compose the spine itself, preventing further natural wear and tear for a decade.",NULL,SR5:CF,1,0,0,,
38,"Tactile Sensitivity",1,1,Bioware,Basic,0.1,-,12,"8,000¥","Rather than the hedonistic increase in volume that cosmetic modification brings, tactile sensitivity instead focuses on detail, allowing a slower, more detailed “reading” of tactile information. Fully four times as many nerve endings are present, with the gain somewhat turned down to prevent overwhelming sensation, allowing for more precise location of stimulation, making it simple to detect otherwise undetectable markings on virtually any surface. With practice, a user can read the keys on a keyboard or numberpad in absolute darkness, due to the indentions on each key, or feel when tumblers fall into place in a combination lock. These ancient technologies are rarely needed in today’s world, but it’s nice to know that the option’s there if you need it. Tactile Sensitivity adds +2 dice to all touch-based Perception tests.",NULL,SR5:CF,1,0,0,,
39,Tail,1,1,Bioware,Basic,0.25,-,4,"2,000¥","The standard bioware tail is grafted directly to the user’s spinal column, allowing for natural-feeling use. Natural tails tend to react to subconscious thoughts, giving away the user’s emotional state, otherwise idly swaying a bit when the individual is not paying attention. Ordinary tails are available in lengths up to one meter, with textured fur or scales being a common modification, and quietly serve as extra balance. More rarely, a tail may have rudimentary prehensile capability, an expensive but useful thing to have, or include a weapon at the tip. The vast majority are simply fashion accessories.",NULL,SR5:CF,1,0,0,,
40,"Tail (prehensile)",1,1,Bioware,Basic,0.5,-,8,"8,000¥","The standard bioware tail is grafted directly to the user’s spinal column, allowing for natural-feeling use. Natural tails tend to react to subconscious thoughts, giving away the user’s emotional state, otherwise idly swaying a bit when the individual is not paying attention. Ordinary tails are available in lengths up to one meter, with textured fur or scales being a common modification, and quietly serve as extra balance. More rarely, a tail may have rudimentary prehensile capability, an expensive but useful thing to have, or include a weapon at the tip. The vast majority are simply fashion accessories.",NULL,SR5:CF,1,0,0,,
41,"Tailored Critter Pheromones",3,1,Bioware,Basic,"Rating x 0.1",-,"Rating x 4","Rating x 2,000¥","While many think that critter pheromones are based on the outlawed metahuman pheromone bioware, the reverse is actually true. Critter pheromones were introduced first, but some enterprising street scum jiggered around with the process until finding the right blend of scents to influence metahumanity. Animals, which have far stronger scent-based communication than metahumans, are vastly more vulnerable to pheromone influence. When this ’ware is installed, the user must select what species the pheromones are meant to interact with, and it will continue to create pheromones for that species from that point on. (Changing the targeted species is a simple enough procedure that costs half as much as the full installation, replacing the first species with the new one.) It should be noted that critter pheromones have a limited effect on related species (for instance, dog pheromones have some influence on other canines), but these results can be negative. For example, a user who produces cat pheromones may find themselves angrily approached by dogs. Note that only one pheromone producer can be active in an individual at any time. Tailored critter pheromones add twice their Rating to the user’s Animal Handling pool, or their Rating to closely related species. At the gamemaster’s discretion, they may also inflict a negative modifier to the user’s Animal Handling pool if an antagonistic or predatorprey relationship exists between the user’s critter pheromones and a critter they are attempting to control.",NULL,SR5:CF,1,0,0,,
42,"Troll Eyes",1,1,Bioware,Basic,0.2,-,8,"10,000¥","Rumors continue to suggest that actual trolls are the source of this upgrade, and that urban legend simply won’t die no matter how often it is debunked. In reality, the metahuman eye is entirely reconstructed for this process, changing the visible spectrum that it operates on and allowing for a true thermal vision far more natural than what can be accomplished with technological aids. No other eye modification is compatible with troll eyes, due to the massive work that goes into the process. The user gains thermographic vision.",NULL,SR5:CF,1,0,0,,
43,"Vocal Range Enhancer",1,1,Bioware,Basic,0.1,-,8,"10,000¥","The debate continues to rage across the music world about vocal range enhancement. Some insist that natural voices sound better and that those who are truly gifted should be celebrated. Others insist that there’s no discernible difference in expanded ranges and natural voices, unlike the distorted sound of cybernetic vocal enhancement, and that snobbery is the only reason for pushback. Several stars have denied using this upgrade, only to be scandalized when the truth is uncovered. Indeed, one star, Adrianna Vente, who had a staggering natural range, was driven into ruin based on fabricated proof backing the accusation that her voice had been modified. In addition to the core enhancement, a second, more expansive version exists. While the base enhancement gives the user access to a full eight octaves for singing, the vocal range expander pushes the boundaries even further, allowing the user’s voice to reach into the infrasonic and ultrasonic, ranging from 20 Hz to 200 kHz, producing sounds beyond the standard metahuman hearing range. Combined with a similar hearing enhancement, users can speak with one another at a frequency others can’t hear, an obvious advantage. If the user is a skilled mimic, they can further replicate a wider array of sounds than an ordinary metahuman is capable of. The vocal range enhancer raises the user’s Social limit by 1 for any test where they speak, or by 2 for any Perform (Singing) test. The vocal range extender does the same, but it also allows for attempts to fool voice recognition systems or to imitate animal or artificial noises. Use an Opposed Impersonation + Charisma Test against the biometric system’s Rating for the former, or against an NPC’s Perception + Intuition for the latter.",NULL,SR5:CF,1,0,0,,
44,"Vocal Range Expander",1,1,Bioware,Basic,0.2,-,12R,"30,000¥",NULL,NULL,SR5:CF,1,0,0,,
45,"Chemical Repulsion",1,1,Bioware,Basic,0.25,-,12R,"20,000¥","By sealing the skin tightly, the user trades natural cooling via sweating for a sealed system, allowing them to resist chemical attacks more easily, including complete immunity to DMSO. Not recommended for athletes or others who regularly indulge in endurance- based activities, as the lack of a cooling system other than panting is quite dangerous for metahumans! Drink fluid often. In addition to immunity to any DMSO-carried substance, the user gains +2 Body to resist any contactvector toxin. The user also suffers a penalty of –2 Body for any Fatigue test and suffers an increase in severity by one step from any hot environment. (p. 172, SR5); for example, a Moderate situation for others is Harsh for the user.",NULL,SR5:CF,1,0,0,,
46,"Dragon Hide",1,1,Bioware,Basic,0.1,-,4,"2,000¥","While many expect this mod to involve scales, that would be a simple cosmetic modification unconnected to the actual upgrade. Dragon Hide weaves flame-retardant materials into the orthoskin, which distributes thermal impact, prevents blistering, and reduces overall burning as energy dissipates across the larger surface. The user gains +2 Body for resisting Fire damage, but also has a –2 penalty on Perception Tests involving heat detection.",NULL,SR5:CF,1,0,0,,
47,Electroshock,1,1,Bioware,Basic,0.25,-,8,"8,000¥","Use of conductive materials allows the user to channel any internal electrical weapon throughout their entire body—quite a surprise for someone who thought they were safe while grappling a target! Note that electrical weaponry is sold separately. The user gains +4 Body to resist their own electrical discharge, due to passing the shock outwards, but suffers a –2 Body penalty to resist other electrical attacks as their skin transmits the shock into their organs more efficiently. This augmentation is not compatible with the insulation augmentation.",NULL,SR5:CF,1,0,0,,
48,Insulation,1,1,Bioware,Basic,0.1,-,8,"8,000¥","Use of non-conductive materials leaves the user more resistant against electrical discharges, keeping the vulnerable organs inside safer than before. The user gains +2 Body for resisting electrical damage. This is not compatible with electroshock.",NULL,SR5:CF,1,0,0,,
49,"Penguin Blubber",1,1,Bioware,Basic,0.1,-,4,"2,000¥","Thicker than normal orthoskin, penguin blubber produces a protective oil that prevents skin from drying and cracking in sub-freezing temperatures while protecting internal organs against the cold. It also gives the user a somewhat tubby look. Users with penguin blubber can happily frolic barefoot on snow or take a dip in freezing water, enjoying temperatures as low as –10 degrees Celsius without long-term effect. Adding insulating material over this can result in a toasty-warm explorer in even the harshest Antarctic temperatures. The user gains +2 Body for resisting cold damage and can quintuple the time exposed to harsh cold environs for purposes of Fatigue damage.",NULL,SR5:CF,1,0,0,,
50,Sealskin,1,1,Bioware,Basic,0.1,-,4,"2,000¥","This simple skin is coated with naturally refreshing water- repelling oils that allow the user to cut through the waves with ease. The user’s skin retains a somewhat moist appearance at all times. Sealskin removes all penalties associated with moving through water, allowing the user to operate underwater as easily as in air. Note that this does not include either water breathing functionality or swimming ability (those are sold separately).",NULL,SR5:CF,1,0,0,,
51,Sharkskin,1,1,Bioware,Basic,0.25,-,8,"8,000¥","The user’s skin is coated with denticles, small abrasive lumps comparable to sandpaper. While quite difficult to cause true damage to a target with rubbing, the slow abrasion can lead to skin loss and bleeding, if not mortal wounds. This makes it quite difficult to strike or grapple the user in unarmed combat situations. The user can also scuff objects or pop balloons by simply brushing up against them.",NULL,SR5:CF,1,0,0,,
52,"Cerebral Booster",3,1,Bioware,Cultured,"Rating x 0.2",-,"Rating x 6","Rating x 31,500¥","The convolutions and gyri of your cerebrum are augmented and amplified with additional nervous tissue, improving overall brain function. Your cerebral booster increases your Logic attribute by its Rating.",NULL,Core,1,0,0,Logic:[Rating],
53,"Damage Compensators",12,1,Bioware,Cultured,"Rating x 0.1",-,"(Rating x 3)F","Rating x 2,000¥","Damage compensators are essentially cut-offs stored in the nervous pathways that report pain from the body back to your brain. You ignore a number of damage boxes (your choice of Physical, Stun, or a combination of the two) equal to the compensatorâ€™s Rating before determining your injury modifiers.",NULL,Core,1,0,0,,
54,"Mnemonic Enhancer",3,1,Bioware,Cultured,"Rating x 0.1",-,"Rating x 5","Rating x 9,000¥","This highly concentrated growth of grey matter gets attached to the brainâ€™s memory centers, improving both short-term and long-term memory. Add the enhancerâ€™s Rating as a dice pool bonus to your Knowledge, Language, and memory-related tests as well as to your Mental limit.",NULL,Core,1,0,0,"MentalLimit:[Rating],Memory:[Rating]",
55,"Pain Editor",1,1,Bioware,Cultured,0.3,-,18F,"48,000¥","This cluster of specialized nervous tissue is designed to filter sensory stimuli. If the pain editor is active, this allows you to ignore all injury modifiers, and you even stay conscious when your Stun Condition Monitor is completely full. You feel no painâ€”youâ€™re blissfully, dangerously, recklessly unaware of the extent of damage youâ€™ve taken without either performing a self-examination (Observe In Detail action) or being informed by a biomonitor (p. 450). While active, the pain editor increases your Willpower by 1 and decreases your Intuition by 1. Additionally, all tactile Perception Tests you make receive a dice pool modifier of â€“4.",NULL,Core,1,0,0,,
