Row,Name,Type,SubType,MinRating,MaxRating,Capacity,Availability,Cost,Description,Source,Accuracy,DamageValue,DamageMod,Blast,ArmorPenetration,DataProcessing,Firewall,Vector,Speed,Penetration,Power,Effects,Max,Wireless
14,"PI-Tac Level I",Electronic,"Commlink Mod",4,4,,12R,"115,000¥","The basic, civilian Level PI-Tac is popular with the extreme-sport set including combat re-enactors or amateur urban/combat brawl leagues and even big/game hunters. While the Level I comes with only the basic functions, it provides users with a +1 to all Perception Tests, including audio and visual.",SR5:R&G,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
15,"PI-Tac Level II",Electronic,"Commlink Mod",5,5,,18R,"325,000¥","The Level II is intended for use by security, law enforcement, and/or standard military forces. Unit cost makes use of the Level II for routine security and law enforcement impractical. Thus the Level IIs are usually assigned only to special tactical response units. In addition to the functions of Level I, the Level II includes:
Host unit enhancement. One half the device rating can be used to enhance either the firewall or processing ratings of the host device.
Trauma module. Worn on the chest under any armor, this flat plastic plate can be loaded with one dose any drug of the users’ choice and programed to automatically deliver the drug under user-set conditions.
Enhanced situational awareness. Provides a +2 to all Perception Tests, including audio and visual, along with a +1 bonus to all Sneaking tests.
Enhanced Team Leader Coordination. This allows a designated team leader to coordinate combat maneuvers as a simple rather than complex action and to transfer five initiative points to one select team member on the network.
Combat Mode. + 1 to one of the following combat skills of the player’s choice: Close Combat, Automatics, Longarms, Pistols, Unarmed Combat. Player can switch to a different skill during combat as a simple action.",SR5:R&G,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
16,"PI-Tac Level III",Electronic,"Commlink Mod",6,6,,18F,"855,000¥","Designed for use by the most elite military and corporate units, the unauthorized use of the Level III unit or unlicensed possession of such a unit is considered a felony by the Corporate Court and most national governments. In addition to all the features of Level I and Level II, Level III provides:
Upgraded host unit enhancement. The full device rating can be used to enhance both the firewall and processing power of the host device.
Enhanced Team Leader Coordination (upgraded). This allows a designated team leader to coordinate combat maneuvers as a Simple rather than Complex Action and to transfer ten points from their initiative score to one team member on the network or five points to two team members.
Enhanced situational awareness. Provides a +3 to all Perception Tests, including audio and visual and +2 to Sneaking and Tracking Tests.
Combat Mode. + 2 to one of the following combat skills of the player’s choice: Close Combat, Automatics, Longarms, Pistols, Unarmed Combat. Player can switch to a different skill during combat as a simple action.
Remote and limited access to vehicles and drones linked into the network. This allows the team leader, or any other designated team member (consider them to have three marks on any vehicle while subscribed to the network) can remotely access and have limited control over a vehicle or drone by accessing their dogbrains. As long as the units are operational, simple commands such as “go to this location” or “attack this target” can be issued in the event a rigger is rendered unconscious or dead.",SR5:R&G,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
17,"Attack Dongle",Electronic,"Commlink Dongle",1,6,,"(Rating x 2)R","Rating x 6,000¥",,SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
23,"Cable Tap",Electronic,"Commlink Dongle",0,0,,8R,500¥,,SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
24,"Stealth Dongle",Electronic,"Commlink Dongle",1,6,,"(Rating x 2)R","Rating X 6000¥",,SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
30,"Stun Dongle",Electronic,"Commlink Dongle",0,0,,6R,600¥,,SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
31,Receiver,Electronic,"Commlink Dongle",0,0,,3,400¥,,SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
32,"Standard Tags",Electronic,"RFID Tags",1,1,,,1¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
33,Datachip,Electronic,"RFID Tags",1,1,,,5¥,"For occasions when you want to transfer data by physical means—like bringing the project specs on the competition’s new cyberdeck to Mr. Johnson in person at the meet—a datachip can hold enormous quantitites of data in a small finger-sized chip, accessible by any electronic device. Datachips have no wireless capability, so you need to plug them into a universal data connector (found on any device) if you want to read or write to them.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
34,"Security Tags",Electronic,"RFID Tags",3,3,,3,5¥,"Security-conscious megacorps often implant these security tags in their sararimen and valued citizens, either to monitor employee workplace productivity, grant and deny clearance and security access, or track employees in the case of abduction or extraction (or escape). These same tags are used on incarcerated and paroled criminals, and parents and schools also use them to track students. Security tags cannot be erased with a tag eraser due to EMP hardening. If a tag is implanted under the skin, an Extended Medicine + Logic [Mental] (10, 1 minute) Test is needed to remove it.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
35,"Sensor Tags",Electronic,"RFID Tags",2,2,,5,40¥,"A sensor RFID tag can be equipped with a single sensor (sold separately) of up to Rating 2 (Sensors, p. 445). It then records everything it can, to a maximum of 24 hours of time, at which point you can program it to either shut off or overwrite data older than 24 hours. Sensor tags are often used for diagnostic purposes in various devices, including cyberware. Wireless: You can monitor the data in real time, if you’re the tag’s owner. The tag still records the last 24 hours for you.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
36,"Stealth Tags",Electronic,"RFID Tags",3,3,,7R,10¥,"A stealth tag always runs silent (p. 235) and has a Sleaze rating equal to its Device Rating. It’s disguised to not look like RFID tags, which gives it an additional –2 Concealability modifier. Stealth tags are often used as a backup for security tags by megacorps that are security conscious (and sneaky). They can be implanted the same way security tags can.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
37,"AR Gloves",Electronic,Accessory,3,3,,,150¥,"Available in numerous styles, AR gloves  allow you to manually interact with the Matrix in Augmented  Reality mode, letting you “touch” and “hold”  virtual AROs and receiving tactile force-feedback. AR  Gloves can provide the exact weight, temperature, and  hardness of touched or held objects, and more at the  gamemaster’s discretion.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
38,"Biometric reader",Electronic,Accessory,3,3,,4,200¥,"Sometimes someone online likes to know it’s really you. This handheld device can be used for fingerprints, retina scans, voice patterns, tongue prints—pretty much anything but a DNA scan. You can use it to lock your electronics so only you (or one of your body parts) can unlock it.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
39,"Electronic paper",Electronic,Accessory,1,1,,,5¥,"This electronic sheet is anywhere from post-it note to poster sized, and it can be folded or rolled up. It digitally displays images, text, data, or video and can act as a touchscreen. Electronic paper is wireless and can be written on or erased wirelessly. Sometimes hacker gangs cover the surfaces of buildings in electronic paper so they are constantly changing and overwritten with graffiti that can be seen even by people with their AR image-links turned off.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
40,Printer,Electronic,Accessory,3,3,,,25¥,"In case you need something in hardcopy (perhaps if Mr. Johnson hired you through a time portal), this full-color printer comes attached to a paper supply.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
41,"Satellite link",Electronic,Accessory,4,4,,6,500¥,"This allows the user to uplink to communication satellites in low-Earth orbit, connecting to the Matrix from places where no local wireless networks exist (which is rare but unfortunately extant). This link limits Noise due to distance to –5. Includes a portable satellite dish.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
42,Simrig,Electronic,Accessory,3,3,,12,"1,000¥","This simsense recorder can record experience data (sensory and emotive) from you or whoever is wearing it. Simrig rigs are used to make most of the simsense chips sold on the market. You’ll need to have a working sim module (with the DNI interface) to make a recording.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
43,"Subvocal mic",Electronic,Accessory,3,3,,4,50¥,"The next best thing to telepathy is the ability to stage-whisper at any range. Attached with adhesive to your throat, this hard-to-spot microphone lets you communicate via subvocalized speech. A –4 dice pool modifier is applied to Perception Tests to overhear you when you’re subvocalizing.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
44,"Trid projector",Electronic,Accessory,3,3,,,200¥,"This device projects a trideo hologram into a five-meter cube right next to or above the device. The hologram can be quite realistic, but unless you’re really artistic about it, it’s pretty obvious that it’s just trid.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
45,Trodes,Electronic,Accessory,3,3,,,70¥,"Available as a headband, net, or full-on cap, this electrode-and-ultrasound net gives you a direct neural interface. Useful if you’re too squeamish to get a hole drilled in your head for a datajack. Adding this to headgear takes two slots of Capacity.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
46,Hardening,Electronic,"Cyberdeck Modules",0,0,,3R,"1,500¥","The hardening module acts as a shield between your deck and incoming damage. It has a Matrix Condition Monitor with five boxes, and it takes damage before your deck does. These boxes cannot be repaired.",SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
47,"Induction Receiver",Electronic,"Cyberdeck Modules",0,0,,10R,"1,200¥","When you have this module installed, your deck can tap into data cables and hardlines on contact. By placing your cyberdeck directly onto the cable, it becomes directly connected to the devices on either side of the cable.",SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
48,"Multidimensional Coprocessor",Electronic,"Cyberdeck Modules",0,0,,7R,"1,400¥","This tongue-twister of a module speeds up Matrix signals and commands, granting the deck’s operator an additional +1D6 to Matrix Initiative (remember that you can never roll more than 5D6 worth of initiative dice).",SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
49,"Overwatch Mask",Electronic,"Cyberdeck Modules",0,0,,9F,"4,200¥","This handy module confuses GOD’s watchful eye by pretending it’s part of the Matrix enforcement system. The Matrix doesn’t converge on a deck with this mod until its Overwatch Score reaches 4 more than normal (making it 44 in normal conditions).",SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
50,"Program Carrier",Electronic,"Cyberdeck Modules",0,0,,2,900¥,"This module holds a program that your deck can run permanently. You pick the program and we lock it in at manufacture, which means you can’t change it, but hey, it’s an extra program. Price includes the program cost.",SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
51,Self-Destruct,Electronic,"Cyberdeck Modules",0,0,,12F,200¥,"This module is 98 percent explosive material by weight. When your deck detects a specific pre-determined condition (chosen by you), the module explodes, turning your cyberdeck into a fragmentation grenade—see p. 435, SR5 for all the mayhem that causes. The deck, of course, is completely unrecoverable, meaning maybe don’t put one of these into a Fairlight Paladin.",SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
52,"Vectored Signal Filter",Electronic,"Cyberdeck Modules",0,0,,3,800¥,"By adding a dedicated signal filter to your deck, this module gives you Noise Reduction 2.",SR5:DT,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
53,"Agent (R1 - R3)",Electronic,Software,1,3,,"Rating x 3","Rating x 1000¥","Agents are autonomous programs that are rated from 1 to 6. Each agent occupies one program slot on your deck. Agents use the Matrix attributes of the device they run on, and their rating (up to 6) for attributes. Agents also have the Computer, Hacking, and Cybercombat skills at a rating equal to their own. An agent runs as a program and can use programs running on the same device as them. You can have your agent perform Matrix actions for you. When an agent is running, it has its own persona (and icon). An agent is about as smart as a pilot program of the same rating (Pilot Programs, p. 269). Any attack on an agent damages the device on which it is running, rather than the agent itself (which is, after all, merely a program). This means that if you’re running an agent on your deck, you and it share the same Matrix Condition Monitor.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
56,"Agent (R4 - R6)",Electronic,Software,4,6,,"Rating x 3","Rating x 1000¥","Agents are autonomous programs that are rated from 1 to 6. Each agent occupies one program slot on your deck. Agents use the Matrix attributes of the device they run on, and their rating (up to 6) for attributes. Agents also have the Computer, Hacking, and Cybercombat skills at a rating equal to their own. An agent runs as a program and can use programs running on the same device as them. You can have your agent perform Matrix actions for you. When an agent is running, it has its own persona (and icon). An agent is about as smart as a pilot program of the same rating (Pilot Programs, p. 269). Any attack on an agent damages the device on which it is running, rather than the agent itself (which is, after all, merely a program). This means that if you’re running an agent on your deck, you and it share the same Matrix Condition Monitor.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
59,Autosoft,Electronic,Software,1,6,,"Rating x 2","Rating x 500¥","Autosofts are specialized programs designed to increase the effectiveness of a drone’s performance. In other words, people have skills, drones have autosofts. An autosoft is rated between 1 and 6. A drone has a number of slots to use for autosofts and cyberprograms equal to half its Device Rating, rounded up. Swapping autosofts and programs is a Complex Matrix Action.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
65,"Cyberprogram, common",Electronic,Software,0,0,,0,80¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
66,"Cyberprogram, hacking",Electronic,Software,0,0,,6R,250¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
67,Datasoft,Electronic,Software,0,0,,4,120¥,"Datasofts encompass a wide variety of information files, databases containing information on everything from hydraulic fracturing to 18th century romantic poetry. An appropriate datasoft gives you a +1 bonus to your Mental limit on related Knowledge Skill Tests.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
68,Mapsoft,Electronic,Software,0,0,,4,100¥,"Mapsoft programs feature detailed information about a particular area, from streets to business/ residential listings to topographical, census, GPS and environmental data. An interactive interface allows you to quickly determine the best routes and directions, locate the nearest spot of your choice, or create your own customized maps. If a wireless link is maintained, the map automatically self-updates with the latest data from GridGuide. Of course, this feature also means that the mapsoft can be used to track your location. At the gamemaster’s discretion, mapsofts provide a +1 limit bonus to Navigation Tests made to navigate the area they cover.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
69,Shopsoft,Electronic,Software,0,0,,4,150¥,"Shopping apps like Clothes Horse, Caveat Emptour, and Guns Near Me provide pricing breakdowns and user reviews for comparison shopping purposes, both for standard goods and black market purchases. Shopsofts self-update regularly to stay current. An appropriate shopsoft—one exists for each type of product like electronics, firearms, melee weapons, armor, et cetera—provides a +1 bonus to your Social limit for all Availability and Negotiation tests you make to buy and sell those items.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
70,Tutorsoft,Electronic,Software,1,6,,Rating,"Rating x 400¥","These virtual private tutors aid you in learning a specific skill. The tutorsoft makes Instruction Tests with a dice pool equal to its Rating x 2. Tutorsofts cannot teach skills based on Magic or Resonance.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
76,"Certified Credstick, Silver",Electronic,SkillSoft,1,6,,8,"Rating x 5000¥","Activesofts replace physical active skills, basically every Active skill that isn’t based on Magic or Resonance. A skillwire system (p. 455) is needed to translate the ‘softs into usable muscle memory. There’s a limit to the number of skills you can use at once, based on your skillwire’s rating.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
82,Knowsofts,Electronic,SkillSoft,1,6,,4,"Rating x 2000¥","Knowsofts replicate Knowledge skills, actively overwriting the user’s knowledge with their own data. Knowsofts must be accessed with a skilljack, and the number you can use at once is limited by the skilljack.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
88,Linguasofts,Electronic,SkillSoft,1,6,,2,"Rating x 1000¥","Linguasofts replicate language skills, allowing a user to speak a foreign language by automatically translating signals from the speech cortex, although chipped speech can be awkward and stilted then again, so can anyone speaking a language that’s not their native tongue. Linguasofts must be accessed with a skilljack, which limits how many skillsofts you can use at a time.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
94,"Pilot R1",Electronic,Software,1,1,,2,100¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
95,"Pilot R2",Electronic,Software,2,2,,4,400¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
96,"Pilot R3",Electronic,Software,3,3,,8R,1800¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
97,"Pilot R4",Electronic,Software,4,4,,12R,3200¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
98,"Pilot R5",Electronic,Software,5,5,,16F,10000¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
99,"Pilot R6",Electronic,Software,6,6,,24F,20000¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
100,"Scratch-Built Junk",Electronic,RCC,1,1,,2R,1400¥,,Core,NULL,NULL,NULL,NULL,NULL,3,2,,,0,0,,0,
101,"Radio Shack Remote Controller",Electronic,RCC,2,2,,6R,8000¥,,Core,NULL,NULL,NULL,NULL,NULL,3,3,,,0,0,,0,
102,"Essy Motors DroneMaster",Electronic,RCC,3,3,,6R,16000¥,,Core,NULL,NULL,NULL,NULL,NULL,4,4,,,0,0,,0,
103,"CompuForce TaskMaster",Electronic,RCC,4,4,,8R,3200¥,,Core,NULL,NULL,NULL,NULL,NULL,5,4,,,0,0,,0,
104,"Maersk Spider",Electronic,RCC,4,4,,8R,34000¥,,Core,NULL,NULL,NULL,NULL,NULL,4,5,,,0,0,,0,
105,"Maser Industrial Electronics",Electronic,RCC,5,5,,8R,64000¥,,Core,NULL,NULL,NULL,NULL,NULL,3,4,,,0,0,,0,
106,"Vulcan Liegelord",Electronic,RCC,5,5,,10R,66000¥,,Core,NULL,NULL,NULL,NULL,NULL,5,6,,,0,0,,0,
107,"Proteus Poseidon",Electronic,RCC,5,5,,12R,68000¥,,Core,NULL,NULL,NULL,NULL,NULL,5,6,,,0,0,,0,
108,"Lone Star Remote Commander",Electronic,RCC,6,6,,14R,75000¥,,Core,NULL,NULL,NULL,NULL,NULL,6,5,,,0,0,,0,
109,"MCT Drone Web",Electronic,RCC,6,6,,16R,95000¥,,Core,NULL,NULL,NULL,NULL,NULL,7,6,,,0,0,,0,
110,"Triox UberMensch",Electronic,RCC,6,6,,18R,140000¥,,Core,NULL,NULL,NULL,NULL,NULL,8,7,,,0,0,,0,
111,"Key/Combination lock",Security,Device,1,6,,Rating,"Rating x 10¥","Key locks are the simplest kind, involving the use of tumblers and metal keys or combination code dials to open doors instead of cards or some other device. They are also not in very common use due to reliance on more sophisticated means of security, but some places (like private safes or low-end businesses) may still use them out of nostalgia, because they can’t afford better, or because rarity equates to better security. Defeating a key lock requires a Locksmith + Agility [Physical] (Lock Rating, 1 Combat Turn) Extended Test. Autopickers add their Rating in dice to this test; you may also roll their Rating in place of the Locksmith skill.
Transponder-embedded keys contain a calibrated resistor that completes a circuit in the lock. In order to pick such a lock by hand, an electronics kit is needed to generate the appropriate electrical characteristics. This requires a successful Hardware + Logic [Mental] (Lock Rating, 1 minute) Extended Test at the same time the lock is picked. If the same character is picking the lock and calibrating the electrical feed, apply a –2 dice pool modifier to both tests.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
117,Maglock,Security,Device,1,6,,Rating,"Rating x 100¥","Powered magnetic locks, maglocks, are widespread in 2075 and come in a wide range of sophistication. Maglock “keys” can be physical (keypad, swipe card, proximity card, memory string), biometric (see below), or any combination thereof. Maglocks are often accessible via the local network (wired or wireless) and may be monitored by a security hacker/rigger. Maglock systems often log all usages, keeping track of the time, date, and identity of each user. The first step to bypassing a maglock is to remove the case and access the maglock’s electronic guts. This requires a successful Locksmith + Agility [Physical] (Maglock Rating x 2, 1 Combat Turn) Extended Test. If all else fails, the case can be smashed or shot off; treat the case as if it has a Barrier rating equal to the maglock rating. Overzealous attempts to break the case may harm the electronics inside. Re-assembling the case afterwards requires the same test.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
123,"Keypad or card reader",Security,Device,0,0,,,50¥,"Keypads utilize an access code (often different access codes for different users). Unless the code is known, defeating a keypad requires rewiring the internal electronics. This means cracking open the case (see above) and then rewiring the circuits-another Locksmith + Agility [Physical] (Maglock Rating x 2, 1 Combat Turn) Extended Test. A maglock sequencer may also be used instead; make an Opposed Test between the sequencer and maglock ratings. If the sequencer wins, the maglock opens. (Note that the case must still be opened for a sequencer to be applied.)
Cardreaders verify the authenticity of swipe cards or RFID proximity cards. They can be defeated using the same method as for keypads—by removing the case and tampering with the works. Maglock passkeys may also be used to defeat cardreaders and don’t require breaking the case open. If a valid keycard is acquired, it can be copied with a keycard copier in order to create a forged keycard. Make an Opposed Test between the passkey/forged keycard rating and the maglock rating. If the passkey/forged keycard wins, the maglock opens.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
124,"Anti-tamper circuits",Security,Device,1,1,,Rating,"Rating x 250¥","Some maglock systems come equipped with anti-tamper systems, rated between 1 and 4. In order to bypass the anti-tamper circuits, an additional Locksmith + Agility [Physical] (anti-tamper system rating) Test must be made. If this fails, an alarm is triggered.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
128,"Biometric reader",Security,Device,0,0,,4,200¥,"Print scanners scan fingerprints, palm prints, retinal prints, or even the pattern of blood vessels in the face or palm. One method to defeat a print scanner is to coerce an authorized user to apply their prints. Alternately, a synthetic print glove-like membrane (a “sleeve”) can be manufactured for fingerprints and thumbprints with a cellular glove molder (an authorized print is necessary to copy from). Retinal prints may also be duplicated with the retinal duplication cybereye accessory. If a fake print is used, make an Opposed Test between the duplicate and the maglock rating; if the fake wins, the maglock accepts it.
Voice recognition systems require a vocal response from an approved user’s voice, usually within a certain amount of time. If the response is not given within the time limit, or someone not approved answers, the system sounds an alarm. Characters can only defeat voice recognition systems by “speaking” with the voice of an approved user—by using a recording, some other simulation, or the real voice. Voice modulator cyberware can also be used. An Opposed Test must be made between the voice recognition system and the equipment used to bypass it; whichever generates more hits, wins.
Breath, cellular, and DNA scanners collect a sample of the user’s cells, either off the finger/palm, via hair suction, through exhaled particles, or something similar, and analyze the genetic material. In order to fool such a system, you need a sample of the correct genetic material, preserved in a specially formulated enzyme bath. The enzyme bath can be synthesized in a chemistry shop with a Chemistry + Logic (5, 1 hour) Extended Test.
Facial recognition scanners use imaging lasers, thermographic, and/or ultrasonic waves to map a person’s face. These are one of the least intrusive, but also least accurate, biometric recognition systems. Facial recognition systems are useful not just for letting authorized people in, but also for identifying unwanted people and keeping them out. Prosthetic makeup and biosculpting can be used with varying degrees of effectiveness against facial recognition; make an Opposed Test pitting Disguise + Intuition [Mental] against the Device rating. Apply a +2 dice pool modifier to the character if the system is picking the disguised character out of a crowd.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
129,"Restraint, Metal",Security,Restraints,0,0,,,20¥,"Standard metal restraints come with a mechanical or a wireless-controlled lock. They`re considered a Barrier (Armor 16, Structure 2) when trying to break them.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
130,"Restraint, Plasteel",Security,Restraints,0,0,,6R,50¥,"Modern plasteel restraints are flash-fused and remain inplace until the subject is cut free. For breaking them, they are considered a Barrier (Armor 20, Structure 2)",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
131,"Restraint, Plastic",Security,Restraints,0,0,,,5¥,"Disposable plastic straps (Armor 6, Structure 1) are lightweight and easy to carry in bundles.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
132,"Containment manacles",Security,Restraints,0,0,,6R,250¥,"Containment manacles are metal (Armor 16, Structure 2) and attached to a prisoner’s wrists or ankles to prevent her from moving faster than a shuffle or extending a cyber-implant weapon",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
133,Autopicker,Security,"B&E Gear",1,6,,8R,"Rating x 500¥","This lockpick gun is a quick and effective way of bypassing mechanical locks. The autopicker`s rating is added to your limit when picking a mechanical lock.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"Add the autopicker`s rating as a dice pool modifier to your test when picking a mechanical lock. The autopicker`s rating may be used in place of the Locksmith skill."
139,"Cellular glove molder",Security,"B&E Gear",1,4,,12F,"Rating x 500¥","This device will take a finger or palm print and mold a “sleeve” you can wear to mimic the print to fool some biometric locks (see Maglocks).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
143,Chisel/crowbar,Security,"B&E Gear",0,0,,,20¥,"The chisel (or crowbar if you prefer) doubles your effective Strength when you’re forcing a door or container.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
144,"Keycard copier",Security,"B&E Gear",1,6,,8F,"Rating x 600¥","The keycard copier allows the user to copy a (stolen) keycard in seconds. A new keycard can then be manufactured with a Hardware kit, about ten minutes, and a Hardware + Logic [Mental] (2) Test.
When used, the forged keycard uses its Rating x 2 in an Opposed Test against the Maglock Rating x 2 (see Maglocks). Some security systems may note the unusual usage of duplicate keys, like when “Dr. Scientist” accesses a lab that she just accessed and hasn’t left yet.
",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
150,"Lockpick set",Security,"B&E Gear",0,0,,4R,250¥,"These mechanical burglary devices have undergone only slight improvements in the last several centuries. They are necessary tools for picking locks.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
151,"Maglock passkey",Security,"B&E Gear",1,4,,"(Rating x 3)F","Rating x 2000¥","This maglock “skeleton key” can be inserted into any cardreader’s maglock, cleverly fooling it into believing that a legitimate passkey has been swiped (see Maglocks).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"The passkey receives a +1 bonus to its Rating."
